index,true_label,random_label,predicted,raw_answer
339,house,wardrobe,CL,NO
340,squirrel,beaver,CL,NO
341,television,worm,CL,NO
342,bear,beetle,CL,NO
343,dinosaur,spider,CL,NO
344,lion,plate,CL,NO
345,bridge,bicycle,CL,NO
346,shark,lion,CL,NO
347,willow_tree,rocket,CL,NO
348,cloud,apple,CL,NO
349,willow_tree,woman,CL,NO
350,table,orange,CL,NO
351,cattle,snake,CL,NO
352,poppy,streetcar,CL,NO
353,apple,cattle,CL,NO
354,chimpanzee,house,CL,NO
355,boy,elephant,CL,NO
356,hamster,telephone,CL,NO
357,possum,maple_tree,CL,NO
358,skyscraper,boy,CL,NO
359,plain,plate,CL,NO
360,bear,trout,CL,NO
361,squirrel,cloud,CL,NO
362,sunflower,rabbit,CL,NO
363,spider,leopard,CL,NO
364,crab,bridge,CL,NO
365,rabbit,bicycle,CL,NO
366,seal,tractor,CL,NO
367,boy,bus,CL,NO
368,camel,bridge,CL,NO
369,elephant,orange,CL,NO
370,motorcycle,ray,CL,NO
371,bridge,mountain,CL,NO
372,trout,willow_tree,CL,NO
373,sea,chair,CL,NO
374,television,cattle,CL,NO
375,snail,telephone,CL,NO
376,camel,road,CL,NO
377,beetle,caterpillar,OL,YES
378,pickup_truck,aquarium_fish,CL,NO
379,mushroom,bear,CL,NO
380,otter,leopard,OL,YES
381,tank,squirrel,CL,NO
382,baby,turtle,CL,NO
383,bear,bear,OL,YES
384,tractor,cloud,OL,YES
385,bowl,bottle,CL,NO
386,bear,man,CL,NO
387,boy,chair,CL,NO
388,chair,cockroach,CL,NO
389,beaver,lizard,CL,NO
390,motorcycle,caterpillar,CL,NO
391,crocodile,poppy,CL,NO
392,motorcycle,flatfish,CL,NO
393,beetle,trout,CL,NO
394,ray,man,CL,NO
395,bear,boy,CL,NO
396,rabbit,chair,CL,NO
397,palm_tree,seal,CL,NO
398,bottle,caterpillar,CL,NO
399,lizard,house,CL,NO
400,whale,clock,CL,NO
401,man,clock,CL,NO
402,sweet_pepper,oak_tree,CL,NO
403,lamp,crab,CL,NO
404,pickup_truck,otter,CL,NO
405,television,willow_tree,CL,NO
406,pine_tree,spider,CL,NO
407,caterpillar,raccoon,CL,NO
408,motorcycle,snake,CL,NO
409,bed,couch,OL,YES
410,tiger,boy,CL,NO
411,crab,television,CL,NO
412,chimpanzee,sunflower,CL,NO
413,cockroach,orange,OL,YES
414,orange,bowl,CL,NO
415,road,bridge,CL,NO
416,mountain,cockroach,CL,NO
417,tractor,clock,CL,NO
418,willow_tree,camel,CL,NO
419,tulip,streetcar,CL,NO
420,beetle,plain,OL,YES
421,bus,streetcar,CL,NO
422,worm,cockroach,CL,NO
423,mountain,mushroom,CL,NO
424,clock,lizard,CL,NO
425,palm_tree,tank,CL,NO
426,ray,otter,CL,NO
427,bus,keyboard,CL,NO
428,wolf,lion,CL,NO
429,bee,sea,CL,NO
430,cattle,motorcycle,CL,NO
431,skyscraper,dinosaur,CL,NO
432,rabbit,dolphin,CL,NO
433,bottle,tulip,CL,NO
434,sea,chair,CL,NO
435,porcupine,girl,CL,NO
436,sea,bus,CL,NO
437,caterpillar,oak_tree,OL,YES
438,otter,mouse,OL,YES
439,fox,wolf,CL,NO
440,caterpillar,leopard,CL,NO
441,apple,motorcycle,CL,NO
442,palm_tree,pine_tree,OL,YES
443,cloud,house,CL,NO
444,skunk,seal,CL,NO
445,rose,can,CL,NO
446,snake,bed,CL,NO
447,lobster,sweet_pepper,OL,YES
448,raccoon,camel,CL,NO
449,trout,table,CL,NO
450,couch,keyboard,CL,NO
451,pickup_truck,rabbit,CL,NO
452,train,otter,CL,NO
453,dinosaur,clock,CL,NO
454,road,flatfish,CL,NO
455,girl,spider,CL,NO
456,orchid,fox,CL,NO
457,snail,aquarium_fish,CL,NO
458,wolf,rocket,CL,NO
459,apple,possum,CL,NO
460,rose,wardrobe,CL,NO
461,skunk,trout,CL,NO
462,plain,snake,CL,NO
463,rabbit,mouse,CL,NO
464,bed,sunflower,CL,NO
465,pickup_truck,ray,CL,NO
466,sunflower,lamp,CL,NO
467,mountain,snail,CL,NO
468,plate,skyscraper,CL,NO
469,cup,rabbit,CL,NO
470,lizard,bridge,CL,NO
471,palm_tree,streetcar,CL,NO
472,sunflower,lawn_mower,CL,NO
473,plate,television,CL,NO
474,lion,bottle,CL,NO
475,chair,skyscraper,CL,NO
476,kangaroo,cattle,CL,NO
477,tank,lion,CL,NO
478,television,leopard,CL,NO
479,mountain,fox,CL,NO
480,tank,house,CL,NO
481,cockroach,pine_tree,CL,NO
482,beetle,lawn_mower,CL,NO
483,tiger,lobster,CL,NO
484,lamp,house,CL,NO
485,kangaroo,pear,CL,NO
486,seal,wolf,CL,NO
487,palm_tree,camel,CL,NO
488,beaver,tractor,CL,NO
489,streetcar,lion,CL,NO
490,woman,poppy,CL,NO
491,wolf,bus,CL,NO
492,butterfly,poppy,OL,YES
493,man,streetcar,CL,NO
494,cloud,crab,CL,NO
495,tractor,baby,CL,NO
496,telephone,plain,OL,YES
497,sweet_pepper,skunk,CL,NO
498,orchid,maple_tree,CL,NO
499,crocodile,plate,CL,NO
500,lawn_mower,porcupine,CL,NO
501,willow_tree,mushroom,CL,NO
502,aquarium_fish,skunk,CL,NO
503,streetcar,orchid,CL,NO
504,spider,rose,CL,NO
505,dolphin,orchid,CL,NO
506,castle,can,CL,NO
507,butterfly,butterfly,OL,YES
508,ray,sweet_pepper,CL,NO
509,chair,seal,CL,NO
510,orchid,rabbit,CL,NO
511,tulip,tulip,OL,YES
512,forest,road,CL,NO
513,pear,pear,OL,YES
514,rabbit,beetle,CL,NO
515,mountain,keyboard,CL,NO
516,sea,bear,CL,NO
517,pine_tree,bus,CL,NO
518,tank,cattle,CL,NO
519,clock,castle,CL,NO
520,elephant,palm_tree,CL,NO
521,tank,otter,CL,NO
522,castle,chair,CL,NO
523,leopard,train,CL,NO
524,poppy,baby,CL,NO
525,crab,forest,CL,NO
526,plain,whale,CL,NO
527,crocodile,ray,CL,NO
528,pear,can,CL,NO
529,cattle,whale,CL,NO
530,wolf,rabbit,CL,NO
531,tiger,lawn_mower,CL,NO
532,bowl,beaver,CL,NO
533,elephant,raccoon,CL,NO
534,cloud,mountain,CL,NO
535,table,tulip,CL,NO
536,shrew,sunflower,CL,NO
537,porcupine,boy,CL,NO
538,wardrobe,rocket,CL,NO
539,snail,orchid,CL,NO
540,train,mouse,CL,NO
541,plain,bowl,CL,NO
542,bed,tiger,CL,NO
543,aquarium_fish,willow_tree,CL,NO
544,plate,pine_tree,CL,NO
545,whale,castle,CL,NO
546,flatfish,tiger,CL,NO
547,whale,otter,CL,NO
548,pear,wardrobe,CL,NO
549,flatfish,lawn_mower,CL,NO
550,cloud,lobster,CL,NO
551,keyboard,keyboard,OL,YES
552,lobster,keyboard,CL,NO
553,lawn_mower,cockroach,CL,NO
554,rocket,chimpanzee,CL,NO
555,tractor,shark,CL,NO
556,lobster,rabbit,CL,NO
557,maple_tree,dolphin,CL,NO
558,pear,road,CL,NO
559,boy,cattle,CL,NO
560,motorcycle,crab,CL,NO
561,shrew,man,CL,NO
562,baby,tiger,CL,NO
563,boy,chimpanzee,CL,NO
564,whale,mountain,CL,NO
565,mouse,lobster,CL,NO
566,house,streetcar,CL,NO
567,pine_tree,oak_tree,OL,YES
568,sea,porcupine,CL,NO
569,table,cattle,CL,NO
570,tractor,cup,CL,NO
571,table,castle,CL,NO
572,rose,otter,CL,NO
573,can,cattle,CL,NO
574,sea,mountain,CL,NO
575,bicycle,castle,CL,NO
576,motorcycle,bowl,CL,NO
577,elephant,trout,CL,NO
578,woman,television,OL,YES
579,flatfish,beaver,CL,NO
580,baby,bottle,CL,NO
581,shrew,forest,CL,NO
582,poppy,baby,CL,NO
583,sea,sea,OL,YES
584,train,elephant,CL,NO
585,fox,train,CL,NO
586,mushroom,otter,CL,NO
587,apple,road,CL,NO
588,bridge,man,CL,NO
589,crab,raccoon,OL,YES
590,pear,woman,CL,NO
591,poppy,baby,CL,NO
592,pear,possum,CL,NO
593,elephant,keyboard,CL,NO
594,rabbit,porcupine,CL,NO
595,flatfish,dinosaur,CL,NO
596,can,television,CL,NO
597,girl,bus,CL,NO
598,woman,mushroom,CL,NO
599,boy,lawn_mower,CL,NO
600,television,road,CL,NO
601,kangaroo,plain,OL,YES
602,oak_tree,squirrel,CL,NO
603,tractor,cup,CL,NO
604,lamp,castle,CL,NO
605,skyscraper,flatfish,CL,NO
606,beetle,dinosaur,CL,NO
607,orchid,bottle,CL,NO
608,skyscraper,worm,CL,NO
609,dolphin,streetcar,CL,NO
610,pine_tree,couch,CL,NO
611,table,couch,CL,NO
612,bear,television,CL,NO
613,trout,woman,CL,NO
614,man,mouse,CL,NO
615,rabbit,wardrobe,CL,NO
616,lion,tractor,CL,NO
617,mountain,palm_tree,CL,NO
618,bee,snail,CL,NO
619,forest,tractor,CL,NO
620,bed,poppy,CL,NO
621,butterfly,tiger,CL,NO
622,snail,bottle,CL,NO
623,lizard,hamster,CL,NO
624,road,bicycle,CL,NO
625,sunflower,spider,CL,NO
626,wardrobe,apple,CL,NO
627,raccoon,apple,CL,NO
628,shark,oak_tree,CL,NO
629,palm_tree,apple,CL,NO
630,tractor,tractor,CL,NO
631,orange,tiger,CL,NO
632,clock,table,CL,NO
633,rocket,crab,CL,NO
634,snail,hamster,CL,NO
635,table,poppy,CL,NO
636,chair,castle,CL,NO
637,woman,motorcycle,CL,NO
638,beaver,rabbit,CL,NO
639,rocket,leopard,CL,NO
640,spider,apple,CL,NO
641,lamp,beetle,CL,NO
642,lobster,lobster,OL,YES
643,aquarium_fish,ray,CL,NO
644,palm_tree,cup,CL,NO
645,rabbit,sea,CL,NO
646,mushroom,wardrobe,CL,NO
647,bed,dolphin,CL,NO
648,squirrel,rabbit,CL,NO
649,orchid,squirrel,CL,NO
650,tulip,streetcar,CL,NO
651,beaver,lawn_mower,CL,NO
652,cloud,bowl,CL,NO
653,plain,cloud,CL,NO
654,streetcar,rose,CL,NO
655,snail,beetle,OL,YES
656,shark,whale,OL,YES
657,woman,plain,OL,YES
658,apple,palm_tree,CL,NO
659,butterfly,shrew,OL,YES
660,bottle,wolf,CL,NO
661,lizard,chimpanzee,CL,NO
662,crocodile,sea,OL,YES
663,bicycle,bee,CL,NO
664,lion,mouse,CL,NO
665,shrew,woman,CL,NO
666,man,bus,CL,NO
667,wardrobe,crocodile,CL,NO
668,telephone,table,OL,YES
669,dolphin,dinosaur,CL,NO
670,plate,seal,OL,YES
671,pear,bottle,CL,NO
672,boy,hamster,CL,NO
673,streetcar,elephant,CL,NO
674,couch,cockroach,CL,NO
675,streetcar,chimpanzee,CL,NO
676,rose,trout,CL,NO
677,dinosaur,pine_tree,CL,NO
678,crocodile,cup,CL,NO
679,bear,snake,CL,NO
680,sea,tiger,CL,NO
681,orange,keyboard,CL,NO
682,motorcycle,rocket,OL,YES
683,cattle,tulip,CL,NO
684,squirrel,sea,CL,NO
685,pear,skyscraper,CL,NO
686,cattle,turtle,CL,NO
687,pine_tree,aquarium_fish,CL,NO
688,couch,pickup_truck,CL,NO
689,palm_tree,television,CL,NO
690,shrew,kangaroo,CL,NO
691,flatfish,chair,CL,NO
692,woman,television,CL,NO
693,house,tulip,CL,NO
694,bus,tractor,CL,NO
695,lobster,possum,CL,NO
696,bridge,shark,CL,NO
697,squirrel,pear,CL,NO
698,possum,palm_tree,CL,NO
699,can,tractor,CL,NO
700,castle,man,CL,NO
701,cockroach,crocodile,CL,NO
702,dolphin,hamster,CL,NO
703,couch,motorcycle,CL,NO
704,willow_tree,man,CL,NO
705,house,castle,CL,NO
706,bed,boy,CL,NO
707,woman,shrew,CL,NO
708,elephant,keyboard,CL,NO
709,wardrobe,turtle,CL,NO
710,bed,mushroom,CL,NO
711,dinosaur,sweet_pepper,CL,NO
712,raccoon,clock,CL,NO
713,mushroom,dinosaur,CL,NO
714,bee,sweet_pepper,OL,YES
715,ray,lobster,CL,NO
716,mouse,bicycle,CL,NO
717,road,bus,CL,NO
718,crocodile,bicycle,CL,NO
719,poppy,pickup_truck,CL,NO
720,tractor,mouse,CL,NO
721,bed,wardrobe,CL,NO
722,boy,bee,CL,NO
723,bus,beaver,CL,NO
724,raccoon,road,CL,NO
725,otter,table,CL,NO
726,camel,camel,OL,YES
727,poppy,cockroach,CL,NO
728,shrew,chair,CL,NO
729,elephant,bed,CL,NO
730,turtle,flatfish,CL,NO
731,pine_tree,dolphin,CL,NO
732,aquarium_fish,otter,CL,NO
733,wolf,house,CL,NO
734,flatfish,mushroom,CL,NO
735,keyboard,tiger,CL,NO
736,lawn_mower,telephone,CL,NO
737,poppy,whale,CL,NO
738,sea,keyboard,CL,NO
739,rose,mountain,CL,NO
740,woman,possum,CL,NO
741,lawn_mower,tulip,CL,NO
742,leopard,train,CL,NO
743,rose,castle,CL,NO
744,bear,castle,CL,NO
745,girl,lobster,CL,NO
746,train,seal,CL,NO
747,clock,bed,CL,NO
748,mouse,sea,CL,NO
749,plate,turtle,CL,NO
750,raccoon,television,CL,NO
751,tulip,palm_tree,CL,NO
752,orange,fox,CL,NO
753,bridge,lizard,CL,NO
754,table,lamp,OL,YES
755,forest,camel,CL,NO
756,pear,rabbit,CL,NO
757,turtle,clock,CL,NO
758,spider,castle,CL,NO
759,rocket,trout,CL,NO
760,orange,snail,CL,NO
761,bottle,rocket,CL,NO
762,cattle,plain,OL,YES
763,bee,elephant,CL,NO
764,chair,orchid,CL,NO
765,skyscraper,orange,CL,NO
766,bed,forest,CL,NO
767,woman,skyscraper,CL,NO
768,tulip,streetcar,CL,NO
769,snake,sunflower,CL,NO
770,turtle,telephone,CL,NO
771,spider,lawn_mower,CL,NO
772,chimpanzee,bowl,CL,NO
773,mushroom,beaver,CL,NO
774,shrew,bottle,CL,NO
775,skyscraper,baby,CL,NO
776,palm_tree,crocodile,CL,NO
777,skunk,forest,CL,NO
778,crocodile,bus,CL,NO
779,clock,rocket,CL,NO
780,house,pear,CL,NO
781,can,bowl,CL,NO
782,seal,butterfly,CL,NO
783,streetcar,possum,CL,NO
784,hamster,lobster,CL,NO
785,motorcycle,crab,CL,NO
786,bus,plate,CL,NO
787,palm_tree,television,CL,NO
788,rose,bottle,CL,NO
789,apple,kangaroo,CL,NO
790,porcupine,palm_tree,CL,NO
791,train,turtle,CL,NO
792,orange,skunk,CL,NO
793,dinosaur,lamp,CL,NO
794,possum,oak_tree,CL,NO
795,baby,trout,CL,NO
796,sweet_pepper,boy,CL,NO
797,porcupine,caterpillar,CL,NO
798,tractor,house,CL,NO
799,butterfly,hamster,CL,NO
800,raccoon,television,CL,NO
801,whale,cockroach,CL,NO
802,rabbit,snake,CL,NO
803,tank,fox,CL,NO
804,bed,streetcar,CL,NO
805,beetle,couch,CL,NO
806,pickup_truck,crab,CL,NO
807,plate,oak_tree,CL,NO
808,leopard,shrew,CL,NO
809,pine_tree,seal,CL,NO
810,house,mouse,CL,NO
811,bridge,chair,CL,NO
812,leopard,plate,CL,NO
813,raccoon,spider,CL,NO
814,sea,lawn_mower,CL,NO
815,lamp,bee,CL,NO
816,porcupine,oak_tree,OL,YES
817,lobster,telephone,CL,NO
818,cattle,maple_tree,CL,NO
819,forest,pear,CL,NO
820,otter,bear,CL,NO
821,crab,caterpillar,OL,YES
822,apple,boy,CL,NO
823,plain,tiger,CL,NO
824,seal,otter,CL,NO
825,beaver,rose,CL,NO
826,porcupine,seal,CL,NO
827,skyscraper,snake,CL,NO
828,man,chimpanzee,CL,NO
829,possum,wolf,CL,NO
830,willow_tree,tractor,CL,NO
831,rocket,butterfly,CL,NO
832,possum,tulip,CL,NO
833,skunk,hamster,OL,YES
834,forest,motorcycle,CL,NO
835,hamster,whale,CL,NO
836,crab,plain,CL,NO
837,poppy,bridge,CL,NO
838,caterpillar,snail,OL,YES
839,motorcycle,dolphin,CL,NO
840,mouse,turtle,CL,NO
841,hamster,couch,CL,NO
842,crab,wardrobe,CL,NO
843,cup,man,CL,NO
844,sea,streetcar,CL,NO
845,skyscraper,plain,OL,YES
846,lobster,mushroom,CL,NO
847,oak_tree,otter,CL,NO
848,rabbit,rocket,CL,NO
849,pine_tree,possum,CL,NO
850,lawn_mower,tiger,CL,NO
851,rocket,castle,CL,NO
852,camel,bottle,CL,NO
853,television,sea,OL,YES
854,mouse,rose,CL,NO
855,boy,plate,CL,NO
856,sea,tractor,CL,NO
857,hamster,lizard,CL,NO
858,table,lawn_mower,CL,NO
859,shark,chimpanzee,CL,NO
860,man,bicycle,CL,NO
861,sweet_pepper,aquarium_fish,CL,NO
862,bridge,plain,OL,YES
863,spider,caterpillar,OL,YES
864,orchid,shrew,CL,NO
865,mouse,hamster,OL,YES
866,skunk,orchid,CL,NO
867,seal,shrew,CL,NO
868,house,mouse,CL,NO
869,trout,sweet_pepper,CL,NO
870,cattle,television,CL,NO
871,sunflower,otter,CL,NO
872,clock,flatfish,CL,NO
