index,true_label,random_label,predicted,raw_answer,clip_pos_similarity,clip_neg_similarity
30,standard transportation vehicles,fruit_and_vegetables,CL,NO,0.141,0.1466
31,large_man-made_outdoor_things,people,CL,NO,0.169,0.1608
32,trees,large_omnivores_and_herbivores,CL,NO,0.1946,0.1954
33,small_mammals,large_man-made_outdoor_things,CL,NO,0.1582,0.165
34,large_omnivores_and_herbivores,large_natural_outdoor_scenes,OL,YES,0.158,0.1829
35,household_electrical_devices,aquatic_mammals,CL,NO,0.1875,0.1879
36,specialized utility vehicles,large_omnivores_and_herbivores,CL,NO,0.1726,0.1786
37,people,specialized utility vehicles,CL,NO,0.1312,0.167
38,insects,household_furniture,CL,NO,0.173,0.1808
39,household_furniture,fruit_and_vegetables,CL,NO,0.1718,0.1877
40,reptiles,aquatic_mammals,CL,NO,0.2196,0.2032
41,non-insect_invertebrates,people,CL,NO,0.1702,0.1509
42,large_natural_outdoor_scenes,medium_mammals,CL,NO,0.1782,0.1848
43,large_carnivores,people,CL,NO,0.1758,0.1721
44,trees,people,CL,NO,0.1829,0.1799
45,large_man-made_outdoor_things,flowers,CL,NO,0.154,0.1658
46,people,insects,CL,NO,0.1772,0.1819
47,standard transportation vehicles,household_electrical_devices,CL,NO,0.1212,0.1687
48,specialized utility vehicles,household_electrical_devices,CL,NO,0.1831,0.184
49,reptiles,specialized utility vehicles,CL,NO,0.1466,0.1653
50,fish,people,CL,NO,0.1531,0.1458
51,insects,household_electrical_devices,CL,NO,0.144,0.1792
52,household_electrical_devices,medium_mammals,CL,NO,0.1678,0.1757
53,food_containers,household_electrical_devices,CL,NO,0.1357,0.1589
54,large_natural_outdoor_scenes,flowers,CL,NO,0.1661,0.1818
55,insects,small_mammals,OL,YES,0.1993,0.1747
56,trees,people,CL,NO,0.199,0.1876
57,household_furniture,aquatic_mammals,CL,NO,0.1719,0.1627
58,people,specialized utility vehicles,CL,NO,0.1443,0.159
59,trees,specialized utility vehicles,CL,NO,0.1444,0.1676
60,small_mammals,reptiles,CL,NO,0.1571,0.179
61,aquatic_mammals,household_electrical_devices,CL,NO,0.1593,0.189
62,aquatic_mammals,household_electrical_devices,CL,NO,0.1576,0.1815
63,large_carnivores,household_electrical_devices,CL,NO,0.1415,0.1804
64,fruit_and_vegetables,reptiles,CL,NO,0.1549,0.1641
65,people,people,OL,YES,0.171,0.1483
66,fruit_and_vegetables,food_containers,CL,NO,0.1833,0.1805
67,large_natural_outdoor_scenes,household_furniture,CL,NO,0.1757,0.1903
68,reptiles,fish,CL,NO,0.1763,0.1819
69,fruit_and_vegetables,fish,CL,NO,0.1534,0.1677
70,flowers,fish,CL,NO,0.1741,0.1816
71,small_mammals,aquatic_mammals,CL,NO,0.214,0.2097
72,large_omnivores_and_herbivores,aquatic_mammals,CL,NO,0.1947,0.1971
73,specialized utility vehicles,household_furniture,CL,NO,0.1788,0.1866
74,small_mammals,medium_mammals,OL,YES,0.2272,0.2239
75,insects,medium_mammals,CL,NO,0.207,0.1938
76,specialized utility vehicles,large_natural_outdoor_scenes,OL,YES,0.1757,0.1733
77,people,food_containers,CL,NO,0.1655,0.1715
78,large_natural_outdoor_scenes,small_mammals,CL,NO,0.1853,0.1802
79,large_carnivores,trees,CL,NO,0.155,0.1708
80,household_electrical_devices,flowers,CL,NO,0.1572,0.1836
81,medium_mammals,insects,CL,NO,0.1665,0.166
82,medium_mammals,trees,CL,NO,0.1436,0.1724
83,large_omnivores_and_herbivores,people,OL,YES,0.1471,0.1359
84,large_natural_outdoor_scenes,large_carnivores,CL,NO,0.1461,0.1388
85,large_carnivores,trees,CL,NO,0.1588,0.1858
86,medium_mammals,flowers,CL,NO,0.1418,0.1831
87,non-insect_invertebrates,aquatic_mammals,CL,NO,0.1732,0.1719
88,large_natural_outdoor_scenes,non-insect_invertebrates,CL,NO,0.1746,0.1796
89,insects,insects,OL,YES,0.2333,0.2024
90,people,reptiles,CL,NO,0.1279,0.1464
91,large_omnivores_and_herbivores,flowers,CL,NO,0.1696,0.1921
92,people,aquatic_mammals,CL,NO,0.1836,0.18
93,specialized utility vehicles,fish,CL,NO,0.1438,0.1609
94,aquatic_mammals,flowers,CL,NO,0.11664,0.1614
95,fruit_and_vegetables,standard transportation vehicles,CL,NO,0.1404,0.15
96,medium_mammals,large_carnivores,CL,NO,0.1687,0.1796
97,non-insect_invertebrates,medium_mammals,CL,NO,0.1724,0.1799
98,fish,small_mammals,CL,NO,0.179,0.1755
99,reptiles,household_furniture,CL,NO,0.1509,0.179
100,aquatic_mammals,household_furniture,CL,NO,0.1478,0.1741
101,household_electrical_devices,standard transportation vehicles,CL,NO,0.1559,0.1575
102,aquatic_mammals,non-insect_invertebrates,OL,YES,0.1938,0.193
103,large_carnivores,fruit_and_vegetables,CL,NO,0.117,0.1578
104,food_containers,non-insect_invertebrates,CL,NO,0.1565,0.1635
105,reptiles,small_mammals,OL,YES,0.1897,0.1746
106,fruit_and_vegetables,aquatic_mammals,CL,NO,0.1986,0.1931
107,specialized utility vehicles,small_mammals,CL,NO,0.1559,0.155
108,trees,aquatic_mammals,CL,NO,0.2083,0.2019
109,household_furniture,trees,CL,NO,0.1597,0.1825
110,trees,people,CL,NO,0.1649,0.1741
111,medium_mammals,small_mammals,OL,YES,0.2273,0.2107
112,household_furniture,reptiles,CL,NO,0.1586,0.1772
113,aquatic_mammals,large_man-made_outdoor_things,CL,NO,0.166,0.184
114,people,small_mammals,CL,NO,0.1918,0.1665
115,large_natural_outdoor_scenes,aquatic_mammals,CL,NO,0.1917,0.1818
116,large_man-made_outdoor_things,food_containers,CL,NO,0.1544,0.1746
117,large_omnivores_and_herbivores,insects,CL,NO,0.2012,0.2006
118,household_furniture,fish,CL,NO,0.1527,0.1719
119,large_natural_outdoor_scenes,non-insect_invertebrates,CL,NO,0.178,0.1837
120,medium_mammals,fish,CL,NO,0.1725,0.1732
121,fish,large_man-made_outdoor_things,CL,NO,0.1223,0.1461
122,people,medium_mammals,CL,NO,0.1676,0.1825
123,fruit_and_vegetables,reptiles,CL,NO,0.1627,0.1754
124,large_carnivores,trees,CL,NO,0.1381,0.1615
125,fish,small_mammals,CL,NO,0.1674,0.166
126,flowers,people,CL,NO,0.1733,0.1583
127,medium_mammals,medium_mammals,OL,YES,0.2192,0.2108
128,fruit_and_vegetables,standard transportation vehicles,CL,NO,0.1646,0.1674
129,medium_mammals,large_man-made_outdoor_things,CL,NO,0.1785,0.1802
130,standard transportation vehicles,non-insect_invertebrates,CL,NO,0.1777,0.1832
131,trees,large_man-made_outdoor_things,CL,NO,0.1985,0.1998
132,household_electrical_devices,standard transportation vehicles,CL,NO,0.1603,0.1656
133,aquatic_mammals,fish,OL,YES,0.2244,0.2115
134,household_furniture,standard transportation vehicles,CL,NO,0.1425,0.1609
135,aquatic_mammals,fish,OL,YES,0.1979,0.186
136,medium_mammals,fish,CL,NO,0.164,0.1791
137,large_omnivores_and_herbivores,flowers,CL,NO,0.156,0.1804
138,large_man-made_outdoor_things,large_natural_outdoor_scenes,OL,YES,0.1658,0.1683
139,household_electrical_devices,fruit_and_vegetables,CL,NO,0.1726,0.1724
140,trees,aquatic_mammals,CL,NO,0.1992,0.1969
141,flowers,specialized utility vehicles,CL,NO,0.1602,0.167
142,people,non-insect_invertebrates,CL,NO,0.1711,0.1858
143,medium_mammals,large_omnivores_and_herbivores,CL,NO,0.1841,0.2065
144,household_electrical_devices,small_mammals,CL,NO,0.1769,0.155
145,aquatic_mammals,non-insect_invertebrates,CL,NO,0.2013,0.1956
146,non-insect_invertebrates,trees,OL,YES,0.1597,0.1793
147,medium_mammals,people,CL,NO,0.1674,0.178
148,small_mammals,large_carnivores,CL,NO,0.172,0.1703
149,fruit_and_vegetables,food_containers,CL,NO,0.1813,0.1874
150,non-insect_invertebrates,specialized utility vehicles,CL,NO,0.1317,0.1553
151,aquatic_mammals,non-insect_invertebrates,CL,NO,0.1912,0.1908
152,standard transportation vehicles,small_mammals,CL,NO,0.1973,0.1752
153,reptiles,large_man-made_outdoor_things,CL,NO,0.1399,0.1746
154,large_natural_outdoor_scenes,medium_mammals,CL,NO,0.1886,0.189
155,reptiles,large_natural_outdoor_scenes,OL,YES,0.1635,0.1763
156,household_electrical_devices,non-insect_invertebrates,CL,NO,0.1844,0.182
157,non-insect_invertebrates,food_containers,CL,NO,0.1428,0.1783
158,fish,people,CL,NO,0.1907,0.1771
159,people,medium_mammals,CL,NO,0.1885,0.1743
160,medium_mammals,trees,CL,NO,0.1508,0.172
161,food_containers,large_natural_outdoor_scenes,CL,NO,0.1404,0.1726
162,specialized utility vehicles,trees,CL,NO,0.1305,0.1451
163,fish,specialized utility vehicles,CL,NO,0.1775,0.1776
164,flowers,large_carnivores,CL,NO,0.1664,0.1608
165,reptiles,small_mammals,CL,NO,0.2076,0.1887
166,household_electrical_devices,trees,CL,NO,0.1345,0.1489
167,flowers,household_furniture,CL,NO,0.1694,0.1775
168,food_containers,household_electrical_devices,CL,NO,0.1555,0.1708
169,medium_mammals,household_furniture,CL,NO,0.155,0.1733
170,small_mammals,large_natural_outdoor_scenes,OL,YES,0.1825,0.1942
171,aquatic_mammals,small_mammals,CL,NO,0.2201,0.2057
172,large_omnivores_and_herbivores,large_man-made_outdoor_things,CL,NO,0.1715,0.1819
173,medium_mammals,insects,CL,NO,0.1821,0.1805
174,flowers,insects,CL,NO,0.1978,0.189
175,aquatic_mammals,fish,CL,NO,0.1805,0.1842
176,fruit_and_vegetables,insects,CL,NO,0.1962,0.193
177,reptiles,small_mammals,OL,YES,0.2007,0.1835
178,insects,small_mammals,CL,NO,0.2123,0.1844
179,large_man-made_outdoor_things,flowers,CL,NO,0.1368,0.1686
180,large_omnivores_and_herbivores,trees,CL,NO,0.08527,0.1565
181,people,small_mammals,CL,NO,0.2251,0.1869
182,large_omnivores_and_herbivores,insects,CL,NO,0.1841,0.1937
183,food_containers,people,CL,NO,0.1771,0.18
184,non-insect_invertebrates,people,CL,NO,0.1697,0.179
185,non-insect_invertebrates,fruit_and_vegetables,CL,NO,0.15,0.1636
186,specialized utility vehicles,people,CL,NO,0.1472,0.1454
187,non-insect_invertebrates,reptiles,CL,NO,0.1345,0.1724
188,people,household_furniture,CL,NO,0.172,0.1815
189,large_carnivores,reptiles,CL,NO,0.1572,0.1764
190,people,specialized utility vehicles,CL,NO,0.1406,0.1694
191,fish,standard transportation vehicles,CL,NO,0.1163,0.1376
192,small_mammals,large_man-made_outdoor_things,CL,NO,0.1622,0.1786
193,large_man-made_outdoor_things,large_man-made_outdoor_things,CL,NO,0.1704,0.1727
194,small_mammals,standard transportation vehicles,CL,NO,0.136,0.1561
195,standard transportation vehicles,large_omnivores_and_herbivores,CL,NO,0.1521,0.1729
196,specialized utility vehicles,standard transportation vehicles,CL,NO,0.1896,0.1923
197,household_furniture,small_mammals,CL,NO,0.1642,0.1445
198,household_electrical_devices,household_electrical_devices,OL,YES,0.1909,0.1919
199,specialized utility vehicles,standard transportation vehicles,CL,NO,0.1465,0.161
200,household_electrical_devices,household_furniture,CL,NO,0.1583,0.1694
201,fish,fruit_and_vegetables,CL,NO,0.1521,0.1835
202,people,reptiles,CL,NO,0.12305,0.1669
203,people,trees,CL,NO,0.1324,0.1599
204,large_natural_outdoor_scenes,fish,CL,NO,0.1389,0.1525
205,medium_mammals,small_mammals,OL,YES,0.254,0.2146
206,large_carnivores,fish,CL,NO,0.164,0.1803
207,insects,flowers,CL,NO,0.1716,0.1935
208,large_natural_outdoor_scenes,aquatic_mammals,CL,NO,0.1777,0.168
209,large_man-made_outdoor_things,large_carnivores,CL,NO,0.149,0.1465
210,small_mammals,food_containers,CL,NO,0.1471,0.18
211,specialized utility vehicles,specialized utility vehicles,CL,NO,0.1677,0.1854
212,large_man-made_outdoor_things,insects,CL,NO,0.182,0.1819
213,non-insect_invertebrates,food_containers,CL,NO,0.10706,0.1494
214,small_mammals,large_natural_outdoor_scenes,CL,NO,0.1617,0.1815
215,large_omnivores_and_herbivores,non-insect_invertebrates,CL,NO,0.2085,0.2037
216,non-insect_invertebrates,household_electrical_devices,CL,NO,0.1667,0.1954
217,large_man-made_outdoor_things,large_natural_outdoor_scenes,OL,YES,0.1699,0.1881
218,household_electrical_devices,aquatic_mammals,CL,NO,0.188,0.1919
219,standard transportation vehicles,large_carnivores,CL,NO,0.1487,0.1453
220,food_containers,large_natural_outdoor_scenes,CL,NO,0.1633,0.1748
221,flowers,small_mammals,CL,NO,0.1663,0.161
222,household_electrical_devices,specialized utility vehicles,OL,YES,0.1561,0.1598
223,household_electrical_devices,large_natural_outdoor_scenes,CL,NO,0.1577,0.1731
224,large_omnivores_and_herbivores,large_man-made_outdoor_things,CL,NO,0.1967,0.2057
225,flowers,specialized utility vehicles,CL,NO,0.1504,0.1708
226,household_electrical_devices,large_omnivores_and_herbivores,CL,NO,0.1836,0.184
227,food_containers,food_containers,CL,NO,0.1707,0.1804
228,people,household_electrical_devices,CL,NO,0.1298,0.1714
229,specialized utility vehicles,large_omnivores_and_herbivores,OL,YES,0.2001,0.1948
230,standard transportation vehicles,non-insect_invertebrates,CL,NO,0.1609,0.1537
231,standard transportation vehicles,insects,CL,NO,0.1826,0.1863
232,non-insect_invertebrates,fruit_and_vegetables,CL,NO,0.1799,0.1827
233,medium_mammals,fish,CL,NO,0.1536,0.1705
234,specialized utility vehicles,standard transportation vehicles,OL,YES,0.1708,0.1725
235,large_omnivores_and_herbivores,people,CL,NO,0.189,0.1892
236,non-insect_invertebrates,trees,CL,NO,0.1577,0.1953
237,household_electrical_devices,household_furniture,OL,YES,0.2069,0.2166
238,reptiles,flowers,CL,NO,0.1247,0.1464
239,household_electrical_devices,fruit_and_vegetables,CL,NO,0.1593,0.1862
240,standard transportation vehicles,specialized utility vehicles,CL,NO,0.176,0.1776
241,household_furniture,people,CL,NO,0.1644,0.1576
242,people,fish,CL,NO,0.1453,0.1588
243,large_omnivores_and_herbivores,reptiles,CL,NO,0.1312,0.168
244,food_containers,large_omnivores_and_herbivores,CL,NO,0.1482,0.1796
245,trees,people,CL,NO,0.1978,0.1907
246,flowers,aquatic_mammals,CL,NO,0.1675,0.1686
247,small_mammals,people,CL,NO,0.1656,0.1603
248,household_electrical_devices,food_containers,CL,NO,0.1603,0.1644
249,household_electrical_devices,fish,CL,NO,0.1346,0.1383
250,large_carnivores,non-insect_invertebrates,CL,NO,0.1735,0.1793
251,standard transportation vehicles,large_natural_outdoor_scenes,CL,NO,0.1735,0.2006
252,standard transportation vehicles,fruit_and_vegetables,CL,NO,0.1602,0.1736
253,fruit_and_vegetables,small_mammals,CL,NO,0.1996,0.1877
254,people,non-insect_invertebrates,CL,NO,0.1823,0.1893
255,large_natural_outdoor_scenes,large_omnivores_and_herbivores,CL,NO,0.1841,0.1985
256,large_natural_outdoor_scenes,aquatic_mammals,CL,NO,0.1903,0.1823
257,specialized utility vehicles,specialized utility vehicles,OL,YES,0.2144,0.2015
258,trees,insects,CL,NO,0.196,0.1863
259,people,household_electrical_devices,CL,NO,0.1423,0.1847
260,people,fruit_and_vegetables,CL,NO,0.1385,0.1804
261,aquatic_mammals,fruit_and_vegetables,CL,NO,0.1438,0.1746
262,large_carnivores,fish,CL,NO,0.1693,0.1963
263,household_electrical_devices,medium_mammals,CL,NO,0.1744,0.1676
264,medium_mammals,aquatic_mammals,CL,NO,0.1835,0.1824
265,medium_mammals,large_man-made_outdoor_things,CL,NO,0.1545,0.1669
266,insects,standard transportation vehicles,CL,NO,0.1586,0.172
267,people,flowers,CL,NO,0.1788,0.2072
268,medium_mammals,trees,OL,YES,0.1517,0.1765
269,trees,small_mammals,CL,NO,0.1813,0.1805
270,fruit_and_vegetables,people,CL,NO,0.1846,0.1868
271,fish,non-insect_invertebrates,OL,YES,0.183,0.1833
272,reptiles,household_furniture,CL,NO,0.1583,0.1693
273,people,large_omnivores_and_herbivores,CL,NO,0.1635,0.1798
274,flowers,fruit_and_vegetables,CL,NO,0.184,0.1774
275,large_natural_outdoor_scenes,food_containers,CL,NO,0.1654,0.1943
276,standard transportation vehicles,household_electrical_devices,CL,NO,0.2168,0.2211
277,trees,large_carnivores,CL,NO,0.1675,0.1548
278,large_omnivores_and_herbivores,people,CL,NO,0.1545,0.1576
279,large_man-made_outdoor_things,flowers,CL,NO,0.1664,0.1815
280,medium_mammals,household_electrical_devices,CL,NO,0.1603,0.1826
281,food_containers,specialized utility vehicles,CL,NO,0.1412,0.161
282,fish,household_furniture,CL,NO,0.1641,0.1814
283,fruit_and_vegetables,food_containers,CL,NO,0.1771,0.1792
284,fish,flowers,CL,NO,0.166,0.1846
285,household_furniture,large_man-made_outdoor_things,CL,NO,0.1732,0.1826
286,standard transportation vehicles,small_mammals,CL,NO,0.1547,0.1527
287,reptiles,trees,CL,NO,0.1324,0.1602
288,insects,trees,CL,NO,0.1632,0.1984
289,household_furniture,large_carnivores,CL,NO,0.11957,0.1171
290,insects,large_omnivores_and_herbivores,CL,NO,0.1935,0.1926
291,specialized utility vehicles,large_natural_outdoor_scenes,OL,YES,0.1772,0.193
292,small_mammals,large_natural_outdoor_scenes,OL,YES,0.1918,0.1832
293,small_mammals,reptiles,CL,NO,0.152,0.178
294,large_man-made_outdoor_things,reptiles,CL,NO,0.1459,0.1799
295,small_mammals,aquatic_mammals,CL,NO,0.2158,0.2068
296,medium_mammals,large_omnivores_and_herbivores,CL,NO,0.1765,0.1893
297,non-insect_invertebrates,trees,CL,NO,0.1528,0.1798
298,standard transportation vehicles,fruit_and_vegetables,CL,NO,0.1488,0.1947
299,fruit_and_vegetables,fish,CL,NO,0.1755,0.1888
300,large_natural_outdoor_scenes,medium_mammals,CL,NO,0.1696,0.1833
301,non-insect_invertebrates,fish,CL,NO,0.1621,0.1615
302,large_carnivores,food_containers,CL,NO,0.1515,0.1746
303,specialized utility vehicles,specialized utility vehicles,OL,YES,0.1953,0.1775
304,fruit_and_vegetables,reptiles,CL,NO,0.1543,0.1748
305,reptiles,fish,CL,NO,0.1924,0.1887
306,large_omnivores_and_herbivores,large_natural_outdoor_scenes,OL,YES,0.1693,0.1681
307,food_containers,large_natural_outdoor_scenes,CL,NO,0.1663,0.185
308,people,specialized utility vehicles,CL,NO,0.151,0.1738
309,insects,specialized utility vehicles,CL,NO,0.173,0.1792
310,large_carnivores,insects,CL,NO,0.1808,0.1953
311,fruit_and_vegetables,household_furniture,CL,NO,0.1737,0.1757
312,large_carnivores,people,CL,NO,0.1753,0.177
313,fish,large_omnivores_and_herbivores,OL,YES,0.1823,0.1924
314,flowers,household_electrical_devices,CL,NO,0.1785,0.1995
315,food_containers,household_furniture,OL,YES,0.1376,0.1659
316,large_carnivores,large_natural_outdoor_scenes,OL,YES,0.1783,0.1865
317,fruit_and_vegetables,large_carnivores,CL,NO,0.134,0.1355
318,flowers,large_natural_outdoor_scenes,OL,YES,0.1914,0.203
319,household_furniture,flowers,CL,NO,0.1504,0.1599
320,large_man-made_outdoor_things,food_containers,CL,NO,0.1582,0.1696
321,large_natural_outdoor_scenes,large_man-made_outdoor_things,CL,NO,0.1947,0.1895
322,aquatic_mammals,specialized utility vehicles,CL,NO,0.1523,0.1772
323,people,household_electrical_devices,CL,NO,0.1627,0.1959
324,flowers,household_electrical_devices,CL,NO,0.1814,0.1904
325,household_furniture,flowers,CL,NO,0.142,0.1572
326,medium_mammals,household_furniture,CL,NO,0.1589,0.1777
327,medium_mammals,insects,CL,NO,0.1869,0.183
328,food_containers,large_omnivores_and_herbivores,CL,NO,0.1699,0.1843
329,medium_mammals,large_natural_outdoor_scenes,CL,NO,0.163,0.1754
330,flowers,household_furniture,CL,NO,0.1832,0.1926
331,fruit_and_vegetables,insects,CL,NO,0.1698,0.1796
332,household_electrical_devices,people,CL,NO,0.1504,0.1445
333,medium_mammals,large_natural_outdoor_scenes,CL,NO,0.1747,0.184
334,medium_mammals,large_omnivores_and_herbivores,OL,YES,0.185,0.2024
335,fish,medium_mammals,OL,YES,0.177,0.1665
336,flowers,small_mammals,CL,NO,0.1921,0.1775
337,large_carnivores,large_omnivores_and_herbivores,OL,YES,0.1908,0.1918
338,large_carnivores,food_containers,CL,NO,0.1494,0.1931
339,large_man-made_outdoor_things,household_furniture,CL,NO,0.2017,0.1947
340,small_mammals,aquatic_mammals,CL,NO,0.2018,0.1946
341,household_electrical_devices,non-insect_invertebrates,CL,NO,0.1875,0.1775
342,large_carnivores,insects,CL,NO,0.2063,0.2104
343,reptiles,non-insect_invertebrates,OL,YES,0.1864,0.1787
344,large_carnivores,food_containers,CL,NO,0.1523,0.1804
345,large_man-made_outdoor_things,standard transportation vehicles,CL,NO,0.1632,0.1764
346,fish,large_carnivores,OL,YES,0.1797,0.1742
347,trees,specialized utility vehicles,CL,NO,0.1583,0.1757
348,large_natural_outdoor_scenes,fruit_and_vegetables,CL,NO,0.1791,0.1913
349,trees,people,CL,NO,0.1877,0.1824
350,household_furniture,fruit_and_vegetables,CL,NO,0.1588,0.1838
351,large_omnivores_and_herbivores,reptiles,CL,NO,0.139,0.1934
352,flowers,specialized utility vehicles,CL,NO,0.1737,0.1843
353,fruit_and_vegetables,large_omnivores_and_herbivores,CL,NO,0.182,0.174
354,large_omnivores_and_herbivores,large_man-made_outdoor_things,CL,NO,0.1857,0.192
355,people,large_omnivores_and_herbivores,CL,NO,0.1826,0.1802
356,small_mammals,household_electrical_devices,CL,NO,0.169,0.1909
357,medium_mammals,trees,CL,NO,0.139,0.1758
358,large_man-made_outdoor_things,people,CL,NO,0.1593,0.1531
359,large_natural_outdoor_scenes,food_containers,CL,NO,0.1805,0.1974
360,large_carnivores,fish,CL,NO,0.163,0.1904
361,small_mammals,large_natural_outdoor_scenes,OL,YES,0.1847,0.1892
362,flowers,small_mammals,CL,NO,0.1849,0.172
363,non-insect_invertebrates,large_carnivores,CL,NO,0.1526,0.1544
364,non-insect_invertebrates,large_man-made_outdoor_things,CL,NO,0.1538,0.1713
365,small_mammals,standard transportation vehicles,CL,NO,0.1321,0.1509
366,aquatic_mammals,specialized utility vehicles,CL,NO,0.1558,0.1699
367,people,standard transportation vehicles,CL,NO,0.1208,0.1398
368,large_omnivores_and_herbivores,large_man-made_outdoor_things,CL,NO,0.1733,0.1754
369,large_omnivores_and_herbivores,fruit_and_vegetables,CL,NO,0.1393,0.1807
370,standard transportation vehicles,fish,CL,NO,0.1659,0.1863
371,large_man-made_outdoor_things,large_natural_outdoor_scenes,OL,YES,0.1951,0.2076
372,fish,trees,CL,NO,0.1243,0.1678
373,large_natural_outdoor_scenes,household_furniture,CL,NO,0.1659,0.1885
374,household_electrical_devices,large_omnivores_and_herbivores,CL,NO,0.1808,0.1937
375,non-insect_invertebrates,household_electrical_devices,CL,NO,0.1459,0.1853
376,large_omnivores_and_herbivores,large_man-made_outdoor_things,CL,NO,0.167,0.1677
377,insects,insects,OL,YES,0.238,0.196
378,standard transportation vehicles,fish,CL,NO,0.1464,0.1642
379,fruit_and_vegetables,large_carnivores,CL,NO,0.1945,0.182
380,aquatic_mammals,large_carnivores,CL,NO,0.194,0.1838
381,specialized utility vehicles,small_mammals,CL,NO,0.1674,0.1605
382,people,reptiles,CL,NO,0.1451,0.1766
383,large_carnivores,large_carnivores,CL,NO,0.1698,0.1833
384,specialized utility vehicles,large_natural_outdoor_scenes,OL,YES,0.1842,0.1927
385,food_containers,food_containers,CL,NO,0.1799,0.1902
386,large_carnivores,people,CL,NO,0.1583,0.1473
387,people,household_furniture,CL,NO,0.1488,0.1466
388,household_furniture,insects,CL,NO,0.1663,0.1661
389,aquatic_mammals,reptiles,CL,NO,0.1755,0.1898
390,standard transportation vehicles,insects,CL,NO,0.1686,0.1674
391,reptiles,flowers,CL,NO,0.1437,0.1647
392,standard transportation vehicles,fish,CL,NO,0.1666,0.1758
393,insects,fish,CL,NO,0.1757,0.1925
394,fish,people,CL,NO,0.1708,0.159
395,large_carnivores,people,CL,NO,0.1605,0.1753
396,small_mammals,household_furniture,CL,NO,0.1501,0.1747
397,trees,aquatic_mammals,CL,NO,0.1785,0.1683
398,food_containers,insects,CL,NO,0.1643,0.171
399,reptiles,large_man-made_outdoor_things,CL,NO,0.1388,0.1598
400,aquatic_mammals,household_electrical_devices,CL,NO,0.1335,0.1759
401,people,household_electrical_devices,CL,NO,0.188,0.1985
402,fruit_and_vegetables,trees,CL,NO,0.1418,0.1819
403,household_electrical_devices,non-insect_invertebrates,CL,NO,0.2229,0.2233
404,standard transportation vehicles,aquatic_mammals,CL,NO,0.1617,0.1615
405,household_electrical_devices,trees,CL,NO,0.1139,0.1335
406,trees,non-insect_invertebrates,CL,NO,0.2023,0.2045
407,insects,medium_mammals,CL,NO,0.206,0.2012
408,standard transportation vehicles,reptiles,CL,NO,0.10986,0.1293
409,household_furniture,household_furniture,OL,YES,0.2268,0.2096
410,large_carnivores,people,CL,NO,0.1705,0.1589
411,non-insect_invertebrates,household_electrical_devices,CL,NO,0.1558,0.1797
412,large_omnivores_and_herbivores,flowers,CL,NO,0.1637,0.1904
413,insects,fruit_and_vegetables,CL,NO,0.1394,0.1696
414,fruit_and_vegetables,food_containers,CL,NO,0.1869,0.1876
415,large_man-made_outdoor_things,large_man-made_outdoor_things,CL,NO,0.1884,0.1875
416,large_natural_outdoor_scenes,insects,CL,NO,0.1564,0.1674
417,specialized utility vehicles,household_electrical_devices,CL,NO,0.1613,0.1792
418,trees,large_omnivores_and_herbivores,OL,YES,0.1838,0.1962
419,flowers,specialized utility vehicles,CL,NO,0.1394,0.1588
420,insects,large_natural_outdoor_scenes,CL,NO,0.1588,0.1698
421,standard transportation vehicles,specialized utility vehicles,CL,NO,0.1736,0.1862
422,non-insect_invertebrates,insects,OL,YES,0.2092,0.1946
423,large_natural_outdoor_scenes,fruit_and_vegetables,CL,NO,0.1519,0.1754
