index,true_label,candidate_labels,complementary_label
103,97,"['woman'; 'maple_tree']",maple_tree
104,61,"['table'; 'possum']",table
105,93,"['bus'; 'squirrel']",bus
106,51,"['fox'; 'sunflower']",fox
107,69,"['skunk'; 'mushroom']",skunk
108,56,"['lamp'; 'beaver']",beaver
109,84,"['wolf'; 'road']",wolf
110,59,"['tulip'; 'shark']",tulip
111,64,"['forest'; 'castle']",castle
112,94,"['streetcar'; 'kangaroo']",kangaroo
113,4,"['whale'; 'butterfly']",whale
114,11,"['bear'; 'snake']",bear
115,33,"['shrew'; 'cockroach']",cockroach
116,68,"['skunk'; 'orchid']",skunk
117,38,"['bridge'; 'dinosaur']",dinosaur
118,20,"['hamster'; 'lizard']",hamster
119,33,"['cockroach'; 'shrew']",cockroach
120,34,"['trout'; 'bicycle']",bicycle
121,32,"['squirrel'; 'maple_tree']",squirrel
122,46,"['snake'; 'bottle']",bottle
123,53,"['cup'; 'tiger']",tiger
124,88,"['otter'; 'chair']",chair
125,67,"['forest'; 'willow_tree']",forest
126,70,"['cup'; 'man']",man
127,64,"['forest'; 'castle']",castle
128,53,"['cup'; 'tiger']",tiger
129,64,"['castle'; 'forest']",castle
130,8,"['beaver'; 'bear']",bear
131,96,"['couch'; 'cattle']",couch
132,87,"['house'; 'butterfly']",butterfly
133,30,"['sea'; 'bowl']",bowl
134,20,"['lizard'; 'hamster']",hamster
135,30,"['bowl'; 'sea']",bowl
136,66,"['seal'; 'rocket']",rocket
137,19,"['train'; 'otter']",train
138,76,"['tiger'; 'orchid']",tiger
139,87,"['house'; 'butterfly']",butterfly
140,52,"['seal'; 'tractor']",tractor
141,62,"['mouse'; 'sweet_pepper']",sweet_pepper
142,35,"['tank'; 'bed']",bed
143,63,"['pickup_truck'; 'caterpillar']",caterpillar
144,40,"['pine_tree'; 'sunflower']",pine_tree
145,4,"['whale'; 'butterfly']",butterfly
146,99,"['ray'; 'apple']",apple
147,63,"['caterpillar'; 'pickup_truck']",caterpillar
148,74,"['cattle'; 'butterfly']",cattle
149,53,"['tiger'; 'cup']",cup
150,26,"['fox'; 'snake']",fox
151,95,"['possum'; 'snail']",possum
152,48,"['rocket'; 'wardrobe']",wardrobe
153,27,"['wardrobe'; 'bed']",wardrobe
154,33,"['cockroach'; 'shrew']",cockroach
155,29,"['camel'; 'mountain']",camel
156,39,"['mountain'; 'girl']",mountain
157,79,"['pine_tree'; 'skyscraper']",skyscraper
158,32,"['maple_tree'; 'squirrel']",squirrel
159,46,"['snake'; 'bottle']",bottle
160,64,"['castle'; 'forest']",forest
161,28,"['rocket'; 'pine_tree']",pine_tree
162,85,"['worm'; 'fox']",fox
163,32,"['maple_tree'; 'squirrel']",maple_tree
164,82,"['turtle'; 'tiger']",turtle
165,78,"['motorcycle'; 'mountain']",motorcycle
166,39,"['mountain'; 'girl']",mountain
167,54,"['lawn_mower'; 'worm']",worm
168,28,"['pine_tree'; 'rocket']",Pine tree
169,66,"['rocket'; 'seal']",seal
170,65,"['willow_tree'; 'elephant']",elephant
171,72,"['boy'; 'porcupine']",boy
172,21,"['cup'; 'cattle']",cup
173,64,"['castle'; 'forest']",castle
174,62,"['mouse'; 'sweet_pepper']",mouse
175,72,"['boy'; 'porcupine']",boy
176,0,"['camel'; 'sunflower']",camel
177,44,"['fox'; 'train']",train
178,7,"['otter'; 'skyscraper']",skyscraper
179,12,"['seal'; 'crab']",seal
180,19,"['train'; 'otter']",train
181,11,"['snake'; 'bear']",bear
182,31,"['kangaroo'; 'streetcar']",streetcar
183,61,"['table'; 'possum']",possum
184,79,"['skyscraper'; 'pine_tree']",Pine tree
185,45,"['sweet_pepper'; 'tiger']",tiger
186,81,"['aquarium_fish'; 'rose']",rose
187,79,"['skyscraper'; 'pine_tree']",skyscraper
188,98,"['rocket'; 'chair']",rocket
189,43,"['telephone'; 'crab']",crab
190,46,"['bottle'; 'snake']",snake
191,67,"['forest'; 'willow_tree']",forest
192,80,"['flatfish'; 'ray']",flatfish
193,68,"['orchid'; 'skunk']",skunk
194,74,"['cattle'; 'butterfly']",cattle
195,48,"['rocket'; 'wardrobe']",wardrobe
196,81,"['rose'; 'aquarium_fish']",rose
197,94,"['kangaroo'; 'streetcar']",kangaroo
198,86,"['sunflower'; 'lion']",sunflower
199,69,"['skunk'; 'mushroom']",mushroom
200,39,"['mountain'; 'girl']",mountain
201,73,"['wolf'; 'bee']",wolf
202,2,"['hamster'; 'flatfish']",hamster
203,46,"['snake'; 'bottle']",bottle
204,49,"['elephant'; 'chair']",chair
205,63,"['pickup_truck'; 'caterpillar']",caterpillar
206,43,"['crab'; 'telephone']",crab
207,14,"['train'; 'rose']",rose
208,49,"['elephant'; 'chair']",elephant
209,68,"['orchid'; 'skunk']",skunk
210,65,"['elephant'; 'willow_tree']",elephant
211,41,"['maple_tree'; 'chair']",chair
212,37,"['kangaroo'; 'bowl']",kangaroo
213,45,"['sweet_pepper'; 'tiger']",tiger
214,36,"['worm'; 'dinosaur']",dinosaur
215,21,"['cattle'; 'cup']",cup
216,77,"['bicycle'; 'skyscraper']",skyscraper
217,37,"['kangaroo'; 'bowl']",kangaroo
218,39,"['mountain'; 'girl']",mountain
219,8,"['beaver'; 'bear']",beaver
220,9,"['bridge'; 'cup']",cup
221,62,"['mouse'; 'sweet_pepper']",mouse
222,86,"['lion'; 'sunflower']",sunflower
223,39,"['mountain'; 'girl']",mountain
224,19,"['train'; 'otter']",train
225,54,"['worm'; 'lawn_mower']",worm
226,39,"['girl'; 'mountain']",mountain
227,28,"['pine_tree'; 'rocket']",Pine tree
228,11,"['snake'; 'bear']",bear
229,89,"['apple'; 'pickup_truck']",apple
230,90,"['turtle'; 'forest']",turtle
231,90,"['forest'; 'turtle']",turtle
232,79,"['pine_tree'; 'skyscraper']",Pine tree
233,66,"['seal'; 'rocket']",rocket
234,81,"['rose'; 'aquarium_fish']",aquarium_fish
235,21,"['cup'; 'cattle']",cup
236,79,"['skyscraper'; 'pine_tree']",pine_tree
237,40,"['pine_tree'; 'sunflower']",pine_tree
238,29,"['mountain'; 'camel']",mountain
239,22,"['woman'; 'lizard']",lizard
240,13,"['table'; 'tulip']",tulip
241,25,"['man'; 'lobster']",lobster
242,11,"['snake'; 'bear']",bear
243,38,"['dinosaur'; 'bridge']",dinosaur
244,10,"['dolphin'; 'rabbit']",rabbit
245,96,"['couch'; 'cattle']",couch
246,54,"['lawn_mower'; 'worm']",worm
247,65,"['willow_tree'; 'elephant']",elephant
248,39,"['mountain'; 'girl']",mountain
249,40,"['sunflower'; 'pine_tree']",sunflower
250,42,"['man'; 'motorcycle']",motorcycle
251,48,"['wardrobe'; 'rocket']",wardrobe
252,48,"['wardrobe'; 'rocket']",wardrobe
253,51,"['sunflower'; 'fox']",fox
254,11,"['bear'; 'snake']",bear
255,23,"['bus'; 'boy']",boy
256,23,"['boy'; 'bus']",bus
257,89,"['apple'; 'pickup_truck']",apple
258,52,"['seal'; 'tractor']",tractor
259,46,"['bottle'; 'snake']",bottle
260,2,"['hamster'; 'flatfish']",hamster
261,95,"['possum'; 'snail']",possum
262,43,"['crab'; 'telephone']",crab
263,86,"['lion'; 'sunflower']",lion
264,34,"['trout'; 'bicycle']",bicycle
265,66,"['rocket'; 'seal']",rocket
266,18,"['woman'; 'chimpanzee']",woman
267,46,"['bottle'; 'snake']",snake
268,66,"['seal'; 'rocket']",rocket
269,56,"['beaver'; 'lamp']",lamp
270,57,"['fox'; 'mushroom']",fox
271,1,"['beaver'; 'whale']",beaver
272,44,"['train'; 'fox']",fox
273,11,"['snake'; 'bear']",bear
274,82,"['turtle'; 'tiger']",turtle
275,23,"['boy'; 'bus']",bus
276,90,"['turtle'; 'forest']",turtle
277,56,"['lamp'; 'beaver']",beaver
278,19,"['train'; 'otter']",train
279,68,"['skunk'; 'orchid']",skunk
280,66,"['rocket'; 'seal']",rocket
281,28,"['rocket'; 'pine_tree']",Pine tree
282,1,"['whale'; 'beaver']",whale
283,57,"['mushroom'; 'fox']",fox
284,67,"['willow_tree'; 'forest']",forest
285,5,"['whale'; 'television']",whale
286,13,"['table'; 'tulip']",tulip
287,78,"['mountain'; 'motorcycle']",motorcycle
288,6,"['bridge'; 'rose']",bridge
289,84,"['wolf'; 'road']",road
290,7,"['otter'; 'skyscraper']",skyscraper
291,41,"['maple_tree'; 'chair']",maple_tree
292,65,"['elephant'; 'willow_tree']",willow_tree
293,80,"['ray'; 'flatfish']",flatfish
294,12,"['seal'; 'crab']",seal
295,50,"['plain'; 'motorcycle']",motorcycle
296,63,"['pickup_truck'; 'caterpillar']",caterpillar
297,26,"['snake'; 'fox']",fox
298,8,"['beaver'; 'bear']",beaver
299,53,"['tiger'; 'cup']",cup
300,60,"['lamp'; 'crocodile']",crocodile
301,99,"['ray'; 'apple']",apple
302,97,"['maple_tree'; 'woman']",woman
303,85,"['worm'; 'fox']",worm
304,0,"['camel'; 'sunflower']",sunflower
305,78,"['mountain'; 'motorcycle']",motorcycle
306,31,"['streetcar'; 'kangaroo']",kangaroo
307,10,"['dolphin'; 'rabbit']",dolphin
308,2,"['flatfish'; 'hamster']",hamster
309,7,"['skyscraper'; 'otter']",skyscraper
310,43,"['crab'; 'telephone']",crab
311,83,"['tiger'; 'butterfly']",tiger
312,97,"['woman'; 'maple_tree']",maple_tree
313,91,"['possum'; 'woman']",woman
314,82,"['tiger'; 'turtle']",turtle
315,28,"['rocket'; 'pine_tree']",pine_tree
316,42,"['man'; 'motorcycle']",motorcycle
317,0,"['sunflower'; 'camel']",camel
318,82,"['tiger'; 'turtle']",tiger
319,5,"['television'; 'whale']",whale
320,68,"['skunk'; 'orchid']",skunk
321,60,"['lamp'; 'crocodile']",crocodile
322,30,"['sea'; 'bowl']",bowl
323,98,"['rocket'; 'chair']",rocket
324,82,"['turtle'; 'tiger']",turtle
325,20,"['hamster'; 'lizard']",hamster
326,64,"['castle'; 'forest']",castle
327,66,"['seal'; 'rocket']",rocket
328,10,"['rabbit'; 'dolphin']",rabbit
329,75,"['streetcar'; 'chair']",chair
330,54,"['lawn_mower'; 'worm']",worm
331,57,"['fox'; 'mushroom']",fox
332,87,"['butterfly'; 'house']",butterfly
333,66,"['seal'; 'rocket']",rocket
334,66,"['seal'; 'rocket']",rocket
335,73,"['wolf'; 'bee']",bee
336,54,"['lawn_mower'; 'worm']",lawn_mower
337,88,"['chair'; 'otter']",chair
338,42,"['man'; 'motorcycle']",motorcycle
339,37,"['kangaroo'; 'bowl']",kangaroo
340,80,"['flatfish'; 'ray']",flatfish
341,87,"['butterfly'; 'house']",butterfly
342,3,"['caterpillar'; 'dinosaur']",dinosaur
343,29,"['mountain'; 'camel']",camel
344,43,"['telephone'; 'crab']",crab
345,12,"['seal'; 'crab']",seal
346,73,"['bee'; 'wolf']",wolf
347,96,"['couch'; 'cattle']",couch
348,23,"['bus'; 'boy']",boy
349,96,"['cattle'; 'couch']",couch
350,84,"['wolf'; 'road']",wolf
351,19,"['train'; 'otter']",train
352,62,"['mouse'; 'sweet_pepper']",mouse
353,0,"['sunflower'; 'camel']",camel
354,21,"['cup'; 'cattle']",cup
355,11,"['bear'; 'snake']",bear
356,36,"['dinosaur'; 'worm']",dinosaur
357,64,"['forest'; 'castle']",castle
358,76,"['orchid'; 'tiger']",tiger
359,60,"['crocodile'; 'lamp']",lamp
360,3,"['caterpillar'; 'dinosaur']",dinosaur
361,80,"['flatfish'; 'ray']",flatfish
362,82,"['tiger'; 'turtle']",tiger
363,79,"['skyscraper'; 'pine_tree']",Pine tree
364,26,"['fox'; 'snake']",fox
365,65,"['elephant'; 'willow_tree']",elephant
366,72,"['boy'; 'porcupine']",boy
367,11,"['snake'; 'bear']",bear
368,15,"['orchid'; 'dinosaur']",dinosaur
369,31,"['streetcar'; 'kangaroo']",streetcar
370,48,"['wardrobe'; 'rocket']",wardrobe
371,12,"['crab'; 'seal']",crab
372,91,"['possum'; 'woman']",possum
373,71,"['castle'; 'rabbit']",rabbit
374,87,"['butterfly'; 'house']",butterfly
375,77,"['skyscraper'; 'bicycle']",skyscraper
376,15,"['dinosaur'; 'orchid']",dinosaur
377,7,"['otter'; 'skyscraper']",skyscraper
378,58,"['crocodile'; 'bicycle']",crocodile
379,51,"['fox'; 'sunflower']",fox
380,55,"['dinosaur'; 'beetle']",dinosaur
381,85,"['fox'; 'worm']",worm
382,2,"['flatfish'; 'hamster']",hamster
383,3,"['dinosaur'; 'caterpillar']",caterpillar
384,89,"['apple'; 'pickup_truck']",apple
385,10,"['rabbit'; 'dolphin']",rabbit
386,3,"['caterpillar'; 'dinosaur']",dinosaur
387,11,"['snake'; 'bear']",bear
388,20,"['hamster'; 'lizard']",hamster
389,4,"['whale'; 'butterfly']",whale
390,48,"['rocket'; 'wardrobe']",wardrobe
391,27,"['bed'; 'wardrobe']",wardrobe
392,48,"['rocket'; 'wardrobe']",wardrobe
393,7,"['otter'; 'skyscraper']",skyscraper
394,67,"['forest'; 'willow_tree']",forest
395,3,"['caterpillar'; 'dinosaur']",dinosaur
396,65,"['elephant'; 'willow_tree']",elephant
397,56,"['beaver'; 'lamp']",beaver
398,9,"['bridge'; 'cup']",cup
399,44,"['train'; 'fox']",train
400,95,"['possum'; 'snail']",possum
401,46,"['bottle'; 'snake']",snake
402,83,"['tiger'; 'butterfly']",tiger
403,40,"['sunflower'; 'pine_tree']",sunflower
404,58,"['crocodile'; 'bicycle']",bicycle
405,87,"['house'; 'butterfly']",house
406,59,"['tulip'; 'shark']",shark
407,18,"['woman'; 'chimpanzee']",chimpanzee
408,48,"['wardrobe'; 'rocket']",wardrobe
409,5,"['whale'; 'television']",whale
410,88,"['chair'; 'otter']",chair
411,26,"['snake'; 'fox']",fox
412,21,"['cup'; 'cattle']",cup
413,24,"['mountain'; 'bridge']",mountain
414,53,"['cup'; 'tiger']",cup
415,68,"['skunk'; 'orchid']",skunk
416,49,"['chair'; 'elephant']",chair
417,89,"['apple'; 'pickup_truck']",apple
418,96,"['cattle'; 'couch']",couch
419,92,"['clock'; 'possum']",clock
420,7,"['otter'; 'skyscraper']",skyscraper
421,13,"['table'; 'tulip']",tulip
422,99,"['ray'; 'apple']",apple
423,49,"['elephant'; 'chair']",chair
424,22,"['woman'; 'lizard']",lizard
425,56,"['beaver'; 'lamp']",beaver
426,67,"['forest'; 'willow_tree']",forest
427,13,"['tulip'; 'table']",table
428,97,"['maple_tree'; 'woman']",woman
429,6,"['rose'; 'bridge']",rose
430,19,"['train'; 'otter']",train
431,76,"['tiger'; 'orchid']",tiger
432,65,"['willow_tree'; 'elephant']",elephant
433,9,"['bridge'; 'cup']",cup
434,71,"['castle'; 'rabbit']",rabbit
435,63,"['pickup_truck'; 'caterpillar']",caterpillar
436,71,"['castle'; 'rabbit']",rabbit
437,18,"['woman'; 'chimpanzee']",chimpanzee
438,55,"['beetle'; 'dinosaur']",dinosaur
439,34,"['bicycle'; 'trout']",bicycle
440,18,"['chimpanzee'; 'woman']",chimpanzee
441,0,"['sunflower'; 'camel']",sunflower
442,56,"['beaver'; 'lamp']",beaver
443,23,"['bus'; 'boy']",boy
444,75,"['chair'; 'streetcar']",streetcar
445,70,"['cup'; 'man']",man
446,78,"['motorcycle'; 'mountain']",motorcycle
447,45,"['sweet_pepper'; 'tiger']",tiger
448,66,"['seal'; 'rocket']",seal
449,91,"['woman'; 'possum']",woman
450,25,"['man'; 'lobster']",lobster
451,58,"['bicycle'; 'crocodile']",crocodile
452,90,"['turtle'; 'forest']",turtle
453,29,"['camel'; 'mountain']",camel
454,68,"['orchid'; 'skunk']",skunk
455,35,"['tank'; 'bed']",bed
456,54,"['worm'; 'lawn_mower']",lawn_mower
457,77,"['skyscraper'; 'bicycle']",skyscraper
458,97,"['woman'; 'maple_tree']",maple_tree
459,0,"['sunflower'; 'camel']",camel
460,70,"['cup'; 'man']",man
461,75,"['streetcar'; 'chair']",streetcar
462,60,"['lamp'; 'crocodile']",crocodile
463,65,"['elephant'; 'willow_tree']",elephant
464,5,"['television'; 'whale']",whale
465,58,"['bicycle'; 'crocodile']",crocodile
466,82,"['tiger'; 'turtle']",turtle
467,49,"['chair'; 'elephant']",chair
468,61,"['possum'; 'table']",possum
469,28,"['rocket'; 'pine_tree']",pine_tree
470,44,"['train'; 'fox']",train
471,56,"['beaver'; 'lamp']",lamp
472,82,"['turtle'; 'tiger']",turtle
473,61,"['table'; 'possum']",table
474,43,"['crab'; 'telephone']",crab
475,20,"['lizard'; 'hamster']",hamster
476,38,"['bridge'; 'dinosaur']",dinosaur
477,85,"['fox'; 'worm']",fox
478,87,"['house'; 'butterfly']",butterfly
479,49,"['elephant'; 'chair']",chair
480,85,"['fox'; 'worm']",worm
481,24,"['bridge'; 'mountain']",mountain
482,7,"['otter'; 'skyscraper']",skyscraper
483,88,"['otter'; 'chair']",chair
484,40,"['sunflower'; 'pine_tree']",sunflower
485,38,"['dinosaur'; 'bridge']",dinosaur
486,72,"['porcupine'; 'boy']",boy
487,56,"['beaver'; 'lamp']",lamp
488,4,"['butterfly'; 'whale']",butterfly
489,81,"['aquarium_fish'; 'rose']",rose
490,98,"['chair'; 'rocket']",Rocker
491,97,"['woman'; 'maple_tree']",woman
492,14,"['rose'; 'train']",train
493,46,"['snake'; 'bottle']",bottle
494,23,"['bus'; 'boy']",boy
495,89,"['pickup_truck'; 'apple']",apple
496,86,"['lion'; 'sunflower']",sunflower
497,83,"['butterfly'; 'tiger']",butterfly
498,54,"['lawn_mower'; 'worm']",worm
499,27,"['bed'; 'wardrobe']",wardrobe
500,41,"['maple_tree'; 'chair']",chair
501,96,"['cattle'; 'couch']",couch
502,1,"['beaver'; 'whale']",beaver
503,81,"['rose'; 'aquarium_fish']",rose
504,79,"['pine_tree'; 'skyscraper']",Pine tree
505,30,"['bowl'; 'sea']",bowl
506,17,"['hamster'; 'apple']",hamster
507,14,"['rose'; 'train']",train
508,67,"['willow_tree'; 'forest']",willow_tree
509,20,"['hamster'; 'lizard']",hamster
510,54,"['worm'; 'lawn_mower']",lawn_mower
511,92,"['possum'; 'clock']",clock
512,33,"['cockroach'; 'shrew']",cockroach
513,57,"['mushroom'; 'fox']",mushroom
514,65,"['elephant'; 'willow_tree']",elephant
515,49,"['elephant'; 'chair']",chair
516,71,"['rabbit'; 'castle']",castle
517,59,"['shark'; 'tulip']",tulip
518,85,"['fox'; 'worm']",fox
519,22,"['woman'; 'lizard']",lizard
520,31,"['kangaroo'; 'streetcar']",streetcar
521,85,"['worm'; 'fox']",fox
522,17,"['hamster'; 'apple']",hamster
523,42,"['man'; 'motorcycle']",motorcycle
524,62,"['sweet_pepper'; 'mouse']",mouse
525,26,"['snake'; 'fox']",fox
526,60,"['lamp'; 'crocodile']",crocodile
527,27,"['wardrobe'; 'bed']",wardrobe
528,57,"['fox'; 'mushroom']",fox
529,19,"['otter'; 'train']",train
530,97,"['maple_tree'; 'woman']",woman
531,88,"['otter'; 'chair']",chair
532,10,"['dolphin'; 'rabbit']",rabbit
533,31,"['streetcar'; 'kangaroo']",streetcar
534,23,"['boy'; 'bus']",bus
535,84,"['road'; 'wolf']",wolf
536,74,"['butterfly'; 'cattle']",butterfly
537,63,"['pickup_truck'; 'caterpillar']",caterpillar
538,94,"['kangaroo'; 'streetcar']",kangaroo
539,77,"['skyscraper'; 'bicycle']",skyscraper
540,90,"['turtle'; 'forest']",forest
541,60,"['lamp'; 'crocodile']",crocodile
542,5,"['whale'; 'television']",whale
543,1,"['whale'; 'beaver']",beaver
544,61,"['possum'; 'table']",possum
545,95,"['possum'; 'snail']",snail
546,32,"['squirrel'; 'maple_tree']",squirrel
547,95,"['possum'; 'snail']",possum
548,57,"['mushroom'; 'fox']",fox
549,32,"['squirrel'; 'maple_tree']",squirrel
550,23,"['bus'; 'boy']",boy
551,39,"['mountain'; 'girl']",mountain
552,45,"['tiger'; 'sweet_pepper']",tiger
553,41,"['chair'; 'maple_tree']",maple_tree
554,69,"['skunk'; 'mushroom']",mushroom
555,89,"['apple'; 'pickup_truck']",apple
556,45,"['tiger'; 'sweet_pepper']",tiger
557,47,"['chimpanzee'; 'sunflower']",chimpanzee
558,57,"['fox'; 'mushroom']",fox
559,11,"['snake'; 'bear']",bear
560,48,"['rocket'; 'wardrobe']",rocket
561,74,"['cattle'; 'butterfly']",cattle
562,2,"['flatfish'; 'hamster']",hamster
563,11,"['bear'; 'snake']",snake
564,95,"['possum'; 'snail']",possum
565,50,"['motorcycle'; 'plain']",motorcycle
566,37,"['bowl'; 'kangaroo']",kangaroo
567,59,"['tulip'; 'shark']",shark
568,71,"['rabbit'; 'castle']",rabbit
569,84,"['wolf'; 'road']",road
570,89,"['pickup_truck'; 'apple']",apple
571,84,"['wolf'; 'road']",road
572,70,"['cup'; 'man']",man
573,16,"['skyscraper'; 'pickup_truck']",skyscraper
574,71,"['castle'; 'rabbit']",rabbit
575,8,"['bear'; 'beaver']",bear
576,48,"['wardrobe'; 'rocket']",wardrobe
577,31,"['streetcar'; 'kangaroo']",streetcar
578,98,"['rocket'; 'chair']",rocket
579,32,"['squirrel'; 'maple_tree']",maple_tree
580,2,"['flatfish'; 'hamster']",hamster
581,74,"['cattle'; 'butterfly']",cattle
582,62,"['mouse'; 'sweet_pepper']",mouse
583,71,"['castle'; 'rabbit']",rabbit
584,90,"['forest'; 'turtle']",turtle
585,34,"['bicycle'; 'trout']",bicycle
586,51,"['sunflower'; 'fox']",fox
587,0,"['sunflower'; 'camel']",camel
588,12,"['crab'; 'seal']",crab
589,26,"['fox'; 'snake']",fox
590,57,"['fox'; 'mushroom']",fox
591,62,"['sweet_pepper'; 'mouse']",mouse
592,57,"['fox'; 'mushroom']",fox
593,31,"['kangaroo'; 'streetcar']",streetcar
594,65,"['elephant'; 'willow_tree']",elephant
595,32,"['maple_tree'; 'squirrel']",squirrel
596,16,"['pickup_truck'; 'skyscraper']",skyscraper
597,35,"['bed'; 'tank']",bed
598,98,"['rocket'; 'chair']",chair
599,11,"['snake'; 'bear']",bear
600,87,"['butterfly'; 'house']",butterfly
601,38,"['bridge'; 'dinosaur']",dinosaur
602,52,"['tractor'; 'seal']",seal
603,89,"['pickup_truck'; 'apple']",apple
604,40,"['pine_tree'; 'sunflower']",Pine tree
605,76,"['tiger'; 'orchid']",tiger
606,7,"['skyscraper'; 'otter']",skyscraper
607,54,"['worm'; 'lawn_mower']",worm
608,76,"['tiger'; 'orchid']",tiger
609,30,"['sea'; 'bowl']",bowl
610,59,"['tulip'; 'shark']",shark
611,84,"['road'; 'wolf']",road
612,3,"['caterpillar'; 'dinosaur']",dinosaur
613,91,"['woman'; 'possum']",woman
614,46,"['bottle'; 'snake']",snake
615,65,"['elephant'; 'willow_tree']",willow_tree
616,43,"['telephone'; 'crab']",crab
617,49,"['chair'; 'elephant']",chair
618,6,"['bridge'; 'rose']",rose
619,33,"['cockroach'; 'shrew']",cockroach
620,5,"['television'; 'whale']",whale
621,14,"['train'; 'rose']",rose
622,77,"['skyscraper'; 'bicycle']",skyscraper
623,44,"['fox'; 'train']",fox
624,68,"['orchid'; 'skunk']",skunk
625,82,"['tiger'; 'turtle']",turtle
626,94,"['streetcar'; 'kangaroo']",kangaroo
