index,true_label,candidate_labels,complementary_label
0,11,"['large carnivores'; 'reptiles']",reptiles
123,4,"['flowers'; 'people']",flowers
124,8,"['aquatic mammals'; 'vehicles 1']",aquatic mammals
125,1,"['large man-made outdoor things'; 'large carnivores']",large man-made outdoor things
126,2,"['household electrical devices'; 'large carnivores']",household electrical devices
127,12,"['aquatic mammals'; 'household electrical devices']",aquatic mammals
128,4,"['people'; 'flowers']",flowers
129,12,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
130,18,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
131,17,"['medium-sized mammals'; 'food containers']",food containers
132,5,"['aquatic mammals'; 'fish']",fish
133,0,"['fish'; 'fruit and vegetables']",fish
134,6,"['insects'; 'flowers']",flowers
135,0,"['fish'; 'fruit and vegetables']",fish
136,12,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
137,11,"['reptiles'; 'large carnivores']",large carnivores
138,9,"['vehicles 1'; 'household furniture']",vehicles 1
139,5,"['aquatic mammals'; 'fish']",fish
140,17,"['food containers'; 'medium-sized mammals']",food containers
141,2,"['large carnivores'; 'household electrical devices']",household electrical devices
142,14,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
143,12,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
144,5,"['aquatic mammals'; 'fish']",aquatic mammals
145,0,"['fruit and vegetables'; 'fish']",fish
146,13,"['large natural outdoor scenes'; 'people']",large natural outdoor scenes
147,12,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
148,16,"['flowers'; 'food containers']",flowers
149,4,"['people'; 'flowers']",flowers
150,13,"['people'; 'large natural outdoor scenes']",people
151,0,"['fish'; 'fruit and vegetables']",fish
152,18,"['vehicles 2'; 'large omnivores and herbivores']",Vehicles
153,15,"['large natural outdoor scenes'; 'household furniture']",large natural outdoor scenes
154,10,"['people'; 'insects']",insects
155,15,"['household furniture'; 'large natural outdoor scenes']",large natural outdoor scenes
156,5,"['fish'; 'aquatic mammals']",aquatic mammals
157,13,"['large natural outdoor scenes'; 'people']",large natural outdoor scenes
158,1,"['large carnivores'; 'large man-made outdoor things']",large carnivores
159,14,"['fruit and vegetables'; 'large carnivores']",large carnivores
160,12,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
161,3,"['fruit and vegetables'; 'vehicles 1']",fruit and vegetables
162,19,"['fish'; 'large carnivores']",large carnivores
163,1,"['large carnivores'; 'large man-made outdoor things']",large carnivores
164,2,"['household electrical devices'; 'large carnivores']",household electrical devices
165,15,"['large natural outdoor scenes'; 'household furniture']",household furniture
166,5,"['aquatic mammals'; 'fish']",fish
167,2,"['large carnivores'; 'household electrical devices']",household electrical devices
168,3,"['vehicles 1'; 'fruit and vegetables']",fruit and vegetables
169,12,"['aquatic mammals'; 'household electrical devices']",aquatic mammals
170,16,"['flowers'; 'food containers']",flowers
171,0,"['fish'; 'fruit and vegetables']",fish
172,11,"['large carnivores'; 'reptiles']",large carnivores
173,12,"['aquatic mammals'; 'household electrical devices']",aquatic mammals
174,2,"['household electrical devices'; 'large carnivores']",household electrical devices
175,0,"['fish'; 'fruit and vegetables']",fish
176,4,"['flowers'; 'people']",flowers
177,15,"['large natural outdoor scenes'; 'household furniture']",large natural outdoor scenes
178,7,"['large carnivores'; 'trees']",trees
179,9,"['household furniture'; 'vehicles 1']",household furniture
180,11,"['large carnivores'; 'reptiles']",large carnivores
181,14,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
182,11,"['large carnivores'; 'reptiles']",large carnivores
183,3,"['vehicles 1'; 'fruit and vegetables']",fruit and vegetables
184,13,"['people'; 'large natural outdoor scenes']",people
185,13,"['people'; 'large natural outdoor scenes']",large natural outdoor scenes
186,19,"['fish'; 'large carnivores']",large carnivores
187,13,"['people'; 'large natural outdoor scenes']",large natural outdoor scenes
188,14,"['large carnivores'; 'fruit and vegetables']",large carnivores
189,8,"['aquatic mammals'; 'vehicles 1']",aquatic mammals
190,14,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
191,1,"['large carnivores'; 'large man-made outdoor things']",large carnivores
