index,true_label,candidate_labels,complementary_label
29,7,"['two'; 'one'; 'zero'; 'nine'; 'six']",zero
30,3,"['six'; 'eight'; 'zero'; 'five'; 'three']",zero
31,8,"['nine'; 'zero'; 'three'; 'four'; 'five']",zero
32,6,"['four'; 'one'; 'two'; 'five'; 'seven']",one
33,9,"['one'; 'six'; 'four'; 'eight'; 'zero']",zero
34,0,"['zero'; 'four'; 'nine'; 'one'; 'six']",four
35,5,"['zero'; 'five'; 'three'; 'two'; 'four']",zero
36,6,"['two'; 'one'; 'seven'; 'four'; 'five']",one
37,0,"['six'; 'zero'; 'four'; 'nine'; 'one']",zero
38,7,"['two'; 'one'; 'zero'; 'six'; 'nine']",zero
39,6,"['four'; 'five'; 'two'; 'seven'; 'one']",five
40,1,"['four'; 'two'; 'one'; 'eight'; 'three']",one
41,8,"['nine'; 'four'; 'zero'; 'five'; 'three']",zero
42,7,"['zero'; 'one'; 'nine'; 'six'; 'two']",nine
43,9,"['four'; 'one'; 'zero'; 'eight'; 'six']",zero
44,3,"['six'; 'three'; 'five'; 'eight'; 'zero']",zero
45,9,"['four'; 'six'; 'one'; 'zero'; 'eight']",zero
46,8,"['four'; 'zero'; 'three'; 'nine'; 'five']",zero
47,5,"['two'; 'three'; 'four'; 'zero'; 'five']",zero
48,9,"['one'; 'four'; 'six'; 'eight'; 'zero']",zero
49,3,"['eight'; 'zero'; 'six'; 'five'; 'three']",zero
50,3,"['zero'; 'eight'; 'three'; 'five'; 'six']",eight
51,0,"['zero'; 'six'; 'nine'; 'four'; 'one']",nine
52,7,"['six'; 'nine'; 'one'; 'two'; 'zero']",zero
53,4,"['eight'; 'six'; 'seven'; 'four'; 'three']",three
54,9,"['one'; 'six'; 'four'; 'zero'; 'eight']",zero
55,8,"['five'; 'three'; 'nine'; 'four'; 'zero']",zero
56,0,"['six'; 'four'; 'one'; 'nine'; 'zero']",zero
57,9,"['four'; 'eight'; 'zero'; 'six'; 'one']",zero
58,4,"['four'; 'seven'; 'six'; 'three'; 'eight']",seven
59,1,"['eight'; 'one'; 'two'; 'three'; 'four']",one
60,4,"['three'; 'seven'; 'eight'; 'six'; 'four']",seven
61,4,"['six'; 'eight'; 'four'; 'seven'; 'three']",eight
62,6,"['two'; 'five'; 'one'; 'seven'; 'four']",five
63,0,"['zero'; 'one'; 'nine'; 'four'; 'six']",zero
64,4,"['eight'; 'three'; 'seven'; 'four'; 'six']",three
65,5,"['two'; 'four'; 'three'; 'zero'; 'five']",zero
66,6,"['one'; 'seven'; 'five'; 'four'; 'two']",seven
67,1,"['one'; 'two'; 'eight'; 'four'; 'three']",four
68,0,"['nine'; 'six'; 'four'; 'one'; 'zero']",zero
69,0,"['zero'; 'one'; 'six'; 'four'; 'nine']",four
70,1,"['two'; 'eight'; 'four'; 'three'; 'one']",eight
71,7,"['six'; 'one'; 'nine'; 'zero'; 'two']",zero
72,1,"['four'; 'eight'; 'one'; 'two'; 'three']",four
73,6,"['five'; 'seven'; 'two'; 'one'; 'four']",one
74,3,"['six'; 'zero'; 'eight'; 'five'; 'three']",zero
75,0,"['six'; 'zero'; 'one'; 'four'; 'nine']",zero
76,2,"['six'; 'zero'; 'seven'; 'one'; 'nine']",zero
77,1,"['two'; 'three'; 'one'; 'eight'; 'four']",one
78,1,"['one'; 'two'; 'eight'; 'three'; 'four']",eight
79,7,"['six'; 'one'; 'two'; 'zero'; 'nine']",zero
80,9,"['six'; 'one'; 'zero'; 'four'; 'eight']",zero
81,0,"['nine'; 'zero'; 'four'; 'one'; 'six']",zero
82,2,"['seven'; 'one'; 'zero'; 'nine'; 'six']",zero
83,6,"['four'; 'two'; 'seven'; 'five'; 'one']",two
84,7,"['zero'; 'six'; 'nine'; 'one'; 'two']",nine
85,8,"['five'; 'zero'; 'four'; 'nine'; 'three']",zero
86,3,"['three'; 'zero'; 'five'; 'eight'; 'six']",zero
87,9,"['four'; 'six'; 'one'; 'zero'; 'eight']",zero
88,0,"['one'; 'zero'; 'four'; 'nine'; 'six']",zero
89,4,"['three'; 'eight'; 'seven'; 'six'; 'four']",eight
90,6,"['four'; 'seven'; 'two'; 'one'; 'five']",one
91,7,"['six'; 'one'; 'nine'; 'two'; 'zero']",zero
92,4,"['four'; 'eight'; 'seven'; 'six'; 'three']",eight
93,6,"['five'; 'four'; 'two'; 'one'; 'seven']",four
94,8,"['three'; 'four'; 'zero'; 'nine'; 'five']",zero
95,0,"['zero'; 'six'; 'nine'; 'one'; 'four']",nine
96,7,"['two'; 'zero'; 'one'; 'nine'; 'six']",zero
97,8,"['three'; 'zero'; 'nine'; 'four'; 'five']",zero
98,3,"['six'; 'zero'; 'five'; 'three'; 'eight']",zero
99,1,"['two'; 'four'; 'three'; 'one'; 'eight']",four
100,5,"['three'; 'zero'; 'five'; 'two'; 'four']",zero
101,7,"['nine'; 'two'; 'one'; 'six'; 'zero']",zero
102,1,"['two'; 'three'; 'one'; 'eight'; 'four']",one
103,7,"['two'; 'zero'; 'one'; 'nine'; 'six']",zero
104,1,"['eight'; 'two'; 'one'; 'three'; 'four']",two
105,1,"['one'; 'four'; 'eight'; 'three'; 'two']",four
106,6,"['five'; 'two'; 'one'; 'seven'; 'four']",one
107,3,"['three'; 'five'; 'six'; 'eight'; 'zero']",zero
108,0,"['one'; 'six'; 'nine'; 'four'; 'zero']",zero
109,2,"['six'; 'zero'; 'one'; 'seven'; 'nine']",zero
110,9,"['one'; 'zero'; 'six'; 'eight'; 'four']",zero
111,3,"['zero'; 'five'; 'eight'; 'six'; 'three']",zero
112,1,"['two'; 'eight'; 'four'; 'one'; 'three']",eight
113,1,"['eight'; 'one'; 'three'; 'four'; 'two']",one
114,0,"['one'; 'four'; 'six'; 'zero'; 'nine']",zero
115,4,"['eight'; 'six'; 'four'; 'three'; 'seven']",three
116,9,"['four'; 'six'; 'eight'; 'one'; 'zero']",zero
117,2,"['one'; 'nine'; 'zero'; 'six'; 'seven']",zero
118,0,"['nine'; 'four'; 'one'; 'six'; 'zero']",zero
119,0,"['one'; 'four'; 'zero'; 'nine'; 'six']",zero
120,2,"['one'; 'seven'; 'zero'; 'six'; 'nine']",zero
121,0,"['zero'; 'nine'; 'one'; 'four'; 'six']",nine
122,2,"['nine'; 'one'; 'seven'; 'six'; 'zero']",zero
123,7,"['zero'; 'two'; 'nine'; 'six'; 'one']",nine
124,1,"['four'; 'three'; 'two'; 'one'; 'eight']",eight
125,8,"['nine'; 'five'; 'zero'; 'three'; 'four']",zero
126,6,"['four'; 'one'; 'five'; 'two'; 'seven']",one
127,4,"['three'; 'eight'; 'seven'; 'six'; 'four']",eight
128,1,"['four'; 'three'; 'two'; 'eight'; 'one']",eight
129,6,"['five'; 'four'; 'two'; 'seven'; 'one']",four
130,3,"['eight'; 'three'; 'five'; 'zero'; 'six']",zero
131,4,"['four'; 'six'; 'eight'; 'three'; 'seven']",six
132,5,"['five'; 'four'; 'zero'; 'three'; 'two']",zero
133,9,"['zero'; 'one'; 'eight'; 'four'; 'six']",zero
134,1,"['two'; 'eight'; 'three'; 'four'; 'one']",eight
135,3,"['eight'; 'three'; 'zero'; 'five'; 'six']",zero
136,3,"['six'; 'three'; 'eight'; 'zero'; 'five']",zero
137,8,"['zero'; 'five'; 'nine'; 'three'; 'four']",five
138,5,"['three'; 'four'; 'five'; 'zero'; 'two']",zero
139,4,"['six'; 'three'; 'four'; 'seven'; 'eight']",three
140,7,"['two'; 'zero'; 'six'; 'one'; 'nine']",zero
141,7,"['one'; 'zero'; 'two'; 'six'; 'nine']",zero
142,4,"['four'; 'seven'; 'six'; 'eight'; 'three']",seven
143,2,"['zero'; 'nine'; 'one'; 'seven'; 'six']",nine
144,8,"['three'; 'zero'; 'five'; 'four'; 'nine']",zero
145,5,"['three'; 'two'; 'zero'; 'four'; 'five']",zero
146,8,"['three'; 'four'; 'zero'; 'five'; 'nine']",zero
147,6,"['two'; 'seven'; 'one'; 'four'; 'five']",four
148,7,"['nine'; 'two'; 'zero'; 'six'; 'one']",zero
149,3,"['eight'; 'five'; 'three'; 'six'; 'zero']",zero
150,4,"['three'; 'seven'; 'six'; 'eight'; 'four']",seven
151,6,"['four'; 'one'; 'two'; 'seven'; 'five']",one
152,1,"['three'; 'two'; 'eight'; 'four'; 'one']",eight
153,9,"['zero'; 'eight'; 'four'; 'one'; 'six']",four
154,9,"['six'; 'zero'; 'one'; 'eight'; 'four']",zero
155,6,"['one'; 'five'; 'four'; 'seven'; 'two']",five
156,0,"['four'; 'one'; 'zero'; 'nine'; 'six']",zero
157,3,"['eight'; 'zero'; 'three'; 'five'; 'six']",zero
158,7,"['nine'; 'zero'; 'six'; 'two'; 'one']",zero
159,2,"['six'; 'one'; 'zero'; 'nine'; 'seven']",zero
160,8,"['zero'; 'five'; 'three'; 'nine'; 'four']",nine
161,2,"['six'; 'one'; 'seven'; 'nine'; 'zero']",zero
162,9,"['eight'; 'zero'; 'six'; 'one'; 'four']",zero
163,4,"['three'; 'seven'; 'four'; 'eight'; 'six']",four
164,4,"['eight'; 'four'; 'seven'; 'six'; 'three']",seven
165,6,"['four'; 'one'; 'seven'; 'five'; 'two']",one
166,4,"['four'; 'seven'; 'three'; 'eight'; 'six']",seven
167,9,"['zero'; 'one'; 'four'; 'six'; 'eight']",zero
168,7,"['two'; 'zero'; 'one'; 'six'; 'nine']",zero
169,0,"['four'; 'six'; 'nine'; 'one'; 'zero']",zero
170,9,"['zero'; 'eight'; 'six'; 'one'; 'four']",six
171,2,"['seven'; 'zero'; 'six'; 'nine'; 'one']",zero
172,9,"['zero'; 'four'; 'one'; 'eight'; 'six']",four
173,5,"['two'; 'five'; 'zero'; 'four'; 'three']",zero
174,1,"['two'; 'four'; 'three'; 'one'; 'eight']",four
175,5,"['four'; 'five'; 'zero'; 'three'; 'two']",zero
176,9,"['six'; 'zero'; 'four'; 'one'; 'eight']",zero
177,1,"['eight'; 'three'; 'one'; 'two'; 'four']",three
178,2,"['nine'; 'one'; 'six'; 'zero'; 'seven']",zero
179,3,"['five'; 'eight'; 'zero'; 'three'; 'six']",zero
180,2,"['one'; 'seven'; 'zero'; 'nine'; 'six']",zero
181,3,"['zero'; 'six'; 'eight'; 'five'; 'three']",zero
182,5,"['three'; 'four'; 'five'; 'zero'; 'two']",zero
183,9,"['zero'; 'four'; 'eight'; 'six'; 'one']",four
184,1,"['three'; 'one'; 'four'; 'two'; 'eight']",four
185,7,"['zero'; 'two'; 'six'; 'nine'; 'one']",zero
186,6,"['one'; 'five'; 'seven'; 'four'; 'two']",four
187,2,"['seven'; 'six'; 'zero'; 'one'; 'nine']",zero
188,8,"['five'; 'zero'; 'four'; 'three'; 'nine']",zero
189,2,"['one'; 'zero'; 'nine'; 'six'; 'seven']",zero
190,2,"['seven'; 'six'; 'one'; 'nine'; 'zero']",zero
191,5,"['five'; 'four'; 'two'; 'three'; 'zero']",zero
192,0,"['one'; 'zero'; 'four'; 'six'; 'nine']",zero
193,7,"['two'; 'six'; 'one'; 'nine'; 'zero']",zero
194,4,"['six'; 'four'; 'three'; 'seven'; 'eight']",three
195,9,"['one'; 'eight'; 'four'; 'zero'; 'six']",zero
196,7,"['six'; 'two'; 'zero'; 'nine'; 'one']",zero
197,8,"['four'; 'three'; 'zero'; 'five'; 'nine']",zero
198,3,"['five'; 'eight'; 'zero'; 'three'; 'six']",zero
199,2,"['seven'; 'one'; 'nine'; 'zero'; 'six']",zero
200,1,"['one'; 'two'; 'three'; 'four'; 'eight']",eight
201,1,"['four'; 'two'; 'three'; 'one'; 'eight']",one
202,8,"['four'; 'five'; 'three'; 'nine'; 'zero']",zero
203,3,"['six'; 'five'; 'eight'; 'three'; 'zero']",zero
204,6,"['one'; 'five'; 'two'; 'seven'; 'four']",five
205,1,"['two'; 'one'; 'four'; 'three'; 'eight']",one
206,0,"['four'; 'one'; 'zero'; 'six'; 'nine']",zero
207,3,"['zero'; 'six'; 'eight'; 'five'; 'three']",zero
208,1,"['two'; 'eight'; 'one'; 'three'; 'four']",eight
209,0,"['one'; 'six'; 'nine'; 'zero'; 'four']",zero
210,0,"['zero'; 'nine'; 'four'; 'six'; 'one']",nine
211,1,"['one'; 'two'; 'three'; 'eight'; 'four']",eight
212,7,"['one'; 'nine'; 'zero'; 'six'; 'two']",zero
213,2,"['nine'; 'seven'; 'zero'; 'six'; 'one']",zero
214,7,"['two'; 'six'; 'one'; 'nine'; 'zero']",zero
215,3,"['six'; 'five'; 'three'; 'zero'; 'eight']",zero
216,0,"['six'; 'one'; 'zero'; 'four'; 'nine']",zero
217,4,"['seven'; 'three'; 'four'; 'eight'; 'six']",three
218,6,"['seven'; 'four'; 'five'; 'two'; 'one']",four
219,5,"['zero'; 'two'; 'four'; 'three'; 'five']",zero
220,2,"['seven'; 'six'; 'zero'; 'nine'; 'one']",zero
221,6,"['five'; 'one'; 'four'; 'two'; 'seven']",one
222,4,"['seven'; 'six'; 'three'; 'four'; 'eight']",six
223,7,"['two'; 'nine'; 'one'; 'zero'; 'six']",zero
224,1,"['two'; 'four'; 'one'; 'eight'; 'three']",four
225,8,"['three'; 'five'; 'zero'; 'nine'; 'four']",zero
226,9,"['six'; 'one'; 'four'; 'eight'; 'zero']",zero
227,9,"['one'; 'eight'; 'zero'; 'four'; 'six']",zero
228,3,"['six'; 'zero'; 'five'; 'eight'; 'three']",zero
229,0,"['one'; 'nine'; 'zero'; 'six'; 'four']",zero
230,7,"['one'; 'six'; 'two'; 'nine'; 'zero']",zero
231,1,"['four'; 'two'; 'one'; 'eight'; 'three']",one
232,0,"['nine'; 'four'; 'zero'; 'one'; 'six']",nine
233,2,"['seven'; 'six'; 'nine'; 'one'; 'zero']",zero
234,0,"['four'; 'zero'; 'one'; 'six'; 'nine']",zero
235,3,"['three'; 'eight'; 'five'; 'zero'; 'six']",zero
236,5,"['zero'; 'four'; 'two'; 'five'; 'three']",zero
237,4,"['eight'; 'four'; 'three'; 'six'; 'seven']",three
238,6,"['four'; 'seven'; 'five'; 'one'; 'two']",one
239,5,"['two'; 'zero'; 'four'; 'three'; 'five']",zero
240,8,"['zero'; 'four'; 'five'; 'nine'; 'three']",zero
241,6,"['four'; 'two'; 'five'; 'one'; 'seven']",two
242,3,"['six'; 'five'; 'three'; 'eight'; 'zero']",zero
243,7,"['six'; 'one'; 'two'; 'zero'; 'nine']",zero
244,5,"['four'; 'two'; 'zero'; 'five'; 'three']",zero
245,8,"['five'; 'three'; 'nine'; 'zero'; 'four']",zero
246,0,"['one'; 'four'; 'six'; 'zero'; 'nine']",zero
247,9,"['one'; 'eight'; 'six'; 'zero'; 'four']",zero
248,1,"['three'; 'one'; 'four'; 'two'; 'eight']",one
249,0,"['nine'; 'zero'; 'six'; 'one'; 'four']",zero
250,3,"['six'; 'zero'; 'five'; 'three'; 'eight']",zero
251,1,"['three'; 'four'; 'two'; 'eight'; 'one']",four
252,2,"['seven'; 'zero'; 'nine'; 'six'; 'one']",zero
253,2,"['nine'; 'six'; 'one'; 'seven'; 'zero']",zero
254,3,"['eight'; 'three'; 'six'; 'zero'; 'five']",zero
255,3,"['eight'; 'zero'; 'five'; 'three'; 'six']",zero
256,6,"['five'; 'seven'; 'four'; 'one'; 'two']",four
257,4,"['four'; 'three'; 'six'; 'seven'; 'eight']",three
258,7,"['nine'; 'six'; 'one'; 'zero'; 'two']",zero
259,5,"['three'; 'four'; 'five'; 'two'; 'zero']",zero
260,0,"['four'; 'zero'; 'one'; 'nine'; 'six']",zero
261,6,"['seven'; 'five'; 'one'; 'two'; 'four']",five
262,2,"['zero'; 'six'; 'nine'; 'seven'; 'one']",seven
263,7,"['one'; 'nine'; 'zero'; 'six'; 'two']",zero
264,9,"['one'; 'six'; 'zero'; 'eight'; 'four']",zero
265,8,"['four'; 'nine'; 'three'; 'five'; 'zero']",zero
266,5,"['five'; 'three'; 'zero'; 'four'; 'two']",zero
267,9,"['six'; 'eight'; 'four'; 'one'; 'zero']",zero
268,2,"['one'; 'seven'; 'zero'; 'six'; 'nine']",zero
269,1,"['four'; 'eight'; 'one'; 'two'; 'three']",four
270,1,"['four'; 'eight'; 'one'; 'three'; 'two']",four
271,4,"['three'; 'four'; 'six'; 'eight'; 'seven']",eight
272,4,"['eight'; 'four'; 'seven'; 'six'; 'three']",seven
273,5,"['three'; 'four'; 'five'; 'two'; 'zero']",zero
274,6,"['seven'; 'two'; 'four'; 'one'; 'five']",two
275,4,"['eight'; 'three'; 'four'; 'six'; 'seven']",three
276,1,"['three'; 'one'; 'eight'; 'four'; 'two']",one
277,2,"['nine'; 'six'; 'one'; 'seven'; 'zero']",zero
278,5,"['four'; 'zero'; 'three'; 'five'; 'two']",zero
279,3,"['zero'; 'three'; 'five'; 'six'; 'eight']",zero
280,9,"['one'; 'zero'; 'four'; 'eight'; 'six']",zero
281,3,"['zero'; 'six'; 'three'; 'eight'; 'five']",zero
282,9,"['one'; 'zero'; 'eight'; 'six'; 'four']",zero
283,0,"['zero'; 'four'; 'nine'; 'six'; 'one']",four
284,5,"['four'; 'five'; 'two'; 'three'; 'zero']",zero
285,9,"['eight'; 'one'; 'four'; 'six'; 'zero']",zero
286,6,"['four'; 'one'; 'five'; 'two'; 'seven']",one
287,5,"['five'; 'two'; 'three'; 'four'; 'zero']",zero
288,7,"['six'; 'two'; 'zero'; 'one'; 'nine']",zero
289,4,"['seven'; 'three'; 'four'; 'six'; 'eight']",three
290,1,"['four'; 'one'; 'eight'; 'two'; 'three']",one
291,3,"['five'; 'zero'; 'eight'; 'six'; 'three']",zero
292,4,"['eight'; 'four'; 'three'; 'six'; 'seven']",three
293,0,"['nine'; 'one'; 'six'; 'zero'; 'four']",zero
294,4,"['three'; 'eight'; 'six'; 'four'; 'seven']",eight
295,8,"['zero'; 'five'; 'four'; 'three'; 'nine']",five
296,0,"['zero'; 'four'; 'six'; 'nine'; 'one']",four
297,4,"['four'; 'seven'; 'eight'; 'three'; 'six']",seven
298,3,"['three'; 'five'; 'zero'; 'eight'; 'six']",zero
299,6,"['one'; 'four'; 'seven'; 'five'; 'two']",four
300,8,"['three'; 'four'; 'zero'; 'five'; 'nine']",zero
301,7,"['six'; 'two'; 'nine'; 'zero'; 'one']",zero
302,6,"['seven'; 'one'; 'two'; 'four'; 'five']",one
303,0,"['zero'; 'one'; 'six'; 'four'; 'nine']",four
304,9,"['eight'; 'six'; 'four'; 'one'; 'zero']",zero
305,7,"['six'; 'two'; 'nine'; 'one'; 'zero']",zero
306,5,"['five'; 'zero'; 'three'; 'four'; 'two']",zero
307,7,"['nine'; 'two'; 'one'; 'zero'; 'six']",zero
308,2,"['seven'; 'one'; 'nine'; 'six'; 'zero']",zero
309,1,"['eight'; 'two'; 'one'; 'three'; 'four']",two
310,1,"['four'; 'eight'; 'one'; 'two'; 'three']",four
311,6,"['seven'; 'one'; 'four'; 'five'; 'two']",one
312,8,"['nine'; 'four'; 'zero'; 'five'; 'three']",zero
313,9,"['one'; 'six'; 'four'; 'eight'; 'zero']",zero
314,4,"['eight'; 'four'; 'seven'; 'three'; 'six']",four
315,1,"['one'; 'eight'; 'three'; 'two'; 'four']",eight
316,5,"['four'; 'three'; 'five'; 'two'; 'zero']",zero
317,2,"['seven'; 'one'; 'six'; 'zero'; 'nine']",zero
318,2,"['six'; 'seven'; 'zero'; 'nine'; 'one']",zero
319,9,"['one'; 'six'; 'four'; 'eight'; 'zero']",zero
320,0,"['four'; 'one'; 'nine'; 'zero'; 'six']",zero
321,3,"['three'; 'eight'; 'five'; 'zero'; 'six']",zero
322,9,"['six'; 'four'; 'zero'; 'one'; 'eight']",zero
323,6,"['five'; 'two'; 'one'; 'four'; 'seven']",one
324,7,"['six'; 'two'; 'one'; 'nine'; 'zero']",zero
325,2,"['nine'; 'seven'; 'six'; 'one'; 'zero']",zero
326,0,"['four'; 'six'; 'nine'; 'one'; 'zero']",zero
327,3,"['five'; 'six'; 'three'; 'zero'; 'eight']",zero
328,5,"['zero'; 'four'; 'five'; 'three'; 'two']",zero
329,4,"['eight'; 'six'; 'four'; 'three'; 'seven']",three
330,3,"['five'; 'three'; 'six'; 'eight'; 'zero']",zero
331,6,"['one'; 'seven'; 'four'; 'five'; 'two']",seven
332,5,"['two'; 'zero'; 'three'; 'five'; 'four']",zero
333,8,"['nine'; 'five'; 'three'; 'four'; 'zero']",zero
334,9,"['six'; 'eight'; 'zero'; 'four'; 'one']",zero
335,5,"['zero'; 'two'; 'four'; 'five'; 'three']",zero
336,4,"['four'; 'eight'; 'three'; 'seven'; 'six']",eight
337,7,"['six'; 'zero'; 'two'; 'one'; 'nine']",zero
338,4,"['three'; 'four'; 'eight'; 'seven'; 'six']",eight
339,2,"['one'; 'zero'; 'nine'; 'six'; 'seven']",zero
340,7,"['six'; 'one'; 'two'; 'zero'; 'nine']",zero
341,3,"['five'; 'zero'; 'three'; 'six'; 'eight']",zero
342,4,"['seven'; 'three'; 'eight'; 'six'; 'four']",three
343,8,"['three'; 'five'; 'zero'; 'nine'; 'four']",zero
344,9,"['eight'; 'four'; 'zero'; 'six'; 'one']",zero
345,1,"['two'; 'one'; 'eight'; 'three'; 'four']",one
346,9,"['six'; 'eight'; 'zero'; 'four'; 'one']",zero
347,2,"['seven'; 'zero'; 'nine'; 'six'; 'one']",zero
348,8,"['four'; 'three'; 'five'; 'nine'; 'zero']",zero
349,7,"['one'; 'zero'; 'nine'; 'two'; 'six']",zero
350,9,"['four'; 'one'; 'zero'; 'six'; 'eight']",zero
351,1,"['three'; 'two'; 'eight'; 'four'; 'one']",eight
352,8,"['three'; 'five'; 'nine'; 'four'; 'zero']",zero
353,7,"['nine'; 'zero'; 'two'; 'one'; 'six']",zero
354,4,"['three'; 'seven'; 'six'; 'four'; 'eight']",seven
355,1,"['four'; 'two'; 'three'; 'eight'; 'one']",eight
356,3,"['six'; 'eight'; 'five'; 'three'; 'zero']",zero
357,1,"['three'; 'one'; 'eight'; 'two'; 'four']",one
358,1,"['three'; 'four'; 'one'; 'two'; 'eight']",four
359,0,"['six'; 'one'; 'four'; 'nine'; 'zero']",zero
360,2,"['zero'; 'one'; 'nine'; 'six'; 'seven']",seven
361,3,"['eight'; 'three'; 'six'; 'five'; 'zero']",zero
362,9,"['six'; 'four'; 'zero'; 'one'; 'eight']",zero
363,4,"['seven'; 'eight'; 'four'; 'three'; 'six']",four
364,9,"['zero'; 'four'; 'one'; 'eight'; 'six']",four
365,2,"['six'; 'one'; 'zero'; 'seven'; 'nine']",zero
366,1,"['four'; 'eight'; 'three'; 'two'; 'one']",eight
367,6,"['one'; 'seven'; 'four'; 'two'; 'five']",seven
368,8,"['zero'; 'nine'; 'three'; 'four'; 'five']",nine
369,4,"['eight'; 'six'; 'seven'; 'three'; 'four']",six
370,7,"['two'; 'six'; 'one'; 'zero'; 'nine']",zero
371,7,"['one'; 'zero'; 'nine'; 'six'; 'two']",zero
372,4,"['six'; 'three'; 'eight'; 'four'; 'seven']",three
373,4,"['eight'; 'seven'; 'six'; 'four'; 'three']",seven
374,9,"['six'; 'four'; 'zero'; 'eight'; 'one']",zero
375,2,"['zero'; 'six'; 'one'; 'seven'; 'nine']",seven
376,5,"['three'; 'two'; 'zero'; 'four'; 'five']",zero
377,7,"['nine'; 'six'; 'two'; 'zero'; 'one']",zero
378,2,"['six'; 'nine'; 'seven'; 'one'; 'zero']",zero
379,4,"['seven'; 'six'; 'four'; 'eight'; 'three']",three
380,4,"['four'; 'six'; 'three'; 'eight'; 'seven']",six
381,2,"['zero'; 'nine'; 'seven'; 'one'; 'six']",seven
382,1,"['three'; 'one'; 'eight'; 'four'; 'two']",one
383,9,"['one'; 'eight'; 'zero'; 'four'; 'six']",zero
384,7,"['nine'; 'six'; 'zero'; 'two'; 'one']",zero
385,2,"['seven'; 'nine'; 'one'; 'zero'; 'six']",zero
386,8,"['four'; 'three'; 'nine'; 'five'; 'zero']",zero
387,7,"['nine'; 'two'; 'six'; 'zero'; 'one']",zero
388,6,"['five'; 'seven'; 'four'; 'one'; 'two']",one
389,9,"['four'; 'zero'; 'eight'; 'six'; 'one']",zero
390,2,"['zero'; 'seven'; 'one'; 'nine'; 'six']",seven
391,2,"['zero'; 'six'; 'seven'; 'nine'; 'one']",seven
392,3,"['five'; 'zero'; 'six'; 'three'; 'eight']",zero
393,8,"['three'; 'five'; 'zero'; 'four'; 'nine']",zero
394,1,"['three'; 'one'; 'eight'; 'four'; 'two']",one
395,6,"['five'; 'four'; 'one'; 'seven'; 'two']",one
396,5,"['two'; 'three'; 'zero'; 'four'; 'five']",zero
397,1,"['four'; 'one'; 'three'; 'eight'; 'two']",one
398,1,"['eight'; 'three'; 'two'; 'one'; 'four']",three
399,0,"['four'; 'nine'; 'six'; 'zero'; 'one']",zero
400,2,"['seven'; 'zero'; 'nine'; 'one'; 'six']",zero
401,6,"['two'; 'five'; 'four'; 'seven'; 'one']",five
402,4,"['four'; 'eight'; 'six'; 'seven'; 'three']",eight
403,5,"['five'; 'four'; 'two'; 'three'; 'zero']",zero
404,8,"['nine'; 'three'; 'five'; 'four'; 'zero']",zero
405,3,"['six'; 'three'; 'five'; 'eight'; 'zero']",zero
406,1,"['eight'; 'four'; 'three'; 'two'; 'one']",four
407,5,"['zero'; 'two'; 'five'; 'three'; 'four']",zero
408,1,"['two'; 'four'; 'one'; 'three'; 'eight']",four
409,9,"['one'; 'eight'; 'four'; 'six'; 'zero']",zero
410,2,"['six'; 'zero'; 'one'; 'seven'; 'nine']",zero
411,7,"['one'; 'two'; 'zero'; 'nine'; 'six']",zero
412,4,"['eight'; 'seven'; 'four'; 'three'; 'six']",three
413,4,"['six'; 'four'; 'seven'; 'eight'; 'three']",eight
414,4,"['seven'; 'four'; 'three'; 'six'; 'eight']",three
415,8,"['nine'; 'four'; 'three'; 'zero'; 'five']",zero
