index,true_label,candidate_labels,complementary_label
66,4,"['household furniture'; 'aquatic mammals'; 'flowers']",aquatic mammals
67,10,"['household furniture'; 'fruit and vegetables'; 'large carnivores']",fruit and vegetables
68,15,"['flowers'; 'trees'; 'medium-sized mammals']",flowers
69,4,"['aquatic mammals'; 'flowers'; 'household furniture']",aquatic mammals
70,2,"['food containers'; 'flowers'; 'trees']",food containers
71,16,"['large man-made outdoor things'; 'household furniture'; 'large omnivores and herbivores']",large man-made outdoor things
72,11,"['food containers'; 'large natural outdoor scenes'; 'flowers']",flowers
73,19,"['medium-sized mammals'; 'food containers'; 'large carnivores']",food containers
74,16,"['large omnivores and herbivores'; 'household furniture'; 'large man-made outdoor things']",household furniture
75,7,"['non-insect invertebrates'; 'insects'; 'people']",non-insect invertebrates
76,19,"['large carnivores'; 'food containers'; 'medium-sized mammals']",large carnivores
77,14,"['food containers'; 'people'; 'trees']",trees
78,10,"['fruit and vegetables'; 'household furniture'; 'large carnivores']",fruit and vegetables
79,8,"['vehicles 1'; 'aquatic mammals'; 'large carnivores']",aquatic mammals
80,5,"['small mammals'; 'insects'; 'aquatic mammals']",aquatic mammals
81,12,"['large omnivores and herbivores'; 'food containers'; 'medium-sized mammals']",food containers
82,12,"['large omnivores and herbivores'; 'food containers'; 'medium-sized mammals']",food containers
83,11,"['food containers'; 'large natural outdoor scenes'; 'flowers']",flowers
84,10,"['household furniture'; 'large carnivores'; 'fruit and vegetables']",household furniture
85,8,"['vehicles 1'; 'large carnivores'; 'aquatic mammals']",aquatic mammals
86,12,"['food containers'; 'medium-sized mammals'; 'large omnivores and herbivores']",food containers
87,13,"['large carnivores'; 'large omnivores and herbivores'; 'fish']",fish
88,10,"['large carnivores'; 'fruit and vegetables'; 'household furniture']",fruit and vegetables
89,7,"['insects'; 'people'; 'non-insect invertebrates']",people
90,14,"['people'; 'trees'; 'food containers']",trees
91,11,"['food containers'; 'flowers'; 'large natural outdoor scenes']",flowers
92,14,"['trees'; 'people'; 'food containers']",trees
93,19,"['medium-sized mammals'; 'food containers'; 'large carnivores']",food containers
94,0,"['aquatic mammals'; 'large carnivores'; 'food containers']",food containers
95,4,"['household furniture'; 'flowers'; 'aquatic mammals']",aquatic mammals
96,12,"['large omnivores and herbivores'; 'food containers'; 'medium-sized mammals']",food containers
97,13,"['large carnivores'; 'large omnivores and herbivores'; 'fish']",fish
98,1,"['insects'; 'vehicles 2'; 'fruit and vegetables']",Vehicles
99,15,"['trees'; 'flowers'; 'medium-sized mammals']",trees
100,0,"['large carnivores'; 'aquatic mammals'; 'food containers']",food containers
101,5,"['aquatic mammals'; 'insects'; 'small mammals']",aquatic mammals
102,0,"['aquatic mammals'; 'large carnivores'; 'food containers']",aquatic mammals
103,8,"['aquatic mammals'; 'vehicles 1'; 'large carnivores']",vehicles 1
104,3,"['non-insect invertebrates'; 'fish'; 'vehicles 1']",non-insect invertebrates
105,15,"['medium-sized mammals'; 'trees'; 'flowers']",trees
106,4,"['aquatic mammals'; 'flowers'; 'household furniture']",aquatic mammals
107,19,"['large carnivores'; 'food containers'; 'medium-sized mammals']",food containers
108,17,"['fish'; 'insects'; 'flowers']",fish
109,6,"['trees'; 'household furniture'; 'vehicles 2']",trees
110,17,"['insects'; 'fish'; 'flowers']",fish
111,12,"['food containers'; 'large omnivores and herbivores'; 'medium-sized mammals']",food containers
112,6,"['trees'; 'vehicles 2'; 'household furniture']",Vehicles
113,0,"['aquatic mammals'; 'food containers'; 'large carnivores']",food containers
114,14,"['people'; 'trees'; 'food containers']",trees
115,10,"['large carnivores'; 'household furniture'; 'fruit and vegetables']",household furniture
116,9,"['large natural outdoor scenes'; 'household electrical devices'; 'non-insect invertebrates']",household electrical devices
117,11,"['large natural outdoor scenes'; 'food containers'; 'flowers']",flowers
118,6,"['household furniture'; 'vehicles 2'; 'trees']",trees
119,10,"['large carnivores'; 'household furniture'; 'fruit and vegetables']",household furniture
120,12,"['large omnivores and herbivores'; 'food containers'; 'medium-sized mammals']",food containers
121,1,"['fruit and vegetables'; 'insects'; 'vehicles 2']",Vehicles
122,14,"['trees'; 'people'; 'food containers']",trees
123,4,"['household furniture'; 'aquatic mammals'; 'flowers']",aquatic mammals
124,8,"['large carnivores'; 'vehicles 1'; 'aquatic mammals']",vehicles 1
125,1,"['vehicles 2'; 'fruit and vegetables'; 'insects']",fruit and vegetables
126,2,"['food containers'; 'flowers'; 'trees']",food containers
127,12,"['food containers'; 'large omnivores and herbivores'; 'medium-sized mammals']",food containers
128,4,"['aquatic mammals'; 'household furniture'; 'flowers']",household furniture
129,12,"['large omnivores and herbivores'; 'food containers'; 'medium-sized mammals']",food containers
130,18,"['flowers'; 'large man-made outdoor things'; 'insects']",flowers
131,17,"['fish'; 'insects'; 'flowers']",fish
132,5,"['insects'; 'aquatic mammals'; 'small mammals']",aquatic mammals
133,0,"['food containers'; 'aquatic mammals'; 'large carnivores']",food containers
134,6,"['trees'; 'household furniture'; 'vehicles 2']",trees
135,0,"['aquatic mammals'; 'food containers'; 'large carnivores']",food containers
136,12,"['food containers'; 'medium-sized mammals'; 'large omnivores and herbivores']",food containers
137,11,"['large natural outdoor scenes'; 'flowers'; 'food containers']",flowers
138,9,"['household electrical devices'; 'large natural outdoor scenes'; 'non-insect invertebrates']",household electrical devices
139,5,"['aquatic mammals'; 'small mammals'; 'insects']",aquatic mammals
140,17,"['fish'; 'insects'; 'flowers']",fish
141,2,"['trees'; 'flowers'; 'food containers']",trees
142,14,"['trees'; 'food containers'; 'people']",trees
143,12,"['food containers'; 'medium-sized mammals'; 'large omnivores and herbivores']",food containers
144,5,"['insects'; 'aquatic mammals'; 'small mammals']",aquatic mammals
145,0,"['aquatic mammals'; 'large carnivores'; 'food containers']",food containers
146,13,"['large omnivores and herbivores'; 'large carnivores'; 'fish']",fish
147,12,"['food containers'; 'large omnivores and herbivores'; 'medium-sized mammals']",food containers
148,16,"['household furniture'; 'large omnivores and herbivores'; 'large man-made outdoor things']",household furniture
149,4,"['flowers'; 'aquatic mammals'; 'household furniture']",flowers
150,13,"['large omnivores and herbivores'; 'large carnivores'; 'fish']",fish
151,0,"['large carnivores'; 'aquatic mammals'; 'food containers']",large carnivores
152,18,"['insects'; 'large man-made outdoor things'; 'flowers']",insects
153,15,"['trees'; 'flowers'; 'medium-sized mammals']",trees
154,10,"['large carnivores'; 'household furniture'; 'fruit and vegetables']",household furniture
155,15,"['trees'; 'medium-sized mammals'; 'flowers']",trees
156,5,"['insects'; 'small mammals'; 'aquatic mammals']",insects
157,13,"['large carnivores'; 'fish'; 'large omnivores and herbivores']",fish
158,1,"['fruit and vegetables'; 'vehicles 2'; 'insects']",vehicles 2
159,14,"['trees'; 'food containers'; 'people']",trees
160,12,"['food containers'; 'large omnivores and herbivores'; 'medium-sized mammals']",food containers
161,3,"['non-insect invertebrates'; 'vehicles 1'; 'fish']",non-insect invertebrates
162,19,"['large carnivores'; 'food containers'; 'medium-sized mammals']",food containers
163,1,"['insects'; 'fruit and vegetables'; 'vehicles 2']",insects
164,2,"['food containers'; 'flowers'; 'trees']",food containers
165,15,"['flowers'; 'trees'; 'medium-sized mammals']",flowers
166,5,"['aquatic mammals'; 'insects'; 'small mammals']",aquatic mammals
167,2,"['trees'; 'food containers'; 'flowers']",trees
168,3,"['vehicles 1'; 'non-insect invertebrates'; 'fish']",fish
169,12,"['large omnivores and herbivores'; 'medium-sized mammals'; 'food containers']",large omnivores and herbivores
170,16,"['household furniture'; 'large man-made outdoor things'; 'large omnivores and herbivores']",household furniture
171,0,"['food containers'; 'aquatic mammals'; 'large carnivores']",food containers
172,11,"['large natural outdoor scenes'; 'flowers'; 'food containers']",flowers
173,12,"['food containers'; 'medium-sized mammals'; 'large omnivores and herbivores']",food containers
174,2,"['trees'; 'food containers'; 'flowers']",food containers
175,0,"['aquatic mammals'; 'food containers'; 'large carnivores']",food containers
176,4,"['flowers'; 'household furniture'; 'aquatic mammals']",household furniture
177,15,"['flowers'; 'medium-sized mammals'; 'trees']",flowers
178,7,"['insects'; 'people'; 'non-insect invertebrates']",people
179,9,"['household electrical devices'; 'large natural outdoor scenes'; 'non-insect invertebrates']",household electrical devices
180,11,"['food containers'; 'flowers'; 'large natural outdoor scenes']",flowers
181,14,"['food containers'; 'people'; 'trees']",trees
182,11,"['food containers'; 'flowers'; 'large natural outdoor scenes']",flowers
183,3,"['vehicles 1'; 'non-insect invertebrates'; 'fish']",fish
184,13,"['large omnivores and herbivores'; 'fish'; 'large carnivores']",fish
185,13,"['large omnivores and herbivores'; 'fish'; 'large carnivores']",fish
186,19,"['medium-sized mammals'; 'large carnivores'; 'food containers']",food containers
187,13,"['large omnivores and herbivores'; 'large carnivores'; 'fish']",fish
188,14,"['food containers'; 'people'; 'trees']",trees
189,8,"['aquatic mammals'; 'vehicles 1'; 'large carnivores']",Vehicles
190,14,"['food containers'; 'people'; 'trees']",food containers
191,1,"['insects'; 'fruit and vegetables'; 'vehicles 2']",Vehicles
192,16,"['household furniture'; 'large omnivores and herbivores'; 'large man-made outdoor things']",household furniture
193,9,"['household electrical devices'; 'non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
194,16,"['large omnivores and herbivores'; 'large man-made outdoor things'; 'household furniture']",household furniture
195,18,"['flowers'; 'insects'; 'large man-made outdoor things']",flowers
196,19,"['large carnivores'; 'medium-sized mammals'; 'food containers']",large carnivores
197,6,"['household furniture'; 'trees'; 'vehicles 2']",trees
198,5,"['small mammals'; 'aquatic mammals'; 'insects']",small mammals
199,19,"['food containers'; 'medium-sized mammals'; 'large carnivores']",food containers
200,5,"['aquatic mammals'; 'insects'; 'small mammals']",aquatic mammals
201,1,"['vehicles 2'; 'insects'; 'fruit and vegetables']",fruit and vegetables
202,14,"['trees'; 'people'; 'food containers']",trees
203,14,"['food containers'; 'people'; 'trees']",food containers
204,10,"['household furniture'; 'large carnivores'; 'fruit and vegetables']",household furniture
205,12,"['medium-sized mammals'; 'large omnivores and herbivores'; 'food containers']",food containers
206,8,"['vehicles 1'; 'large carnivores'; 'aquatic mammals']",Vehicles
207,7,"['insects'; 'non-insect invertebrates'; 'people']",people
208,10,"['fruit and vegetables'; 'large carnivores'; 'household furniture']",fruit and vegetables
209,9,"['non-insect invertebrates'; 'large natural outdoor scenes'; 'household electrical devices']",non-insect invertebrates
210,16,"['large omnivores and herbivores'; 'large man-made outdoor things'; 'household furniture']",household furniture
211,19,"['medium-sized mammals'; 'large carnivores'; 'food containers']",food containers
212,9,"['household electrical devices'; 'non-insect invertebrates'; 'large natural outdoor scenes']",household electrical devices
213,13,"['large carnivores'; 'fish'; 'large omnivores and herbivores']",fish
214,16,"['household furniture'; 'large man-made outdoor things'; 'large omnivores and herbivores']",household furniture
215,11,"['food containers'; 'flowers'; 'large natural outdoor scenes']",flowers
216,13,"['large omnivores and herbivores'; 'large carnivores'; 'fish']",fish
217,9,"['non-insect invertebrates'; 'large natural outdoor scenes'; 'household electrical devices']",non-insect invertebrates
218,5,"['aquatic mammals'; 'small mammals'; 'insects']",aquatic mammals
219,18,"['large man-made outdoor things'; 'flowers'; 'insects']",flowers
220,3,"['fish'; 'vehicles 1'; 'non-insect invertebrates']",fish
221,2,"['food containers'; 'trees'; 'flowers']",food containers
222,5,"['small mammals'; 'aquatic mammals'; 'insects']",small mammals
223,5,"['insects'; 'small mammals'; 'aquatic mammals']",insects
224,11,"['flowers'; 'large natural outdoor scenes'; 'food containers']",flowers
225,2,"['food containers'; 'trees'; 'flowers']",food containers
226,5,"['insects'; 'small mammals'; 'aquatic mammals']",insects
227,3,"['fish'; 'non-insect invertebrates'; 'vehicles 1']",fish
228,14,"['people'; 'food containers'; 'trees']",food containers
229,19,"['medium-sized mammals'; 'food containers'; 'large carnivores']",food containers
230,18,"['insects'; 'flowers'; 'large man-made outdoor things']",flowers
231,18,"['insects'; 'flowers'; 'large man-made outdoor things']",flowers
232,13,"['large carnivores'; 'large omnivores and herbivores'; 'fish']",fish
233,12,"['medium-sized mammals'; 'food containers'; 'large omnivores and herbivores']",food containers
234,19,"['large carnivores'; 'medium-sized mammals'; 'food containers']",large carnivores
235,11,"['flowers'; 'food containers'; 'large natural outdoor scenes']",flowers
236,13,"['large carnivores'; 'fish'; 'large omnivores and herbivores']",fish
237,5,"['small mammals'; 'insects'; 'aquatic mammals']",aquatic mammals
238,15,"['flowers'; 'medium-sized mammals'; 'trees']",flowers
239,5,"['small mammals'; 'insects'; 'aquatic mammals']",aquatic mammals
240,18,"['insects'; 'flowers'; 'large man-made outdoor things']",flowers
241,6,"['household furniture'; 'trees'; 'vehicles 2']",trees
242,14,"['food containers'; 'people'; 'trees']",trees
243,11,"['flowers'; 'large natural outdoor scenes'; 'food containers']",flowers
244,3,"['fish'; 'vehicles 1'; 'non-insect invertebrates']",fish
245,17,"['flowers'; 'fish'; 'insects']",fish
246,2,"['trees'; 'flowers'; 'food containers']",food containers
247,16,"['large man-made outdoor things'; 'household furniture'; 'large omnivores and herbivores']",household furniture
248,5,"['small mammals'; 'aquatic mammals'; 'insects']",aquatic mammals
249,5,"['aquatic mammals'; 'small mammals'; 'insects']",aquatic mammals
250,8,"['vehicles 1'; 'aquatic mammals'; 'large carnivores']",aquatic mammals
251,18,"['flowers'; 'insects'; 'large man-made outdoor things']",insects
252,18,"['large man-made outdoor things'; 'insects'; 'flowers']",flowers
253,4,"['household furniture'; 'aquatic mammals'; 'flowers']",aquatic mammals
254,14,"['trees'; 'food containers'; 'people']",trees
255,10,"['large carnivores'; 'fruit and vegetables'; 'household furniture']",fruit and vegetables
256,10,"['household furniture'; 'fruit and vegetables'; 'large carnivores']",fruit and vegetables
257,19,"['food containers'; 'large carnivores'; 'medium-sized mammals']",food containers
258,17,"['fish'; 'insects'; 'flowers']",fish
259,14,"['food containers'; 'people'; 'trees']",food containers
260,14,"['food containers'; 'people'; 'trees']",trees
261,0,"['aquatic mammals'; 'large carnivores'; 'food containers']",food containers
262,8,"['large carnivores'; 'vehicles 1'; 'aquatic mammals']",vehicles 1
263,5,"['small mammals'; 'aquatic mammals'; 'insects']",small mammals
264,12,"['food containers'; 'large omnivores and herbivores'; 'medium-sized mammals']",food containers
265,12,"['food containers'; 'large omnivores and herbivores'; 'medium-sized mammals']",food containers
266,7,"['people'; 'insects'; 'non-insect invertebrates']",people
267,14,"['food containers'; 'trees'; 'people']",trees
268,12,"['medium-sized mammals'; 'large omnivores and herbivores'; 'food containers']",food containers
269,17,"['insects'; 'fish'; 'flowers']",fish
270,4,"['flowers'; 'aquatic mammals'; 'household furniture']",aquatic mammals
271,1,"['fruit and vegetables'; 'vehicles 2'; 'insects']",vehicles 2
272,15,"['medium-sized mammals'; 'flowers'; 'trees']",trees
273,14,"['food containers'; 'trees'; 'people']",trees
274,2,"['trees'; 'food containers'; 'flowers']",food containers
275,10,"['fruit and vegetables'; 'household furniture'; 'large carnivores']",fruit and vegetables
276,18,"['insects'; 'flowers'; 'large man-made outdoor things']",flowers
277,17,"['insects'; 'flowers'; 'fish']",fish
278,11,"['flowers'; 'large natural outdoor scenes'; 'food containers']",flowers
279,9,"['household electrical devices'; 'large natural outdoor scenes'; 'non-insect invertebrates']",household electrical devices
280,12,"['medium-sized mammals'; 'food containers'; 'large omnivores and herbivores']",food containers
281,3,"['non-insect invertebrates'; 'vehicles 1'; 'fish']",non-insect invertebrates
282,1,"['fruit and vegetables'; 'insects'; 'vehicles 2']",Vehicles
283,4,"['aquatic mammals'; 'flowers'; 'household furniture']",aquatic mammals
284,1,"['insects'; 'fruit and vegetables'; 'vehicles 2']",Vehicles
285,6,"['vehicles 2'; 'household furniture'; 'trees']",trees
286,18,"['insects'; 'large man-made outdoor things'; 'flowers']",insects
287,15,"['flowers'; 'trees'; 'medium-sized mammals']",flowers
288,7,"['non-insect invertebrates'; 'people'; 'insects']",people
289,6,"['trees'; 'household furniture'; 'vehicles 2']",Vehicles
290,7,"['people'; 'insects'; 'non-insect invertebrates']",people
291,19,"['medium-sized mammals'; 'food containers'; 'large carnivores']",food containers
292,16,"['large omnivores and herbivores'; 'large man-made outdoor things'; 'household furniture']",household furniture
293,16,"['large man-made outdoor things'; 'large omnivores and herbivores'; 'household furniture']",large man-made outdoor things
294,9,"['non-insect invertebrates'; 'large natural outdoor scenes'; 'household electrical devices']",non-insect invertebrates
295,16,"['large omnivores and herbivores'; 'household furniture'; 'large man-made outdoor things']",household furniture
296,12,"['medium-sized mammals'; 'food containers'; 'large omnivores and herbivores']",food containers
297,13,"['fish'; 'large carnivores'; 'large omnivores and herbivores']",fish
298,18,"['large man-made outdoor things'; 'flowers'; 'insects']",flowers
299,4,"['aquatic mammals'; 'household furniture'; 'flowers']",aquatic mammals
300,10,"['household furniture'; 'fruit and vegetables'; 'large carnivores']",household furniture
301,13,"['fish'; 'large carnivores'; 'large omnivores and herbivores']",fish
302,8,"['aquatic mammals'; 'large carnivores'; 'vehicles 1']",Vehicles
303,19,"['large carnivores'; 'medium-sized mammals'; 'food containers']",food containers
304,4,"['flowers'; 'household furniture'; 'aquatic mammals']",flowers
305,15,"['medium-sized mammals'; 'flowers'; 'trees']",trees
306,11,"['food containers'; 'flowers'; 'large natural outdoor scenes']",flowers
307,3,"['vehicles 1'; 'fish'; 'non-insect invertebrates']",fish
308,14,"['food containers'; 'people'; 'trees']",trees
309,7,"['insects'; 'non-insect invertebrates'; 'people']",people
310,8,"['large carnivores'; 'aquatic mammals'; 'vehicles 1']",Vehicles
311,4,"['flowers'; 'household furniture'; 'aquatic mammals']",household furniture
312,8,"['large carnivores'; 'aquatic mammals'; 'vehicles 1']",Vehicles
313,1,"['fruit and vegetables'; 'insects'; 'vehicles 2']",Vehicles
314,2,"['trees'; 'flowers'; 'food containers']",food containers
315,3,"['fish'; 'vehicles 1'; 'non-insect invertebrates']",vehicles 1
316,8,"['vehicles 1'; 'aquatic mammals'; 'large carnivores']",aquatic mammals
317,4,"['flowers'; 'household furniture'; 'aquatic mammals']",household furniture
318,2,"['flowers'; 'trees'; 'food containers']",food containers
319,6,"['vehicles 2'; 'trees'; 'household furniture']",trees
320,9,"['non-insect invertebrates'; 'household electrical devices'; 'large natural outdoor scenes']",non-insect invertebrates
321,10,"['household furniture'; 'fruit and vegetables'; 'large carnivores']",household furniture
322,0,"['large carnivores'; 'aquatic mammals'; 'food containers']",food containers
323,14,"['food containers'; 'people'; 'trees']",food containers
324,2,"['food containers'; 'trees'; 'flowers']",trees
325,6,"['household furniture'; 'vehicles 2'; 'trees']",trees
326,12,"['food containers'; 'medium-sized mammals'; 'large omnivores and herbivores']",food containers
327,12,"['medium-sized mammals'; 'large omnivores and herbivores'; 'food containers']",food containers
328,3,"['vehicles 1'; 'fish'; 'non-insect invertebrates']",fish
329,12,"['food containers'; 'medium-sized mammals'; 'large omnivores and herbivores']",food containers
330,2,"['flowers'; 'trees'; 'food containers']",food containers
331,4,"['flowers'; 'aquatic mammals'; 'household furniture']",aquatic mammals
332,5,"['insects'; 'aquatic mammals'; 'small mammals']",aquatic mammals
333,12,"['large omnivores and herbivores'; 'food containers'; 'medium-sized mammals']",food containers
334,12,"['large omnivores and herbivores'; 'food containers'; 'medium-sized mammals']",food containers
335,1,"['fruit and vegetables'; 'insects'; 'vehicles 2']",fruit and vegetables
336,2,"['flowers'; 'trees'; 'food containers']",food containers
337,8,"['vehicles 1'; 'large carnivores'; 'aquatic mammals']",aquatic mammals
338,8,"['aquatic mammals'; 'large carnivores'; 'vehicles 1']",Vehicles
339,9,"['household electrical devices'; 'large natural outdoor scenes'; 'non-insect invertebrates']",household electrical devices
340,16,"['large man-made outdoor things'; 'household furniture'; 'large omnivores and herbivores']",household furniture
341,5,"['small mammals'; 'insects'; 'aquatic mammals']",aquatic mammals
342,8,"['aquatic mammals'; 'large carnivores'; 'vehicles 1']",Vehicles
343,15,"['medium-sized mammals'; 'flowers'; 'trees']",flowers
344,8,"['vehicles 1'; 'large carnivores'; 'aquatic mammals']",aquatic mammals
345,9,"['large natural outdoor scenes'; 'household electrical devices'; 'non-insect invertebrates']",household electrical devices
346,1,"['fruit and vegetables'; 'vehicles 2'; 'insects']",vehicles 2
347,17,"['fish'; 'insects'; 'flowers']",insects
348,10,"['fruit and vegetables'; 'large carnivores'; 'household furniture']",fruit and vegetables
349,17,"['insects'; 'fish'; 'flowers']",fish
350,6,"['trees'; 'household furniture'; 'vehicles 2']",trees
351,11,"['flowers'; 'large natural outdoor scenes'; 'food containers']",flowers
352,2,"['food containers'; 'flowers'; 'trees']",food containers
353,4,"['flowers'; 'aquatic mammals'; 'household furniture']",flowers
354,11,"['flowers'; 'large natural outdoor scenes'; 'food containers']",flowers
355,14,"['trees'; 'people'; 'food containers']",food containers
356,16,"['large omnivores and herbivores'; 'household furniture'; 'large man-made outdoor things']",household furniture
357,12,"['food containers'; 'medium-sized mammals'; 'large omnivores and herbivores']",large omnivores and herbivores
358,9,"['non-insect invertebrates'; 'household electrical devices'; 'large natural outdoor scenes']",household electrical devices
359,10,"['fruit and vegetables'; 'household furniture'; 'large carnivores']",household furniture
360,8,"['large carnivores'; 'aquatic mammals'; 'vehicles 1']",Vehicles
361,16,"['large man-made outdoor things'; 'large omnivores and herbivores'; 'household furniture']",large man-made outdoor things
362,2,"['trees'; 'food containers'; 'flowers']",food containers
363,13,"['large omnivores and herbivores'; 'fish'; 'large carnivores']",fish
364,13,"['large omnivores and herbivores'; 'fish'; 'large carnivores']",fish
365,16,"['household furniture'; 'large man-made outdoor things'; 'large omnivores and herbivores']",household furniture
366,0,"['large carnivores'; 'aquatic mammals'; 'food containers']",food containers
367,14,"['people'; 'food containers'; 'trees']",food containers
368,11,"['food containers'; 'large natural outdoor scenes'; 'flowers']",flowers
369,11,"['large natural outdoor scenes'; 'food containers'; 'flowers']",flowers
370,18,"['flowers'; 'insects'; 'large man-made outdoor things']",flowers
371,9,"['household electrical devices'; 'large natural outdoor scenes'; 'non-insect invertebrates']",household electrical devices
372,1,"['fruit and vegetables'; 'vehicles 2'; 'insects']",fruit and vegetables
373,10,"['large carnivores'; 'household furniture'; 'fruit and vegetables']",household furniture
374,5,"['insects'; 'small mammals'; 'aquatic mammals']",insects
375,13,"['large omnivores and herbivores'; 'fish'; 'large carnivores']",fish
376,11,"['large natural outdoor scenes'; 'flowers'; 'food containers']",flowers
377,7,"['people'; 'non-insect invertebrates'; 'insects']",people
378,18,"['large man-made outdoor things'; 'flowers'; 'insects']",flowers
379,4,"['aquatic mammals'; 'flowers'; 'household furniture']",aquatic mammals
380,0,"['food containers'; 'aquatic mammals'; 'large carnivores']",aquatic mammals
381,19,"['medium-sized mammals'; 'large carnivores'; 'food containers']",food containers
382,14,"['food containers'; 'people'; 'trees']",trees
383,8,"['aquatic mammals'; 'vehicles 1'; 'large carnivores']",vehicles 1
384,19,"['large carnivores'; 'food containers'; 'medium-sized mammals']",large carnivores
385,3,"['non-insect invertebrates'; 'vehicles 1'; 'fish']",non-insect invertebrates
386,8,"['large carnivores'; 'vehicles 1'; 'aquatic mammals']",vehicles 1
387,14,"['trees'; 'food containers'; 'people']",trees
