index,true_label,predicted_label
17,1,automobile
18,9,truck
19,7,horse
20,8,ship
21,3,cat
22,0,airplane
23,1,automobile
24,0,airplane
25,8,ship
26,8,ship
27,3,cat
28,0,airplane
29,0,airplane
30,1,automobile
31,5,dog
32,0,airplane
33,8,ship
34,8,ship
35,7,horse
36,9,truck
37,9,truck
38,0,airplane
39,9,truck
40,4,deer
41,1,automobile
42,3,cat
43,6,bird
44,6,bird
45,4,deer
46,4,deer
47,7,horse
48,5,dog
49,6,frog
50,0,airplane
51,8,ship
52,0,airplane
53,3,cat
54,2,bird
55,8,ship
56,4,deer
57,6,frog
58,9,truck
59,9,truck
60,7,horse
61,0,airplane
62,3,cat
63,3,cat
0,6,dog
1,7,horse
2,4,dog
3,9,truck
4,1,automobile
5,6,bird
6,2,bird
7,7,dog
8,2,bird
9,2,bird
10,0,airplane
11,6,frog
12,7,horse
13,5,dog
14,7,horse
15,6,frog
16,8,ship
17,9,truck
18,0,airplane
19,9,truck
20,4,deer
21,4,deer
22,7,horse
23,0,airplane
24,9,truck
25,4,deer
26,9,truck
27,6,cat
28,9,truck
29,4,deer
30,5,dog
31,7,horse
32,9,truck
33,2,bird
34,4,deer
35,5,dog
36,1,automobile
37,4,deer
38,3,cat
39,9,truck
40,6,bird
41,5,dog
42,6,bird
43,9,truck
44,3,bird
45,3,cat
46,5,dog
47,0,airplane
48,7,horse
49,2,bird
50,1,automobile
51,3,cat
52,6,bird
53,4,deer
54,0,airplane
55,0,airplane
56,2,bird
57,5,dog
58,0,airplane
59,1,automobile
60,0,airplane
61,2,bird
62,3,cat
63,9,truck
0,8,ship
1,4,bird
2,9,truck
3,8,ship
4,0,truck
5,2,bird
6,6,frog
7,4,deer
8,4,horse
9,0,airplane
10,1,automobile
11,8,ship
12,8,ship
13,3,cat
14,6,frog
15,9,truck
16,6,frog
17,6,bird
18,7,horse
19,8,ship
20,2,bird
21,4,horse
22,5,cat
23,7,horse
24,6,frog
25,5,dog
26,3,cat
27,0,airplane
28,5,dog
29,0,airplane
30,5,dog
31,0,airplane
32,8,ship
33,2,ship
34,6,truck
35,7,horse
36,3,cat
37,8,ship
38,2,bird
39,1,automobile
40,7,horse
41,6,dog
42,7,horse
43,1,truck
44,0,airplane
45,9,truck
46,5,dog
47,5,dog
48,0,airplane
49,1,automobile
50,7,horse
51,6,bird
52,9,automobile
53,0,airplane
54,4,deer
55,7,horse
56,7,horse
57,1,automobile
58,5,dog
59,9,truck
60,4,deer
61,0,airplane
62,8,ship
63,5,dog
0,9,truck
1,9,truck
2,6,truck
3,7,horse
4,1,automobile
5,8,ship
6,3,cat
7,2,bird
8,3,cat
9,8,ship
10,2,bird
11,2,bird
12,4,deer
13,6,ship
14,0,airplane
15,0,airplane
16,5,dog
17,3,cat
18,8,ship
19,2,bird
20,3,cat
21,7,horse
22,2,bird
23,9,truck
24,3,cat
25,8,ship
26,7,horse
27,8,ship
28,2,bird
29,7,horse
30,9,truck
31,0,airplane
32,2,bird
33,3,cat
34,2,bird
35,2,bird
36,2,bird
37,3,cat
38,3,cat
39,6,bird
40,2,bird
41,3,cat
42,2,dog
43,8,ship
44,0,ship
45,5,dog
46,5,dog
47,1,automobile
48,4,deer
49,5,dog
50,6,bird
51,6,cat
52,2,bird
53,7,horse
54,0,airplane
55,1,automobile
56,7,horse
57,7,horse
58,8,ship
59,2,bird
60,9,truck
61,2,bird
62,2,bird
63,4,deer
0,2,truck
1,1,automobile
2,1,automobile
3,1,automobile
4,6,frog
5,6,frog
6,6,frog
7,5,dog
8,1,automobile
9,1,automobile
10,7,horse
11,0,airplane
12,4,deer
13,3,cat
14,3,cat
15,7,horse
16,1,automobile
17,2,bird
18,3,cat
19,5,cat
20,5,dog
21,5,dog
22,6,frog
23,1,automobile
24,4,deer
25,3,cat
26,7,horse
27,8,ship
28,8,ship
29,3,cat
30,6,bird
31,6,cat
32,2,bird
33,3,cat
34,0,airplane
35,9,truck
36,4,horse
37,3,cat
38,8,ship
39,0,airplane
40,0,airplane
41,1,automobile
42,1,automobile
43,5,dog
44,4,deer
45,9,truck
46,3,cat
47,1,automobile
48,8,ship
49,9,truck
50,3,cat
51,9,truck
52,9,truck
53,2,bird
54,9,truck
55,4,deer
56,8,ship
57,2,bird
58,9,truck
59,8,ship
60,8,ship
61,1,automobile
62,5,dog
63,3,cat
0,6,frog
1,8,ship
2,7,horse
3,6,truck
4,9,truck
5,8,ship
6,0,airplane
7,6,bird
8,4,deer
9,0,airplane
10,0,airplane
11,2,bird
12,5,dog
13,8,ship
14,2,bird
15,0,airplane
16,2,bird
17,7,horse
18,6,bird
19,9,truck
20,7,horse
21,1,automobile
22,5,dog
23,5,dog
24,6,frog
25,6,bird
26,3,cat
27,6,frog
28,2,bird
29,4,deer
30,7,horse
31,0,airplane
32,5,dog
33,6,frog
34,4,deer
35,6,bird
36,5,dog
37,2,bird
38,4,deer
39,6,frog
40,1,automobile
41,6,dog
42,0,ship
43,4,horse
44,0,airplane
45,3,cat
46,1,automobile
47,8,ship
48,5,dog
49,4,deer
50,4,deer
51,1,automobile
52,7,horse
53,3,cat
54,9,truck
55,4,deer
56,7,horse
57,9,truck
58,7,horse
59,3,cat
60,7,horse
61,2,bird
62,8,ship
63,4,deer
0,6,frog
1,6,bird
2,1,automobile
3,2,bird
4,9,truck
5,0,airplane
6,4,dog
7,8,ship
8,7,horse
9,3,cat
10,9,truck
11,8,ship
12,7,horse
13,7,horse
14,0,airplane
15,2,bird
16,4,deer
17,1,automobile
18,1,automobile
19,4,dog
20,1,automobile
21,5,bird
22,4,deer
23,0,airplane
24,5,dog
25,6,truck
26,2,bird
27,8,ship
28,5,dog
29,0,airplane
30,2,bird
31,1,automobile
32,3,cat
33,5,dog
34,7,horse
35,3,cat
36,5,dog
37,1,automobile
38,3,cat
39,5,dog
40,9,truck
41,4,deer
42,3,cat
43,2,bird
44,4,deer
45,4,deer
46,1,automobile
47,4,deer
48,2,bird
49,2,bird
50,3,cat
51,8,ship
52,0,airplane
53,6,bird
54,8,ship
55,5,dog
56,6,frog
57,6,frog
58,4,horse
59,7,horse
60,1,automobile
61,1,automobile
62,4,horse
63,6,frog
0,2,bird
1,3,cat
2,9,truck
3,6,frog
4,9,truck
5,1,automobile
6,3,cat
7,6,horse
8,8,ship
9,5,dog
10,9,truck
11,6,frog
12,8,ship
13,1,automobile
14,6,frog
15,0,airplane
16,2,dog
17,3,cat
18,7,horse
19,9,truck
20,0,ship
21,9,truck
22,7,horse
23,6,frog
24,3,cat
25,9,truck
26,2,bird
27,6,cat
28,1,automobile
29,6,frog
30,7,horse
31,3,bird
32,8,ship
33,3,cat
34,8,ship
35,3,cat
36,8,ship
37,5,dog
38,9,truck
39,6,bird
40,1,automobile
41,2,bird
42,5,dog
43,2,bird
44,1,automobile
45,4,deer
46,3,truck
47,7,horse
48,5,dog
49,9,truck
50,3,cat
51,9,truck
52,3,cat
53,2,bird
54,9,truck
55,1,automobile
56,8,ship
57,5,dog
58,9,truck
59,7,horse
60,2,bird
61,6,frog
62,0,airplane
63,8,ship
0,5,dog
1,7,horse
2,1,automobile
3,5,dog
4,8,ship
5,5,dog
6,7,horse
7,1,automobile
8,5,dog
9,0,airplane
10,3,cat
11,9,truck
12,3,cat
13,6,dog
14,9,truck
15,1,automobile
16,3,cat
17,9,truck
18,8,ship
19,2,bird
20,2,bird
21,3,cat
22,2,bird
23,5,dog
24,9,truck
25,7,horse
26,9,truck
27,9,truck
28,8,ship
29,9,truck
30,7,horse
31,0,ship
32,3,bird
33,3,cat
34,2,bird
35,0,airplane
36,3,cat
37,7,horse
38,6,bird
39,3,cat
40,3,cat
41,2,bird
42,0,airplane
43,6,frog
44,6,truck
45,5,dog
46,5,dog
47,7,horse
48,5,dog
49,9,truck
50,8,ship
51,2,bird
52,9,truck
53,8,ship
54,0,airplane
55,4,deer
56,0,ship
57,1,automobile
58,2,bird
59,0,airplane
60,4,deer
61,7,horse
62,3,cat
63,8,ship
0,5,dog
1,1,automobile
2,6,bird
3,6,frog
4,5,dog
5,5,dog
6,4,horse
7,6,truck
8,3,cat
9,6,frog
10,8,ship
11,2,bird
12,3,cat
13,7,horse
14,0,airplane
15,7,horse
16,0,airplane
17,4,deer
18,1,automobile
19,9,truck
20,5,dog
21,7,horse
22,8,ship
23,6,horse
24,6,cat
25,8,ship
26,0,bird
27,7,horse
28,2,bird
29,8,ship
30,4,deer
31,8,ship
32,2,bird
33,0,airplane
34,9,truck
35,0,airplane
36,0,airplane
37,2,bird
38,9,truck
39,6,frog
40,6,frog
41,5,cat
42,6,frog
43,0,airplane
44,3,cat
45,7,horse
46,5,dog
47,5,dog
48,7,horse
49,9,truck
50,3,cat
51,4,horse
52,5,dog
53,0,airplane
54,5,dog
55,2,bird
56,3,cat
57,2,bird
58,6,frog
59,0,airplane
60,4,deer
61,9,truck
62,0,airplane
63,7,horse
0,0,airplane
1,9,truck
2,7,horse
3,2,bird
4,6,frog
5,4,deer
6,6,bird
7,9,truck
8,5,dog
9,4,deer
10,7,horse
11,0,airplane
12,6,bird
13,8,ship
14,8,ship
15,9,truck
16,9,truck
17,9,truck
18,0,airplane
19,9,truck
20,8,ship
21,6,bird
22,4,deer
23,8,ship
24,1,automobile
25,9,automobile
26,1,automobile
27,0,airplane
28,5,cat
29,8,ship
30,6,bird
31,9,truck
32,6,bird
33,0,airplane
34,8,ship
35,1,automobile
36,3,cat
37,9,truck
38,4,truck
39,8,ship
40,4,deer
41,3,cat
42,2,bird
43,6,frog
44,0,truck
45,8,ship
46,9,truck
47,9,truck
48,4,deer
49,3,cat
50,0,airplane
51,2,bird
52,4,deer
53,4,bird
54,0,airplane
55,3,cat
56,5,dog
57,7,horse
58,5,dog
59,7,horse
60,7,horse
61,9,truck
62,0,airplane
63,9,truck
0,5,dog
1,3,cat
2,8,ship
3,2,bird
4,4,deer
5,2,bird
6,3,cat
7,1,automobile
8,2,bird
9,8,ship
10,9,truck
11,2,bird
12,8,ship
13,1,automobile
14,4,deer
15,2,bird
16,0,airplane
17,4,horse
18,5,cat
19,4,deer
20,8,ship
21,1,automobile
22,7,horse
23,4,deer
24,1,automobile
25,1,automobile
26,0,airplane
27,2,bird
28,7,horse
29,7,horse
30,4,deer
31,4,horse
32,4,deer
33,4,deer
34,8,ship
35,4,deer
36,3,cat
37,6,frog
38,6,frog
39,0,airplane
40,1,automobile
41,3,cat
42,9,truck
43,8,ship
44,4,deer
45,8,ship
46,9,truck
47,6,bird
48,2,bird
49,0,airplane
50,5,dog
51,5,dog
52,9,truck
53,4,deer
54,2,bird
55,0,airplane
56,8,ship
57,8,ship
58,0,airplane
59,4,horse
60,0,airplane
61,7,horse
62,6,bird
63,9,automobile
0,5,dog
1,3,cat
2,5,ship
3,4,deer
4,4,deer
5,4,horse
6,4,deer
7,3,cat
8,7,horse
9,9,truck
10,2,bird
11,5,dog
12,1,automobile
13,8,ship
14,3,cat
15,2,bird
16,6,truck
17,9,truck
18,6,frog
19,3,cat
20,1,automobile
21,7,horse
22,4,deer
23,6,bird
24,3,cat
25,7,horse
26,8,ship
27,6,bird
28,2,bird
29,4,deer
30,6,dog
31,8,ship
32,0,airplane
33,1,automobile
34,9,truck
35,9,truck
36,1,automobile
37,0,airplane
38,0,airplane
39,8,ship
40,9,truck
41,4,bird
42,7,horse
43,4,deer
44,4,horse
45,1,automobile
46,9,truck
47,8,ship
48,8,ship
49,6,frog
50,1,automobile
51,7,horse
52,4,deer
53,8,ship
54,8,ship
55,8,ship
56,0,airplane
57,5,dog
58,6,frog
59,6,frog
60,8,ship
61,3,cat
62,4,deer
63,4,deer
0,1,automobile
1,2,bird
2,1,automobile
3,5,dog
4,7,horse
5,1,automobile
6,7,horse
7,2,bird
8,8,ship
9,5,dog
10,9,truck
11,5,dog
12,6,truck
13,1,automobile
14,9,truck
15,5,dog
16,0,ship
17,4,bird
18,3,cat
19,3,cat
20,0,airplane
21,8,ship
22,2,bird
23,8,ship
24,0,airplane
25,9,truck
26,0,airplane
27,4,deer
28,6,dog
29,9,truck
30,2,bird
31,8,ship
32,2,bird
33,7,horse
34,7,horse
35,2,bird
36,2,bird
37,7,horse
38,1,automobile
39,6,bird
40,1,automobile
41,3,truck
42,4,horse
43,4,bird
44,8,ship
45,6,frog
46,0,airplane
47,1,automobile
48,9,truck
49,4,deer
50,2,bird
51,7,horse
52,5,dog
53,3,cat
54,9,truck
55,0,airplane
56,1,automobile
57,9,truck
58,0,airplane
59,9,truck
60,8,ship
61,7,horse
62,0,airplane
63,4,deer
0,9,truck
1,0,airplane
2,5,dog
3,2,dog
4,1,automobile
5,0,airplane
6,2,bird
7,8,ship
8,8,ship
9,0,truck
10,5,dog
11,7,horse
12,6,frog
13,6,frog
14,5,dog
15,3,cat
16,7,horse
17,7,horse
18,7,horse
19,4,horse
20,2,bird
21,0,airplane
22,1,automobile
23,7,horse
24,3,cat
25,2,deer
26,7,horse
27,3,cat
28,2,bird
29,2,bird
30,1,automobile
31,5,dog
32,9,truck
33,9,truck
34,8,ship
35,0,airplane
36,8,ship
37,4,deer
38,3,bird
39,3,cat
40,8,ship
41,5,dog
42,0,airplane
43,8,ship
44,4,deer
45,5,cat
46,7,horse
47,5,dog
48,1,automobile
49,5,dog
50,0,airplane
51,2,bird
52,0,airplane
53,5,dog
54,4,deer
55,2,bird
56,3,cat
57,6,frog
58,2,bird
59,6,frog
60,2,bird
61,2,bird
62,3,cat
63,4,deer
0,6,bird
1,6,frog
2,5,dog
3,3,cat
4,0,airplane
5,1,automobile
6,2,truck
7,7,horse
8,7,horse
9,5,dog
10,3,cat
11,1,automobile
12,1,automobile
13,7,horse
14,6,frog
15,1,automobile
16,6,frog
17,3,cat
18,3,cat
19,3,cat
20,3,cat
21,4,deer
22,8,ship
23,1,automobile
24,0,airplane
25,7,horse
26,7,horse
27,6,truck
28,8,ship
29,1,automobile
30,2,truck
31,5,dog
32,3,cat
33,4,horse
34,1,automobile
35,1,automobile
36,9,truck
37,3,cat
38,1,automobile
39,4,horse
40,2,bird
41,7,horse
42,1,automobile
43,6,frog
44,5,dog
45,7,horse
46,7,horse
47,7,horse
48,6,frog
49,6,frog
50,1,automobile
51,9,truck
52,5,dog
53,0,airplane
54,9,truck
55,5,dog
56,7,horse
57,0,ship
58,0,airplane
59,4,deer
60,6,bird
61,8,ship
62,0,airplane
63,1,automobile
0,5,dog
1,0,airplane
2,9,truck
3,3,dog
4,1,automobile
5,1,automobile
6,2,bird
7,0,airplane
8,3,cat
9,2,bird
10,9,truck
11,1,automobile
12,9,truck
13,6,frog
14,2,bird
15,4,deer
16,8,ship
17,8,ship
18,5,dog
19,9,automobile
20,2,bird
21,1,automobile
22,9,truck
23,4,deer
24,4,deer
25,3,cat
26,0,ship
27,6,bird
28,6,frog
29,0,airplane
30,4,dog
31,1,automobile
32,0,airplane
33,9,truck
34,5,dog
35,6,frog
36,5,dog
37,6,bird
38,9,truck
39,4,deer
40,4,deer
41,2,dog
42,6,frog
43,8,ship
44,4,deer
45,7,horse
46,6,frog
47,5,dog
48,9,truck
49,8,ship
50,7,horse
51,1,automobile
52,9,truck
53,5,dog
54,4,horse
55,3,cat
56,5,dog
57,4,deer
58,3,cat
59,4,deer
60,1,automobile
61,5,dog
62,5,dog
63,4,deer
0,0,airplane
1,8,ship
2,4,deer
3,4,deer
4,0,airplane
5,9,truck
6,2,bird
7,8,ship
8,9,truck
9,8,ship
10,0,truck
11,2,bird
12,2,bird
13,2,bird
14,6,frog
15,7,horse
16,8,ship
17,1,automobile
18,9,truck
19,8,ship
20,0,airplane
21,3,cat
22,8,ship
23,6,frog
24,8,ship
25,1,automobile
26,6,cat
27,5,dog
28,4,deer
29,2,dog
30,1,automobile
31,4,bird
32,3,cat
33,9,truck
34,7,horse
35,8,ship
36,3,cat
37,0,airplane
38,8,ship
39,3,cat
40,4,dog
41,2,bird
42,9,truck
43,1,automobile
44,0,airplane
45,0,airplane
46,3,cat
47,0,airplane
48,4,deer
49,5,dog
50,9,truck
51,0,airplane
52,7,horse
53,5,dog
54,9,truck
55,5,dog
56,8,ship
57,8,ship
58,6,frog
59,3,cat
60,1,truck
61,9,truck
62,5,dog
63,2,bird
0,4,deer
1,7,horse
2,6,frog
3,1,automobile
4,8,ship
5,6,bird
6,9,truck
7,3,cat
8,1,automobile
9,3,cat
10,7,horse
11,4,deer
12,0,airplane
13,6,frog
14,7,horse
15,6,frog
16,9,truck
17,2,bird
18,4,deer
19,1,automobile
20,9,truck
21,8,ship
22,5,dog
23,8,ship
24,2,bird
25,2,bird
26,5,dog
27,0,airplane
28,2,bird
29,0,airplane
30,7,horse
31,0,bird
32,6,truck
33,6,frog
34,4,deer
35,8,ship
36,7,horse
37,9,truck
38,6,frog
39,9,truck
40,2,bird
41,3,cat
42,8,ship
43,8,ship
44,3,dog
45,9,truck
46,9,truck
47,8,ship
48,7,horse
49,2,bird
50,3,cat
51,5,dog
52,5,dog
53,1,automobile
54,8,ship
55,7,horse
56,4,deer
57,3,cat
58,5,cat
59,2,bird
60,2,horse
61,2,bird
62,1,automobile
63,4,deer
0,2,bird
1,2,bird
2,8,ship
3,4,deer
4,9,truck
5,8,ship
6,2,bird
7,1,automobile
8,2,bird
9,5,dog
10,6,frog
11,3,cat
12,4,deer
13,5,dog
14,7,horse
15,6,frog
16,7,horse
17,6,frog
18,5,dog
19,0,airplane
20,2,bird
21,4,deer
22,4,deer
23,3,cat
24,0,airplane
25,4,bird
26,2,bird
27,6,frog
28,1,automobile
29,8,airplane
30,8,ship
31,3,cat
32,0,airplane
33,7,horse
34,4,horse
35,9,truck
36,7,horse
37,9,truck
38,2,bird
39,0,airplane
40,4,horse
41,7,horse
42,3,cat
43,7,horse
44,6,frog
45,6,bird
46,2,bird
47,3,cat
48,7,horse
49,3,cat
50,6,bird
51,8,ship
52,2,bird
53,3,cat
54,3,cat
55,5,dog
56,5,dog
57,5,dog
58,2,bird
59,4,deer
60,2,bird
61,8,ship
62,7,horse
63,4,dog
0,3,bird
1,7,horse
2,7,horse
3,8,ship
4,5,cat
5,2,bird
6,8,ship
7,4,deer
8,3,cat
9,5,dog
10,4,deer
11,2,bird
12,9,truck
13,1,automobile
14,4,deer
15,0,airplane
16,0,airplane
17,5,dog
18,6,frog
19,5,dog
20,6,bird
21,8,ship
22,0,airplane
23,3,cat
24,4,deer
25,4,deer
26,4,deer
27,2,bird
28,2,bird
29,0,airplane
30,5,dog
31,0,airplane
32,3,cat
33,4,deer
34,7,horse
35,7,horse
36,3,cat
37,9,truck
38,7,horse
39,3,cat
40,7,horse
41,3,cat
42,7,horse
43,7,horse
44,7,horse
45,1,automobile
46,7,horse
47,4,deer
48,4,deer
49,7,horse
50,9,truck
51,1,automobile
52,7,horse
53,7,horse
54,4,dog
55,5,dog
56,9,truck
57,0,airplane
58,8,ship
59,7,horse
60,3,cat
61,6,bird
62,2,bird
63,3,cat
0,8,ship
1,2,bird
2,5,dog
3,4,deer
4,8,ship
5,4,deer
6,0,airplane
7,7,horse
8,5,dog
9,2,bird
10,7,horse
11,7,horse
12,2,bird
13,6,bird
14,4,deer
15,0,airplane
16,2,bird
17,4,horse
18,3,cat
19,8,ship
20,9,truck
21,4,deer
22,5,dog
23,5,dog
