index,true_label,candidate_labels,complementary_label
51,5,"['truck'; 'horse'; 'automobile'; 'bird'; 'dog'; 'frog']",truck
52,7,"['cat'; 'deer'; 'airplane'; 'dog'; 'truck'; 'ship']",airplane
53,9,"['dog'; 'airplane'; 'truck'; 'cat'; 'horse'; 'automobile']",dog
54,2,"['ship'; 'cat'; 'dog'; 'deer'; 'airplane'; 'automobile']",airplane
55,2,"['deer'; 'cat'; 'airplane'; 'automobile'; 'ship'; 'dog']",airplane
56,5,"['frog'; 'bird'; 'horse'; 'truck'; 'automobile'; 'dog']",truck
57,2,"['cat'; 'dog'; 'ship'; 'automobile'; 'airplane'; 'deer']",ship
58,4,"['horse'; 'deer'; 'bird'; 'airplane'; 'cat'; 'frog']",airplane
59,3,"['dog'; 'airplane'; 'deer'; 'ship'; 'frog'; 'cat']",airplane
60,1,"['cat'; 'airplane'; 'ship'; 'truck'; 'deer'; 'automobile']",cat
61,1,"['cat'; 'automobile'; 'airplane'; 'deer'; 'ship'; 'truck']",cat
62,8,"['frog'; 'ship'; 'automobile'; 'truck'; 'bird'; 'deer']",frog
63,2,"['deer'; 'automobile'; 'cat'; 'airplane'; 'ship'; 'dog']",airplane
64,1,"['truck'; 'ship'; 'deer'; 'automobile'; 'cat'; 'airplane']",deer
65,1,"['truck'; 'ship'; 'deer'; 'airplane'; 'automobile'; 'cat']",deer
66,4,"['frog'; 'deer'; 'cat'; 'bird'; 'airplane'; 'horse']",airplane
67,9,"['dog'; 'airplane'; 'cat'; 'horse'; 'automobile'; 'truck']",dog
68,7,"['cat'; 'airplane'; 'deer'; 'ship'; 'truck'; 'dog']",airplane
69,8,"['frog'; 'truck'; 'deer'; 'ship'; 'bird'; 'automobile']",frog
70,5,"['dog'; 'horse'; 'truck'; 'frog'; 'automobile'; 'bird']",truck
71,9,"['cat'; 'truck'; 'automobile'; 'airplane'; 'horse'; 'dog']",horse
72,6,"['airplane'; 'bird'; 'automobile'; 'cat'; 'ship'; 'dog']",airplane
73,7,"['deer'; 'airplane'; 'ship'; 'truck'; 'cat'; 'dog']",airplane
74,3,"['frog'; 'deer'; 'airplane'; 'cat'; 'ship'; 'dog']",frog
75,1,"['ship'; 'cat'; 'deer'; 'truck'; 'airplane'; 'automobile']",cat
76,9,"['horse'; 'airplane'; 'truck'; 'dog'; 'automobile'; 'cat']",horse
77,0,"['dog'; 'truck'; 'deer'; 'automobile'; 'frog'; 'airplane']",deer
78,3,"['frog'; 'ship'; 'dog'; 'cat'; 'deer'; 'airplane']",ship
79,1,"['airplane'; 'ship'; 'automobile'; 'cat'; 'deer'; 'truck']",cat
80,3,"['airplane'; 'frog'; 'ship'; 'deer'; 'cat'; 'dog']",frog
81,5,"['automobile'; 'dog'; 'bird'; 'horse'; 'frog'; 'truck']",bird
82,4,"['frog'; 'bird'; 'cat'; 'airplane'; 'deer'; 'horse']",airplane
83,5,"['bird'; 'dog'; 'automobile'; 'truck'; 'horse'; 'frog']",automobile
84,7,"['deer'; 'ship'; 'cat'; 'truck'; 'dog'; 'airplane']",ship
85,7,"['airplane'; 'ship'; 'dog'; 'truck'; 'deer'; 'cat']",airplane
86,4,"['bird'; 'cat'; 'deer'; 'airplane'; 'horse'; 'frog']",airplane
87,7,"['ship'; 'truck'; 'deer'; 'airplane'; 'dog'; 'cat']",truck
88,9,"['automobile'; 'horse'; 'dog'; 'truck'; 'cat'; 'airplane']",horse
89,4,"['cat'; 'airplane'; 'deer'; 'bird'; 'frog'; 'horse']",airplane
90,2,"['deer'; 'dog'; 'cat'; 'ship'; 'airplane'; 'automobile']",ship
91,3,"['cat'; 'airplane'; 'dog'; 'deer'; 'ship'; 'frog']",airplane
92,8,"['automobile'; 'ship'; 'deer'; 'frog'; 'truck'; 'bird']",deer
93,0,"['truck'; 'dog'; 'deer'; 'airplane'; 'automobile'; 'frog']",dog
94,1,"['airplane'; 'ship'; 'truck'; 'cat'; 'deer'; 'automobile']",airplane
95,6,"['cat'; 'ship'; 'bird'; 'dog'; 'airplane'; 'automobile']",ship
96,1,"['automobile'; 'cat'; 'ship'; 'truck'; 'deer'; 'airplane']",cat
97,1,"['truck'; 'airplane'; 'ship'; 'cat'; 'deer'; 'automobile']",cat
98,4,"['cat'; 'horse'; 'deer'; 'frog'; 'airplane'; 'bird']",airplane
99,1,"['automobile'; 'airplane'; 'ship'; 'cat'; 'truck'; 'deer']",cat
100,8,"['ship'; 'truck'; 'deer'; 'frog'; 'bird'; 'automobile']",deer
101,3,"['cat'; 'ship'; 'frog'; 'deer'; 'airplane'; 'dog']",ship
102,9,"['horse'; 'dog'; 'airplane'; 'cat'; 'automobile'; 'truck']",horse
103,6,"['airplane'; 'ship'; 'cat'; 'bird'; 'automobile'; 'dog']",airplane
104,6,"['dog'; 'airplane'; 'cat'; 'bird'; 'ship'; 'automobile']",dog
105,1,"['deer'; 'truck'; 'cat'; 'ship'; 'automobile'; 'airplane']",deer
106,8,"['deer'; 'automobile'; 'bird'; 'frog'; 'ship'; 'truck']",deer
107,5,"['dog'; 'automobile'; 'frog'; 'truck'; 'bird'; 'horse']",automobile
108,2,"['ship'; 'deer'; 'automobile'; 'cat'; 'airplane'; 'dog']",deer
109,9,"['cat'; 'dog'; 'automobile'; 'horse'; 'airplane'; 'truck']",dog
110,9,"['cat'; 'dog'; 'truck'; 'automobile'; 'horse'; 'airplane']",horse
111,8,"['frog'; 'automobile'; 'truck'; 'deer'; 'ship'; 'bird']",frog
112,1,"['cat'; 'deer'; 'airplane'; 'ship'; 'automobile'; 'truck']",cat
113,7,"['deer'; 'ship'; 'truck'; 'airplane'; 'dog'; 'cat']",ship
114,7,"['airplane'; 'cat'; 'ship'; 'deer'; 'truck'; 'dog']",airplane
115,0,"['airplane'; 'truck'; 'automobile'; 'deer'; 'dog'; 'frog']",deer
116,0,"['truck'; 'frog'; 'deer'; 'dog'; 'automobile'; 'airplane']",frog
117,6,"['bird'; 'cat'; 'airplane'; 'ship'; 'automobile'; 'dog']",airplane
118,9,"['automobile'; 'airplane'; 'cat'; 'horse'; 'truck'; 'dog']",cat
119,1,"['truck'; 'deer'; 'ship'; 'automobile'; 'cat'; 'airplane']",deer
120,2,"['deer'; 'automobile'; 'airplane'; 'ship'; 'dog'; 'cat']",deer
121,2,"['deer'; 'automobile'; 'ship'; 'cat'; 'dog'; 'airplane']",ship
122,9,"['truck'; 'dog'; 'airplane'; 'automobile'; 'horse'; 'cat']",dog
123,2,"['deer'; 'automobile'; 'cat'; 'ship'; 'dog'; 'airplane']",deer
124,6,"['dog'; 'automobile'; 'airplane'; 'cat'; 'bird'; 'ship']",automobile
125,6,"['cat'; 'bird'; 'ship'; 'dog'; 'airplane'; 'automobile']",ship
126,1,"['airplane'; 'cat'; 'automobile'; 'truck'; 'deer'; 'ship']",cat
127,9,"['dog'; 'automobile'; 'truck'; 'airplane'; 'cat'; 'horse']",dog
128,5,"['automobile'; 'frog'; 'truck'; 'bird'; 'horse'; 'dog']",frog
129,0,"['truck'; 'deer'; 'automobile'; 'dog'; 'airplane'; 'frog']",deer
130,4,"['deer'; 'frog'; 'bird'; 'cat'; 'horse'; 'airplane']",airplane
131,7,"['deer'; 'airplane'; 'dog'; 'truck'; 'ship'; 'cat']",airplane
132,6,"['airplane'; 'bird'; 'dog'; 'cat'; 'ship'; 'automobile']",airplane
133,7,"['truck'; 'deer'; 'ship'; 'dog'; 'airplane'; 'cat']",truck
134,1,"['cat'; 'automobile'; 'ship'; 'truck'; 'deer'; 'airplane']",cat
135,8,"['automobile'; 'deer'; 'frog'; 'bird'; 'truck'; 'ship']",deer
136,1,"['airplane'; 'deer'; 'automobile'; 'ship'; 'cat'; 'truck']",deer
137,1,"['deer'; 'cat'; 'airplane'; 'truck'; 'automobile'; 'ship']",deer
138,2,"['automobile'; 'cat'; 'dog'; 'ship'; 'deer'; 'airplane']",airplane
139,8,"['ship'; 'bird'; 'frog'; 'automobile'; 'deer'; 'truck']",bird
140,1,"['truck'; 'automobile'; 'deer'; 'airplane'; 'cat'; 'ship']",deer
141,3,"['ship'; 'airplane'; 'cat'; 'frog'; 'dog'; 'deer']",frog
142,3,"['airplane'; 'ship'; 'deer'; 'frog'; 'dog'; 'cat']",ship
143,6,"['dog'; 'ship'; 'automobile'; 'airplane'; 'bird'; 'cat']",ship
144,2,"['ship'; 'cat'; 'dog'; 'deer'; 'automobile'; 'airplane']",cat
145,4,"['frog'; 'bird'; 'horse'; 'cat'; 'deer'; 'airplane']",airplane
146,9,"['automobile'; 'horse'; 'dog'; 'truck'; 'airplane'; 'cat']",horse
147,9,"['automobile'; 'dog'; 'horse'; 'truck'; 'cat'; 'airplane']",dog
148,5,"['bird'; 'automobile'; 'truck'; 'frog'; 'dog'; 'horse']",automobile
149,4,"['frog'; 'airplane'; 'horse'; 'cat'; 'deer'; 'bird']",airplane
150,3,"['dog'; 'cat'; 'frog'; 'deer'; 'airplane'; 'ship']",frog
151,6,"['airplane'; 'ship'; 'bird'; 'automobile'; 'cat'; 'dog']",ship
152,7,"['deer'; 'cat'; 'truck'; 'airplane'; 'dog'; 'ship']",truck
153,4,"['bird'; 'deer'; 'cat'; 'frog'; 'airplane'; 'horse']",airplane
154,6,"['automobile'; 'bird'; 'airplane'; 'dog'; 'cat'; 'ship']",ship
155,8,"['ship'; 'truck'; 'automobile'; 'deer'; 'frog'; 'bird']",deer
156,5,"['horse'; 'frog'; 'truck'; 'bird'; 'automobile'; 'dog']",truck
157,5,"['truck'; 'horse'; 'frog'; 'bird'; 'automobile'; 'dog']",truck
158,4,"['airplane'; 'frog'; 'bird'; 'horse'; 'cat'; 'deer']",frog
159,3,"['dog'; 'deer'; 'airplane'; 'frog'; 'ship'; 'cat']",deer
160,1,"['automobile'; 'cat'; 'ship'; 'deer'; 'airplane'; 'truck']",cat
161,8,"['bird'; 'frog'; 'truck'; 'automobile'; 'deer'; 'ship']",truck
162,4,"['bird'; 'horse'; 'cat'; 'frog'; 'deer'; 'airplane']",airplane
163,7,"['dog'; 'truck'; 'deer'; 'ship'; 'airplane'; 'cat']",truck
164,6,"['bird'; 'cat'; 'airplane'; 'dog'; 'automobile'; 'ship']",airplane
165,0,"['automobile'; 'deer'; 'airplane'; 'dog'; 'frog'; 'truck']",deer
166,9,"['truck'; 'cat'; 'horse'; 'dog'; 'airplane'; 'automobile']",cat
167,5,"['frog'; 'truck'; 'automobile'; 'horse'; 'bird'; 'dog']",truck
168,1,"['ship'; 'truck'; 'cat'; 'deer'; 'airplane'; 'automobile']",cat
169,3,"['deer'; 'ship'; 'dog'; 'airplane'; 'frog'; 'cat']",ship
170,8,"['bird'; 'deer'; 'ship'; 'automobile'; 'truck'; 'frog']",bird
171,2,"['dog'; 'deer'; 'cat'; 'ship'; 'airplane'; 'automobile']",ship
172,7,"['ship'; 'deer'; 'cat'; 'truck'; 'airplane'; 'dog']",deer
173,5,"['bird'; 'automobile'; 'truck'; 'horse'; 'dog'; 'frog']",automobile
174,3,"['cat'; 'frog'; 'airplane'; 'deer'; 'dog'; 'ship']",airplane
175,4,"['bird'; 'airplane'; 'deer'; 'frog'; 'cat'; 'horse']",airplane
176,1,"['cat'; 'deer'; 'ship'; 'automobile'; 'truck'; 'airplane']",ship
177,5,"['frog'; 'horse'; 'automobile'; 'bird'; 'dog'; 'truck']",truck
178,7,"['deer'; 'dog'; 'truck'; 'airplane'; 'cat'; 'ship']",truck
179,0,"['truck'; 'airplane'; 'automobile'; 'deer'; 'dog'; 'frog']",deer
180,4,"['cat'; 'bird'; 'deer'; 'frog'; 'horse'; 'airplane']",airplane
181,7,"['airplane'; 'dog'; 'ship'; 'cat'; 'deer'; 'truck']",truck
182,5,"['bird'; 'frog'; 'horse'; 'truck'; 'automobile'; 'dog']",truck
183,5,"['frog'; 'automobile'; 'dog'; 'horse'; 'bird'; 'truck']",frog
184,1,"['deer'; 'cat'; 'truck'; 'airplane'; 'ship'; 'automobile']",deer
185,0,"['dog'; 'airplane'; 'automobile'; 'frog'; 'truck'; 'deer']",dog
186,9,"['horse'; 'automobile'; 'truck'; 'cat'; 'airplane'; 'dog']",horse
187,6,"['automobile'; 'cat'; 'ship'; 'airplane'; 'dog'; 'bird']",ship
188,9,"['airplane'; 'cat'; 'horse'; 'automobile'; 'dog'; 'truck']",cat
189,0,"['truck'; 'deer'; 'automobile'; 'frog'; 'airplane'; 'dog']",deer
190,8,"['automobile'; 'bird'; 'deer'; 'truck'; 'ship'; 'frog']",bird
191,7,"['deer'; 'dog'; 'cat'; 'ship'; 'airplane'; 'truck']",deer
192,8,"['automobile'; 'frog'; 'ship'; 'bird'; 'truck'; 'deer']",frog
193,8,"['truck'; 'automobile'; 'ship'; 'bird'; 'frog'; 'deer']",bird
194,2,"['deer'; 'cat'; 'automobile'; 'dog'; 'airplane'; 'ship']",automobile
195,5,"['bird'; 'truck'; 'frog'; 'dog'; 'automobile'; 'horse']",truck
196,2,"['deer'; 'automobile'; 'dog'; 'airplane'; 'ship'; 'cat']",automobile
197,3,"['dog'; 'ship'; 'airplane'; 'cat'; 'frog'; 'deer']",ship
198,5,"['frog'; 'automobile'; 'dog'; 'horse'; 'truck'; 'bird']",frog
199,0,"['deer'; 'airplane'; 'frog'; 'automobile'; 'truck'; 'dog']",deer
200,6,"['automobile'; 'bird'; 'ship'; 'dog'; 'airplane'; 'cat']",automobile
201,1,"['ship'; 'automobile'; 'deer'; 'airplane'; 'truck'; 'cat']",deer
202,9,"['automobile'; 'truck'; 'dog'; 'cat'; 'horse'; 'airplane']",dog
203,3,"['dog'; 'deer'; 'frog'; 'ship'; 'airplane'; 'cat']",deer
204,6,"['cat'; 'automobile'; 'airplane'; 'bird'; 'dog'; 'ship']",automobile
205,9,"['horse'; 'automobile'; 'airplane'; 'dog'; 'cat'; 'truck']",horse
206,1,"['ship'; 'cat'; 'deer'; 'automobile'; 'truck'; 'airplane']",cat
207,3,"['frog'; 'dog'; 'ship'; 'deer'; 'cat'; 'airplane']",ship
208,9,"['cat'; 'airplane'; 'truck'; 'automobile'; 'dog'; 'horse']",cat
209,6,"['cat'; 'dog'; 'bird'; 'ship'; 'airplane'; 'automobile']",ship
210,6,"['ship'; 'airplane'; 'dog'; 'automobile'; 'bird'; 'cat']",dog
211,7,"['truck'; 'dog'; 'airplane'; 'deer'; 'ship'; 'cat']",deer
212,1,"['deer'; 'ship'; 'automobile'; 'cat'; 'truck'; 'airplane']",deer
213,0,"['automobile'; 'frog'; 'truck'; 'deer'; 'dog'; 'airplane']",frog
214,9,"['airplane'; 'horse'; 'cat'; 'automobile'; 'truck'; 'dog']",horse
215,5,"['horse'; 'automobile'; 'bird'; 'dog'; 'truck'; 'frog']",horse
216,8,"['automobile'; 'bird'; 'ship'; 'frog'; 'deer'; 'truck']",bird
217,5,"['horse'; 'dog'; 'truck'; 'automobile'; 'frog'; 'bird']",truck
218,2,"['dog'; 'ship'; 'cat'; 'airplane'; 'deer'; 'automobile']",ship
219,9,"['automobile'; 'airplane'; 'horse'; 'dog'; 'cat'; 'truck']",horse
220,0,"['airplane'; 'dog'; 'deer'; 'frog'; 'truck'; 'automobile']",dog
221,8,"['deer'; 'frog'; 'bird'; 'ship'; 'truck'; 'automobile']",deer
222,8,"['bird'; 'ship'; 'automobile'; 'frog'; 'deer'; 'truck']",bird
223,0,"['dog'; 'automobile'; 'truck'; 'deer'; 'frog'; 'airplane']",deer
224,6,"['dog'; 'airplane'; 'ship'; 'bird'; 'cat'; 'automobile']",airplane
225,9,"['truck'; 'dog'; 'cat'; 'airplane'; 'automobile'; 'horse']",dog
226,1,"['cat'; 'automobile'; 'deer'; 'truck'; 'airplane'; 'ship']",cat
227,1,"['ship'; 'automobile'; 'airplane'; 'cat'; 'truck'; 'deer']",cat
228,6,"['automobile'; 'bird'; 'cat'; 'ship'; 'airplane'; 'dog']",ship
229,3,"['deer'; 'airplane'; 'cat'; 'frog'; 'ship'; 'dog']",airplane
230,7,"['truck'; 'cat'; 'deer'; 'dog'; 'airplane'; 'ship']",cat
231,6,"['dog'; 'airplane'; 'automobile'; 'ship'; 'bird'; 'cat']",airplane
232,6,"['dog'; 'airplane'; 'bird'; 'cat'; 'automobile'; 'ship']",dog
233,0,"['truck'; 'dog'; 'deer'; 'airplane'; 'automobile'; 'frog']",dog
234,6,"['cat'; 'bird'; 'airplane'; 'dog'; 'automobile'; 'ship']",airplane
235,6,"['dog'; 'ship'; 'automobile'; 'airplane'; 'bird'; 'cat']",ship
236,1,"['deer'; 'ship'; 'cat'; 'automobile'; 'airplane'; 'truck']",deer
237,7,"['airplane'; 'ship'; 'truck'; 'cat'; 'deer'; 'dog']",airplane
238,1,"['airplane'; 'deer'; 'automobile'; 'ship'; 'cat'; 'truck']",deer
239,5,"['bird'; 'truck'; 'automobile'; 'dog'; 'horse'; 'frog']",truck
240,8,"['automobile'; 'bird'; 'frog'; 'ship'; 'deer'; 'truck']",bird
241,3,"['cat'; 'airplane'; 'frog'; 'dog'; 'ship'; 'deer']",airplane
242,6,"['ship'; 'airplane'; 'automobile'; 'cat'; 'dog'; 'bird']",dog
243,6,"['cat'; 'ship'; 'automobile'; 'bird'; 'dog'; 'airplane']",ship
244,8,"['deer'; 'bird'; 'truck'; 'automobile'; 'ship'; 'frog']",deer
245,6,"['dog'; 'airplane'; 'cat'; 'ship'; 'bird'; 'automobile']",dog
246,8,"['frog'; 'ship'; 'truck'; 'automobile'; 'deer'; 'bird']",truck
247,4,"['cat'; 'deer'; 'frog'; 'airplane'; 'bird'; 'horse']",airplane
248,6,"['dog'; 'bird'; 'automobile'; 'cat'; 'ship'; 'airplane']",automobile
249,6,"['ship'; 'dog'; 'bird'; 'automobile'; 'cat'; 'airplane']",dog
250,1,"['cat'; 'deer'; 'airplane'; 'automobile'; 'truck'; 'ship']",cat
251,3,"['ship'; 'deer'; 'cat'; 'airplane'; 'dog'; 'frog']",deer
252,8,"['truck'; 'automobile'; 'frog'; 'bird'; 'ship'; 'deer']",frog
253,3,"['frog'; 'dog'; 'deer'; 'cat'; 'airplane'; 'ship']",airplane
254,4,"['deer'; 'frog'; 'horse'; 'airplane'; 'bird'; 'cat']",airplane
255,1,"['airplane'; 'cat'; 'ship'; 'automobile'; 'truck'; 'deer']",cat
256,7,"['dog'; 'truck'; 'ship'; 'cat'; 'airplane'; 'deer']",truck
257,1,"['airplane'; 'deer'; 'automobile'; 'truck'; 'cat'; 'ship']",deer
258,3,"['cat'; 'airplane'; 'ship'; 'frog'; 'dog'; 'deer']",airplane
259,8,"['truck'; 'bird'; 'automobile'; 'frog'; 'ship'; 'deer']",truck
260,5,"['horse'; 'automobile'; 'frog'; 'dog'; 'bird'; 'truck']",frog
261,1,"['deer'; 'automobile'; 'airplane'; 'truck'; 'cat'; 'ship']",deer
262,1,"['truck'; 'deer'; 'airplane'; 'ship'; 'cat'; 'automobile']",deer
263,4,"['cat'; 'airplane'; 'deer'; 'bird'; 'frog'; 'horse']",airplane
264,0,"['truck'; 'deer'; 'automobile'; 'dog'; 'airplane'; 'frog']",deer
265,9,"['dog'; 'automobile'; 'cat'; 'truck'; 'airplane'; 'horse']",dog
266,3,"['cat'; 'airplane'; 'deer'; 'frog'; 'ship'; 'dog']",airplane
267,7,"['truck'; 'dog'; 'cat'; 'airplane'; 'deer'; 'ship']",truck
268,4,"['frog'; 'airplane'; 'deer'; 'bird'; 'cat'; 'horse']",airplane
269,9,"['cat'; 'automobile'; 'truck'; 'airplane'; 'dog'; 'horse']",cat
270,9,"['airplane'; 'dog'; 'cat'; 'automobile'; 'horse'; 'truck']",dog
271,2,"['dog'; 'deer'; 'ship'; 'automobile'; 'airplane'; 'cat']",ship
272,4,"['frog'; 'airplane'; 'cat'; 'deer'; 'bird'; 'horse']",airplane
273,9,"['airplane'; 'horse'; 'cat'; 'automobile'; 'dog'; 'truck']",horse
274,9,"['airplane'; 'cat'; 'horse'; 'dog'; 'truck'; 'automobile']",cat
275,1,"['cat'; 'ship'; 'deer'; 'truck'; 'airplane'; 'automobile']",ship
276,0,"['dog'; 'truck'; 'frog'; 'deer'; 'airplane'; 'automobile']",deer
277,5,"['frog'; 'horse'; 'automobile'; 'truck'; 'bird'; 'dog']",frog
278,9,"['truck'; 'dog'; 'airplane'; 'cat'; 'horse'; 'automobile']",dog
279,0,"['automobile'; 'truck'; 'airplane'; 'deer'; 'frog'; 'dog']",deer
280,8,"['deer'; 'frog'; 'truck'; 'ship'; 'automobile'; 'bird']",deer
281,2,"['ship'; 'automobile'; 'cat'; 'dog'; 'airplane'; 'deer']",cat
282,1,"['ship'; 'truck'; 'cat'; 'automobile'; 'deer'; 'airplane']",cat
283,2,"['ship'; 'deer'; 'automobile'; 'cat'; 'airplane'; 'dog']",deer
284,0,"['frog'; 'truck'; 'deer'; 'automobile'; 'airplane'; 'dog']",frog
285,5,"['automobile'; 'frog'; 'dog'; 'horse'; 'truck'; 'bird']",frog
286,6,"['automobile'; 'dog'; 'cat'; 'airplane'; 'bird'; 'ship']",automobile
287,3,"['airplane'; 'frog'; 'dog'; 'cat'; 'ship'; 'deer']",frog
288,2,"['automobile'; 'cat'; 'dog'; 'ship'; 'airplane'; 'deer']",automobile
289,7,"['cat'; 'truck'; 'ship'; 'airplane'; 'deer'; 'dog']",truck
290,8,"['ship'; 'frog'; 'truck'; 'bird'; 'automobile'; 'deer']",frog
291,8,"['truck'; 'ship'; 'frog'; 'deer'; 'automobile'; 'bird']",frog
292,6,"['dog'; 'bird'; 'airplane'; 'ship'; 'cat'; 'automobile']",airplane
293,0,"['airplane'; 'deer'; 'automobile'; 'frog'; 'truck'; 'dog']",deer
294,7,"['truck'; 'ship'; 'dog'; 'deer'; 'airplane'; 'cat']",truck
295,9,"['dog'; 'truck'; 'automobile'; 'horse'; 'airplane'; 'cat']",dog
296,4,"['cat'; 'frog'; 'bird'; 'deer'; 'airplane'; 'horse']",airplane
297,5,"['horse'; 'bird'; 'truck'; 'frog'; 'dog'; 'automobile']",truck
298,6,"['ship'; 'dog'; 'bird'; 'airplane'; 'automobile'; 'cat']",airplane
299,4,"['frog'; 'deer'; 'horse'; 'cat'; 'airplane'; 'bird']",airplane
300,2,"['ship'; 'automobile'; 'deer'; 'dog'; 'cat'; 'airplane']",deer
301,1,"['airplane'; 'automobile'; 'ship'; 'cat'; 'truck'; 'deer']",cat
302,1,"['cat'; 'deer'; 'ship'; 'automobile'; 'airplane'; 'truck']",ship
303,2,"['airplane'; 'ship'; 'cat'; 'automobile'; 'deer'; 'dog']",cat
304,1,"['ship'; 'deer'; 'cat'; 'automobile'; 'airplane'; 'truck']",deer
305,5,"['truck'; 'horse'; 'frog'; 'dog'; 'bird'; 'automobile']",truck
306,9,"['automobile'; 'airplane'; 'dog'; 'truck'; 'cat'; 'horse']",dog
307,9,"['cat'; 'airplane'; 'truck'; 'horse'; 'dog'; 'automobile']",horse
308,0,"['truck'; 'deer'; 'dog'; 'automobile'; 'frog'; 'airplane']",deer
309,8,"['truck'; 'automobile'; 'ship'; 'deer'; 'frog'; 'bird']",deer
310,4,"['bird'; 'deer'; 'airplane'; 'frog'; 'horse'; 'cat']",airplane
