index,true_label,candidate_labels,complementary_label
159,3,"['automobile'; 'truck']",truck
160,1,"['dog'; 'deer']",dog
161,8,"['cat'; 'truck']",cat
162,4,"['horse'; 'airplane']",airplane
163,7,"['airplane'; 'truck']",airplane
164,6,"['truck'; 'cat']",truck
165,0,"['bird'; 'automobile']",automobile
166,9,"['frog'; 'ship']",frog
167,5,"['airplane'; 'automobile']",airplane
168,1,"['dog'; 'deer']",dog
169,3,"['automobile'; 'truck']",truck
170,8,"['truck'; 'cat']",cat
171,2,"['cat'; 'deer']",cat
172,7,"['airplane'; 'truck']",truck
173,5,"['automobile'; 'airplane']",automobile
174,3,"['automobile'; 'truck']",truck
175,4,"['airplane'; 'horse']",airplane
176,1,"['dog'; 'deer']",dog
177,5,"['airplane'; 'automobile']",airplane
178,7,"['truck'; 'airplane']",truck
179,0,"['bird'; 'automobile']",automobile
180,4,"['horse'; 'airplane']",airplane
181,7,"['airplane'; 'truck']",truck
182,5,"['automobile'; 'airplane']",automobile
183,5,"['automobile'; 'airplane']",automobile
184,1,"['deer'; 'dog']",deer
185,0,"['automobile'; 'bird']",bird
186,9,"['frog'; 'ship']",frog
187,6,"['truck'; 'cat']",truck
188,9,"['ship'; 'frog']",frog
189,0,"['automobile'; 'bird']",bird
190,8,"['truck'; 'cat']",cat
191,7,"['truck'; 'airplane']",truck
192,8,"['truck'; 'cat']",truck
193,8,"['cat'; 'truck']",truck
194,2,"['deer'; 'cat']",deer
195,5,"['automobile'; 'airplane']",airplane
196,2,"['cat'; 'deer']",deer
197,3,"['truck'; 'automobile']",truck
198,5,"['airplane'; 'automobile']",airplane
199,0,"['automobile'; 'bird']",automobile
200,6,"['cat'; 'truck']",truck
201,1,"['deer'; 'dog']",deer
202,9,"['frog'; 'ship']",frog
203,3,"['automobile'; 'truck']",truck
204,6,"['cat'; 'truck']",truck
205,9,"['ship'; 'frog']",frog
206,1,"['dog'; 'deer']",dog
207,3,"['automobile'; 'truck']",truck
208,9,"['frog'; 'ship']",frog
209,6,"['cat'; 'truck']",truck
210,6,"['truck'; 'cat']",truck
211,7,"['truck'; 'airplane']",truck
212,1,"['deer'; 'dog']",deer
213,0,"['automobile'; 'bird']",automobile
214,9,"['frog'; 'ship']",frog
215,5,"['automobile'; 'airplane']",automobile
216,8,"['cat'; 'truck']",truck
217,5,"['automobile'; 'airplane']",automobile
218,2,"['cat'; 'deer']",deer
219,9,"['frog'; 'ship']",frog
220,0,"['automobile'; 'bird']",automobile
221,8,"['cat'; 'truck']",cat
222,8,"['cat'; 'truck']",truck
223,0,"['automobile'; 'bird']",automobile
224,6,"['cat'; 'truck']",truck
225,9,"['ship'; 'frog']",frog
226,1,"['deer'; 'dog']",deer
227,1,"['deer'; 'dog']",deer
228,6,"['cat'; 'truck']",truck
229,3,"['truck'; 'automobile']",truck
230,7,"['truck'; 'airplane']",truck
231,6,"['cat'; 'truck']",truck
232,6,"['cat'; 'truck']",truck
233,0,"['bird'; 'automobile']",bird
234,6,"['cat'; 'truck']",truck
235,6,"['truck'; 'cat']",truck
236,1,"['dog'; 'deer']",dog
237,7,"['airplane'; 'truck']",airplane
238,1,"['dog'; 'deer']",dog
239,5,"['automobile'; 'airplane']",automobile
240,8,"['cat'; 'truck']",cat
241,3,"['truck'; 'automobile']",truck
242,6,"['cat'; 'truck']",truck
243,6,"['truck'; 'cat']",truck
244,8,"['cat'; 'truck']",truck
245,6,"['truck'; 'cat']",truck
246,8,"['cat'; 'truck']",cat
247,4,"['horse'; 'airplane']",horse
248,6,"['truck'; 'cat']",truck
249,6,"['truck'; 'cat']",truck
250,1,"['deer'; 'dog']",deer
251,3,"['truck'; 'automobile']",truck
252,8,"['truck'; 'cat']",truck
253,3,"['automobile'; 'truck']",truck
254,4,"['airplane'; 'horse']",airplane
255,1,"['deer'; 'dog']",deer
256,7,"['truck'; 'airplane']",truck
257,1,"['dog'; 'deer']",dog
258,3,"['truck'; 'automobile']",truck
259,8,"['cat'; 'truck']",cat
260,5,"['airplane'; 'automobile']",airplane
261,1,"['deer'; 'dog']",deer
262,1,"['dog'; 'deer']",dog
263,4,"['horse'; 'airplane']",airplane
264,0,"['bird'; 'automobile']",automobile
265,9,"['frog'; 'ship']",frog
266,3,"['truck'; 'automobile']",truck
267,7,"['truck'; 'airplane']",truck
268,4,"['horse'; 'airplane']",airplane
269,9,"['ship'; 'frog']",frog
270,9,"['ship'; 'frog']",frog
271,2,"['cat'; 'deer']",cat
272,4,"['airplane'; 'horse']",airplane
273,9,"['ship'; 'frog']",frog
274,9,"['ship'; 'frog']",frog
275,1,"['deer'; 'dog']",deer
276,0,"['bird'; 'automobile']",automobile
277,5,"['airplane'; 'automobile']",airplane
278,9,"['frog'; 'ship']",frog
279,0,"['automobile'; 'bird']",automobile
280,8,"['truck'; 'cat']",truck
281,2,"['deer'; 'cat']",deer
282,1,"['dog'; 'deer']",dog
283,2,"['cat'; 'deer']",deer
284,0,"['automobile'; 'bird']",automobile
285,5,"['airplane'; 'automobile']",airplane
286,6,"['truck'; 'cat']",truck
287,3,"['truck'; 'automobile']",truck
288,2,"['cat'; 'deer']",deer
289,7,"['truck'; 'airplane']",truck
290,8,"['cat'; 'truck']",truck
291,8,"['truck'; 'cat']",cat
292,6,"['cat'; 'truck']",truck
293,0,"['bird'; 'automobile']",bird
294,7,"['truck'; 'airplane']",truck
295,9,"['frog'; 'ship']",frog
296,4,"['airplane'; 'horse']",airplane
297,5,"['airplane'; 'automobile']",airplane
298,6,"['cat'; 'truck']",truck
299,4,"['airplane'; 'horse']",airplane
300,2,"['deer'; 'cat']",deer
301,1,"['dog'; 'deer']",dog
302,1,"['deer'; 'dog']",deer
303,2,"['cat'; 'deer']",cat
304,1,"['deer'; 'dog']",deer
305,5,"['automobile'; 'airplane']",automobile
306,9,"['frog'; 'ship']",frog
307,9,"['ship'; 'frog']",frog
308,0,"['bird'; 'automobile']",bird
309,8,"['cat'; 'truck']",truck
310,4,"['horse'; 'airplane']",airplane
311,1,"['dog'; 'deer']",dog
312,1,"['dog'; 'deer']",dog
313,6,"['cat'; 'truck']",truck
314,3,"['automobile'; 'truck']",truck
315,3,"['automobile'; 'truck']",truck
316,9,"['frog'; 'ship']",frog
317,0,"['automobile'; 'bird']",automobile
318,7,"['truck'; 'airplane']",truck
319,9,"['frog'; 'ship']",ship
320,7,"['truck'; 'airplane']",truck
321,7,"['truck'; 'airplane']",truck
322,9,"['ship'; 'frog']",frog
323,1,"['dog'; 'deer']",dog
324,5,"['airplane'; 'automobile']",airplane
325,1,"['deer'; 'dog']",deer
326,6,"['truck'; 'cat']",truck
327,6,"['cat'; 'truck']",truck
328,8,"['cat'; 'truck']",truck
329,7,"['truck'; 'airplane']",truck
330,1,"['deer'; 'dog']",deer
331,3,"['automobile'; 'truck']",truck
332,0,"['automobile'; 'bird']",automobile
333,3,"['truck'; 'automobile']",truck
334,3,"['automobile'; 'truck']",truck
335,2,"['cat'; 'deer']",cat
336,4,"['airplane'; 'horse']",airplane
337,5,"['airplane'; 'automobile']",airplane
338,7,"['airplane'; 'truck']",airplane
339,5,"['automobile'; 'airplane']",automobile
340,9,"['frog'; 'ship']",frog
341,0,"['automobile'; 'bird']",automobile
342,3,"['automobile'; 'truck']",truck
343,4,"['airplane'; 'horse']",airplane
344,0,"['automobile'; 'bird']",automobile
345,4,"['horse'; 'airplane']",airplane
346,4,"['horse'; 'airplane']",airplane
347,6,"['cat'; 'truck']",truck
348,0,"['bird'; 'automobile']",automobile
349,0,"['automobile'; 'bird']",automobile
350,6,"['truck'; 'cat']",truck
351,6,"['cat'; 'truck']",truck
352,0,"['bird'; 'automobile']",bird
353,8,"['cat'; 'truck']",cat
354,1,"['deer'; 'dog']",deer
355,6,"['cat'; 'truck']",truck
356,2,"['deer'; 'cat']",deer
357,9,"['frog'; 'ship']",frog
358,2,"['cat'; 'deer']",deer
359,5,"['airplane'; 'automobile']",airplane
360,9,"['frog'; 'ship']",frog
361,6,"['cat'; 'truck']",truck
362,7,"['truck'; 'airplane']",truck
363,4,"['horse'; 'airplane']",airplane
364,1,"['deer'; 'dog']",deer
365,8,"['cat'; 'truck']",truck
366,7,"['airplane'; 'truck']",airplane
367,3,"['truck'; 'automobile']",truck
368,6,"['cat'; 'truck']",truck
369,9,"['ship'; 'frog']",frog
370,3,"['automobile'; 'truck']",truck
371,0,"['automobile'; 'bird']",automobile
372,4,"['horse'; 'airplane']",airplane
373,0,"['automobile'; 'bird']",automobile
374,5,"['automobile'; 'airplane']",automobile
375,1,"['deer'; 'dog']",deer
376,0,"['automobile'; 'bird']",automobile
377,3,"['automobile'; 'truck']",truck
378,4,"['horse'; 'airplane']",airplane
379,8,"['truck'; 'cat']",truck
380,5,"['airplane'; 'automobile']",airplane
381,4,"['horse'; 'airplane']",airplane
382,7,"['truck'; 'airplane']",truck
383,2,"['cat'; 'deer']",deer
384,3,"['automobile'; 'truck']",truck
385,9,"['frog'; 'ship']",frog
386,7,"['truck'; 'airplane']",truck
387,6,"['truck'; 'cat']",truck
388,7,"['truck'; 'airplane']",truck
389,1,"['dog'; 'deer']",dog
390,4,"['horse'; 'airplane']",airplane
391,7,"['truck'; 'airplane']",truck
392,0,"['bird'; 'automobile']",automobile
393,1,"['dog'; 'deer']",dog
394,7,"['airplane'; 'truck']",truck
395,3,"['automobile'; 'truck']",truck
396,1,"['deer'; 'dog']",deer
397,8,"['truck'; 'cat']",cat
398,4,"['horse'; 'airplane']",airplane
399,4,"['horse'; 'airplane']",airplane
400,2,"['deer'; 'cat']",deer
401,0,"['automobile'; 'bird']",bird
402,2,"['cat'; 'deer']",deer
403,2,"['cat'; 'deer']",deer
404,0,"['bird'; 'automobile']",bird
405,0,"['automobile'; 'bird']",bird
406,9,"['frog'; 'ship']",frog
407,0,"['automobile'; 'bird']",bird
408,9,"['ship'; 'frog']",frog
409,6,"['cat'; 'truck']",truck
410,8,"['truck'; 'cat']",truck
411,2,"['cat'; 'deer']",cat
412,7,"['truck'; 'airplane']",truck
413,7,"['truck'; 'airplane']",truck
414,4,"['horse'; 'airplane']",airplane
415,0,"['bird'; 'automobile']",bird
416,3,"['automobile'; 'truck']",truck
417,0,"['automobile'; 'bird']",automobile
418,8,"['truck'; 'cat']",truck
419,9,"['frog'; 'ship']",frog
420,4,"['airplane'; 'horse']",airplane
421,2,"['deer'; 'cat']",deer
422,7,"['truck'; 'airplane']",truck
423,2,"['cat'; 'deer']",cat
424,5,"['automobile'; 'airplane']",automobile
425,2,"['deer'; 'cat']",deer
426,5,"['automobile'; 'airplane']",automobile
427,1,"['deer'; 'dog']",deer
428,9,"['frog'; 'ship']",frog
429,4,"['airplane'; 'horse']",airplane
430,8,"['cat'; 'truck']",cat
431,5,"['airplane'; 'automobile']",airplane
432,1,"['deer'; 'dog']",deer
433,7,"['truck'; 'airplane']",truck
434,4,"['airplane'; 'horse']",airplane
435,4,"['airplane'; 'horse']",airplane
436,0,"['bird'; 'automobile']",bird
437,6,"['cat'; 'truck']",truck
438,9,"['frog'; 'ship']",frog
439,0,"['automobile'; 'bird']",automobile
440,7,"['truck'; 'airplane']",truck
441,8,"['truck'; 'cat']",truck
442,8,"['cat'; 'truck']",truck
443,9,"['ship'; 'frog']",frog
444,9,"['frog'; 'ship']",ship
445,3,"['automobile'; 'truck']",truck
446,3,"['truck'; 'automobile']",truck
447,4,"['airplane'; 'horse']",airplane
448,0,"['automobile'; 'bird']",bird
449,4,"['horse'; 'airplane']",airplane
450,5,"['airplane'; 'automobile']",airplane
451,6,"['cat'; 'truck']",truck
452,6,"['cat'; 'truck']",truck
453,0,"['automobile'; 'bird']",bird
454,1,"['deer'; 'dog']",deer
455,0,"['bird'; 'automobile']",automobile
456,8,"['truck'; 'cat']",truck
457,0,"['automobile'; 'bird']",automobile
458,4,"['airplane'; 'horse']",airplane
459,8,"['cat'; 'truck']",cat
460,8,"['truck'; 'cat']",truck
461,1,"['deer'; 'dog']",deer
462,5,"['airplane'; 'automobile']",airplane
463,2,"['deer'; 'cat']",deer
464,6,"['cat'; 'truck']",truck
465,8,"['truck'; 'cat']",truck
466,1,"['dog'; 'deer']",dog
467,0,"['automobile'; 'bird']",bird
468,0,"['automobile'; 'bird']",automobile
469,7,"['truck'; 'airplane']",truck
470,7,"['airplane'; 'truck']",airplane
471,5,"['automobile'; 'airplane']",automobile
472,9,"['frog'; 'ship']",ship
473,6,"['truck'; 'cat']",truck
474,2,"['deer'; 'cat']",deer
475,8,"['truck'; 'cat']",truck
476,3,"['automobile'; 'truck']",truck
477,4,"['airplane'; 'horse']",airplane
478,7,"['airplane'; 'truck']",truck
479,3,"['truck'; 'automobile']",truck
480,9,"['frog'; 'ship']",frog
481,0,"['automobile'; 'bird']",automobile
482,1,"['dog'; 'deer']",dog
483,2,"['cat'; 'deer']",cat
484,4,"['horse'; 'airplane']",airplane
485,8,"['truck'; 'cat']",truck
486,1,"['dog'; 'deer']",dog
487,8,"['cat'; 'truck']",cat
488,6,"['cat'; 'truck']",truck
489,4,"['horse'; 'airplane']",airplane
490,4,"['airplane'; 'horse']",airplane
491,5,"['automobile'; 'airplane']",airplane
492,7,"['airplane'; 'truck']",truck
493,1,"['deer'; 'dog']",deer
494,3,"['truck'; 'automobile']",truck
495,9,"['ship'; 'frog']",frog
496,8,"['cat'; 'truck']",cat
497,0,"['bird'; 'automobile']",automobile
498,1,"['dog'; 'deer']",dog
499,7,"['truck'; 'airplane']",truck
500,5,"['airplane'; 'automobile']",airplane
501,8,"['cat'; 'truck']",truck
502,2,"['cat'; 'deer']",deer
503,8,"['cat'; 'truck']",cat
504,0,"['bird'; 'automobile']",bird
505,4,"['airplane'; 'horse']",airplane
506,1,"['deer'; 'dog']",deer
507,8,"['cat'; 'truck']",cat
508,9,"['ship'; 'frog']",frog
509,8,"['cat'; 'truck']",cat
510,2,"['deer'; 'cat']",cat
511,9,"['frog'; 'ship']",frog
512,9,"['ship'; 'frog']",frog
513,2,"['cat'; 'deer']",deer
514,7,"['airplane'; 'truck']",truck
515,5,"['automobile'; 'airplane']",automobile
516,7,"['truck'; 'airplane']",truck
517,3,"['automobile'; 'truck']",truck
518,8,"['truck'; 'cat']",truck
519,8,"['cat'; 'truck']",cat
520,4,"['horse'; 'airplane']",airplane
521,4,"['horse'; 'airplane']",airplane
522,2,"['deer'; 'cat']",deer
523,7,"['airplane'; 'truck']",airplane
524,1,"['dog'; 'deer']",dog
525,6,"['cat'; 'truck']",truck
526,4,"['airplane'; 'horse']",airplane
527,0,"['automobile'; 'bird']",bird
528,4,"['horse'; 'airplane']",airplane
529,6,"['truck'; 'cat']",truck
530,9,"['frog'; 'ship']",frog
531,7,"['truck'; 'airplane']",truck
532,6,"['truck'; 'cat']",truck
533,2,"['deer'; 'cat']",deer
534,5,"['airplane'; 'automobile']",airplane
535,5,"['automobile'; 'airplane']",automobile
536,1,"['deer'; 'dog']",deer
537,7,"['truck'; 'airplane']",truck
538,2,"['cat'; 'deer']",deer
539,2,"['cat'; 'deer']",deer
540,2,"['cat'; 'deer']",deer
541,9,"['frog'; 'ship']",frog
542,5,"['automobile'; 'airplane']",automobile
543,4,"['airplane'; 'horse']",airplane
544,2,"['deer'; 'cat']",deer
545,7,"['truck'; 'airplane']",truck
546,8,"['cat'; 'truck']",cat
547,1,"['deer'; 'dog']",deer
548,3,"['automobile'; 'truck']",truck
549,4,"['airplane'; 'horse']",airplane
550,3,"['truck'; 'automobile']",truck
551,7,"['truck'; 'airplane']",truck
552,6,"['cat'; 'truck']",truck
553,9,"['frog'; 'ship']",frog
554,8,"['cat'; 'truck']",cat
555,0,"['bird'; 'automobile']",automobile
556,6,"['cat'; 'truck']",truck
557,0,"['automobile'; 'bird']",automobile
558,2,"['cat'; 'deer']",deer
559,2,"['cat'; 'deer']",cat
560,2,"['cat'; 'deer']",deer
561,1,"['dog'; 'deer']",dog
562,8,"['truck'; 'cat']",truck
563,4,"['airplane'; 'horse']",airplane
564,0,"['bird'; 'automobile']",automobile
565,1,"['dog'; 'deer']",dog
566,8,"['truck'; 'cat']",truck
567,8,"['cat'; 'truck']",cat
568,1,"['deer'; 'dog']",deer
569,5,"['airplane'; 'automobile']",airplane
570,7,"['airplane'; 'truck']",truck
571,6,"['truck'; 'cat']",truck
572,4,"['horse'; 'airplane']",airplane
573,5,"['airplane'; 'automobile']",airplane
574,8,"['cat'; 'truck']",truck
575,7,"['airplane'; 'truck']",airplane
576,1,"['deer'; 'dog']",deer
577,9,"['frog'; 'ship']",frog
578,1,"['deer'; 'dog']",deer
579,9,"['frog'; 'ship']",ship
580,8,"['truck'; 'cat']",cat
581,4,"['airplane'; 'horse']",airplane
582,7,"['truck'; 'airplane']",truck
583,3,"['automobile'; 'truck']",truck
584,8,"['truck'; 'cat']",truck
585,8,"['truck'; 'cat']",cat
586,2,"['deer'; 'cat']",deer
587,6,"['truck'; 'cat']",truck
588,6,"['cat'; 'truck']",truck
589,7,"['airplane'; 'truck']",airplane
590,1,"['dog'; 'deer']",dog
591,6,"['cat'; 'truck']",truck
592,8,"['cat'; 'truck']",truck
593,1,"['dog'; 'deer']",dog
594,9,"['ship'; 'frog']",frog
595,7,"['airplane'; 'truck']",airplane
596,8,"['truck'; 'cat']",truck
597,3,"['automobile'; 'truck']",truck
598,0,"['bird'; 'automobile']",automobile
599,1,"['deer'; 'dog']",deer
600,0,"['bird'; 'automobile']",bird
601,8,"['cat'; 'truck']",cat
602,8,"['truck'; 'cat']",truck
603,3,"['truck'; 'automobile']",truck
604,0,"['automobile'; 'bird']",bird
605,0,"['bird'; 'automobile']",bird
606,1,"['dog'; 'deer']",dog
607,5,"['airplane'; 'automobile']",airplane
608,0,"['bird'; 'automobile']",bird
609,8,"['cat'; 'truck']",cat
610,8,"['cat'; 'truck']",cat
611,7,"['truck'; 'airplane']",truck
612,9,"['frog'; 'ship']",ship
613,9,"['frog'; 'ship']",frog
614,0,"['bird'; 'automobile']",bird
615,9,"['frog'; 'ship']",frog
616,4,"['horse'; 'airplane']",airplane
617,1,"['dog'; 'deer']",dog
618,3,"['automobile'; 'truck']",truck
619,6,"['truck'; 'cat']",truck
620,6,"['truck'; 'cat']",truck
621,4,"['airplane'; 'horse']",airplane
622,4,"['horse'; 'airplane']",airplane
623,7,"['truck'; 'airplane']",truck
624,5,"['airplane'; 'automobile']",airplane
625,6,"['cat'; 'truck']",truck
626,0,"['automobile'; 'bird']",automobile
627,8,"['truck'; 'cat']",cat
628,0,"['bird'; 'automobile']",automobile
629,3,"['truck'; 'automobile']",truck
630,2,"['cat'; 'deer']",deer
631,8,"['cat'; 'truck']",cat
632,4,"['airplane'; 'horse']",airplane
633,6,"['cat'; 'truck']",truck
634,9,"['ship'; 'frog']",frog
635,9,"['ship'; 'frog']",frog
636,7,"['airplane'; 'truck']",airplane
637,0,"['bird'; 'automobile']",automobile
638,3,"['truck'; 'automobile']",truck
639,3,"['automobile'; 'truck']",truck
640,6,"['truck'; 'cat']",truck
641,7,"['truck'; 'airplane']",truck
642,4,"['airplane'; 'horse']",airplane
643,9,"['ship'; 'frog']",frog
644,1,"['dog'; 'deer']",dog
645,6,"['cat'; 'truck']",truck
646,2,"['deer'; 'cat']",deer
647,7,"['airplane'; 'truck']",airplane
648,2,"['deer'; 'cat']",deer
649,2,"['deer'; 'cat']",cat
650,0,"['bird'; 'automobile']",bird
651,6,"['cat'; 'truck']",truck
652,7,"['truck'; 'airplane']",truck
653,5,"['automobile'; 'airplane']",automobile
654,7,"['airplane'; 'truck']",airplane
655,6,"['truck'; 'cat']",truck
656,8,"['cat'; 'truck']",cat
657,9,"['ship'; 'frog']",frog
658,0,"['bird'; 'automobile']",bird
659,9,"['ship'; 'frog']",frog
660,4,"['horse'; 'airplane']",airplane
661,4,"['horse'; 'airplane']",airplane
662,7,"['airplane'; 'truck']",airplane
663,0,"['automobile'; 'bird']",automobile
664,9,"['ship'; 'frog']",frog
665,4,"['airplane'; 'horse']",airplane
666,9,"['ship'; 'frog']",frog
667,6,"['truck'; 'cat']",truck
668,9,"['frog'; 'ship']",frog
669,4,"['airplane'; 'horse']",airplane
670,5,"['airplane'; 'automobile']",airplane
671,7,"['truck'; 'airplane']",truck
672,9,"['frog'; 'ship']",frog
673,2,"['deer'; 'cat']",cat
674,4,"['horse'; 'airplane']",airplane
675,5,"['airplane'; 'automobile']",airplane
676,1,"['dog'; 'deer']",dog
677,4,"['horse'; 'airplane']",airplane
678,3,"['truck'; 'automobile']",truck
679,9,"['frog'; 'ship']",frog
680,6,"['cat'; 'truck']",truck
681,5,"['automobile'; 'airplane']",automobile
682,6,"['truck'; 'cat']",truck
683,9,"['frog'; 'ship']",ship
684,3,"['truck'; 'automobile']",truck
685,3,"['automobile'; 'truck']",truck
686,5,"['airplane'; 'automobile']",airplane
687,0,"['automobile'; 'bird']",automobile
688,7,"['truck'; 'airplane']",truck
689,2,"['cat'; 'deer']",deer
690,1,"['deer'; 'dog']",deer
691,3,"['truck'; 'automobile']",truck
692,6,"['truck'; 'cat']",truck
693,4,"['airplane'; 'horse']",airplane
694,0,"['automobile'; 'bird']",automobile
695,0,"['bird'; 'automobile']",bird
696,2,"['cat'; 'deer']",cat
697,5,"['airplane'; 'automobile']",airplane
698,0,"['automobile'; 'bird']",automobile
699,1,"['dog'; 'deer']",dog
700,0,"['automobile'; 'bird']",automobile
701,2,"['cat'; 'deer']",cat
702,3,"['truck'; 'automobile']",truck
703,9,"['frog'; 'ship']",ship
