index,true_label,candidate_labels,complementary_label
156,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
157,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
158,1,"['insects'; 'large carnivores']",insects
159,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
160,12,"['vehicles 1'; 'large carnivores']",Vehicles
161,3,"['food containers'; 'trees']",trees
162,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
163,1,"['insects'; 'large carnivores']",insects
164,2,"['insects'; 'fruit and vegetables']",fruit and vegetables
165,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
166,5,"['fish'; 'non-insect invertebrates']",fish
167,2,"['fruit and vegetables'; 'insects']",fruit and vegetables
168,3,"['trees'; 'food containers']",trees
169,12,"['large carnivores'; 'vehicles 1']",vehicles 1
170,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
171,0,"['aquatic mammals'; 'food containers']",food containers
172,11,"['people'; 'insects']",insects
173,12,"['vehicles 1'; 'large carnivores']",Vehicles
174,2,"['insects'; 'fruit and vegetables']",insects
175,0,"['aquatic mammals'; 'food containers']",food containers
176,4,"['vehicles 1'; 'flowers']",Vehicles
177,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
178,7,"['household furniture'; 'insects']",household furniture
179,9,"['household furniture'; 'trees']",trees
180,11,"['people'; 'insects']",insects
181,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
182,11,"['people'; 'insects']",insects
183,3,"['food containers'; 'trees']",trees
184,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
185,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
186,19,"['vehicles 2'; 'large omnivores and herbivores']",large omnivores and herbivores
187,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
188,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
189,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
190,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
191,1,"['insects'; 'large carnivores']",insects
192,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
193,9,"['trees'; 'household furniture']",trees
194,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
195,18,"['food containers'; 'medium-sized mammals']",food containers
196,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
197,6,"['flowers'; 'aquatic mammals']",aquatic mammals
198,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
199,19,"['vehicles 2'; 'large omnivores and herbivores']",Vehicles
200,5,"['fish'; 'non-insect invertebrates']",fish
201,1,"['insects'; 'large carnivores']",insects
202,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
203,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
204,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
205,12,"['vehicles 1'; 'large carnivores']",Vehicles
206,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
207,7,"['household furniture'; 'insects']",household furniture
208,10,"['trees'; 'non-insect invertebrates']",trees
209,9,"['trees'; 'household furniture']",household furniture
210,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
211,19,"['vehicles 2'; 'large omnivores and herbivores']",Vehicles
212,9,"['household furniture'; 'trees']",household furniture
213,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
214,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
215,11,"['people'; 'insects']",insects
216,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
217,9,"['household furniture'; 'trees']",trees
218,5,"['fish'; 'non-insect invertebrates']",fish
219,18,"['medium-sized mammals'; 'food containers']",food containers
220,3,"['food containers'; 'trees']",trees
221,2,"['fruit and vegetables'; 'insects']",fruit and vegetables
222,5,"['fish'; 'non-insect invertebrates']",fish
223,5,"['fish'; 'non-insect invertebrates']",fish
224,11,"['insects'; 'people']",insects
225,2,"['fruit and vegetables'; 'insects']",fruit and vegetables
226,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
227,3,"['trees'; 'food containers']",trees
228,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
229,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
230,18,"['food containers'; 'medium-sized mammals']",food containers
231,18,"['medium-sized mammals'; 'food containers']",food containers
232,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
233,12,"['vehicles 1'; 'large carnivores']",Vehicles
234,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
235,11,"['insects'; 'people']",insects
236,13,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
237,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
238,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
239,5,"['fish'; 'non-insect invertebrates']",fish
240,18,"['medium-sized mammals'; 'food containers']",food containers
241,6,"['flowers'; 'aquatic mammals']",flowers
242,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
243,11,"['people'; 'insects']",insects
244,3,"['food containers'; 'trees']",food containers
245,17,"['flowers'; 'food containers']",flowers
246,2,"['fruit and vegetables'; 'insects']",fruit and vegetables
247,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
248,5,"['fish'; 'non-insect invertebrates']",fish
249,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
250,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
251,18,"['medium-sized mammals'; 'food containers']",food containers
252,18,"['medium-sized mammals'; 'food containers']",food containers
253,4,"['vehicles 1'; 'flowers']",flowers
254,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
255,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
256,10,"['trees'; 'non-insect invertebrates']",trees
257,19,"['vehicles 2'; 'large omnivores and herbivores']",large omnivores and herbivores
258,17,"['food containers'; 'flowers']",food containers
259,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
260,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
261,0,"['aquatic mammals'; 'food containers']",food containers
262,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
263,5,"['fish'; 'non-insect invertebrates']",fish
264,12,"['vehicles 1'; 'large carnivores']",Vehicles
265,12,"['vehicles 1'; 'large carnivores']",Vehicles
266,7,"['insects'; 'household furniture']",household furniture
267,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
268,12,"['large carnivores'; 'vehicles 1']",Vehicles
269,17,"['food containers'; 'flowers']",food containers
270,4,"['vehicles 1'; 'flowers']",flowers
271,1,"['insects'; 'large carnivores']",insects
272,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
273,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
274,2,"['insects'; 'fruit and vegetables']",insects
275,10,"['trees'; 'non-insect invertebrates']",trees
276,18,"['medium-sized mammals'; 'food containers']",food containers
277,17,"['food containers'; 'flowers']",flowers
278,11,"['insects'; 'people']",insects
279,9,"['household furniture'; 'trees']",household furniture
280,12,"['vehicles 1'; 'large carnivores']",Vehicles
281,3,"['food containers'; 'trees']",trees
282,1,"['insects'; 'large carnivores']",insects
283,4,"['vehicles 1'; 'flowers']",flowers
284,1,"['insects'; 'large carnivores']",insects
285,6,"['aquatic mammals'; 'flowers']",aquatic mammals
286,18,"['medium-sized mammals'; 'food containers']",food containers
287,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
288,7,"['household furniture'; 'insects']",household furniture
289,6,"['flowers'; 'aquatic mammals']",aquatic mammals
290,7,"['household furniture'; 'insects']",household furniture
291,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
292,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
293,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
294,9,"['household furniture'; 'trees']",household furniture
295,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
296,12,"['vehicles 1'; 'large carnivores']",Vehicles
297,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
298,18,"['food containers'; 'medium-sized mammals']",food containers
299,4,"['flowers'; 'vehicles 1']",Vehicles
300,10,"['trees'; 'non-insect invertebrates']",trees
301,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
302,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
303,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
304,4,"['flowers'; 'vehicles 1']",Vehicles
305,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
306,11,"['people'; 'insects']",insects
307,3,"['trees'; 'food containers']",trees
308,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
309,7,"['household furniture'; 'insects']",household furniture
310,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
311,4,"['vehicles 1'; 'flowers']",vehicles 1
312,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
313,1,"['large carnivores'; 'insects']",insects
314,2,"['insects'; 'fruit and vegetables']",insects
315,3,"['trees'; 'food containers']",trees
316,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
317,4,"['flowers'; 'vehicles 1']",Vehicles
318,2,"['insects'; 'fruit and vegetables']",insects
319,6,"['aquatic mammals'; 'flowers']",aquatic mammals
320,9,"['household furniture'; 'trees']",household furniture
321,10,"['trees'; 'non-insect invertebrates']",trees
322,0,"['food containers'; 'aquatic mammals']",food containers
323,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
324,2,"['insects'; 'fruit and vegetables']",fruit and vegetables
325,6,"['aquatic mammals'; 'flowers']",aquatic mammals
326,12,"['vehicles 1'; 'large carnivores']",vehicles 1
327,12,"['large carnivores'; 'vehicles 1']",Vehicles
328,3,"['food containers'; 'trees']",trees
329,12,"['vehicles 1'; 'large carnivores']",vehicles 1
330,2,"['fruit and vegetables'; 'insects']",insects
331,4,"['flowers'; 'vehicles 1']",Vehicles
332,5,"['fish'; 'non-insect invertebrates']",fish
333,12,"['large carnivores'; 'vehicles 1']",vehicles 1
334,12,"['large carnivores'; 'vehicles 1']",Vehicles
335,1,"['insects'; 'large carnivores']",insects
336,2,"['insects'; 'fruit and vegetables']",fruit and vegetables
337,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
338,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
339,9,"['trees'; 'household furniture']",trees
340,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
341,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
342,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
343,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
344,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
345,9,"['trees'; 'household furniture']",trees
346,1,"['large carnivores'; 'insects']",insects
347,17,"['flowers'; 'food containers']",flowers
348,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
349,17,"['food containers'; 'flowers']",food containers
350,6,"['aquatic mammals'; 'flowers']",aquatic mammals
351,11,"['people'; 'insects']",insects
352,2,"['fruit and vegetables'; 'insects']",insects
353,4,"['vehicles 1'; 'flowers']",flowers
354,11,"['people'; 'insects']",insects
355,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
356,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
357,12,"['large carnivores'; 'vehicles 1']",Vehicles
358,9,"['trees'; 'household furniture']",household furniture
359,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
360,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
361,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
362,2,"['insects'; 'fruit and vegetables']",fruit and vegetables
363,13,"['aquatic mammals'; 'household electrical devices']",aquatic mammals
364,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
365,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
366,0,"['aquatic mammals'; 'food containers']",food containers
367,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
368,11,"['insects'; 'people']",insects
369,11,"['people'; 'insects']",insects
370,18,"['medium-sized mammals'; 'food containers']",food containers
371,9,"['household furniture'; 'trees']",trees
372,1,"['large carnivores'; 'insects']",insects
373,10,"['trees'; 'non-insect invertebrates']",trees
374,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
375,13,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
376,11,"['people'; 'insects']",insects
377,7,"['household furniture'; 'insects']",household furniture
378,18,"['medium-sized mammals'; 'food containers']",food containers
379,4,"['vehicles 1'; 'flowers']",flowers
380,0,"['food containers'; 'aquatic mammals']",aquatic mammals
381,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
382,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
383,8,"['small mammals'; 'aquatic mammals']",small mammals
384,19,"['vehicles 2'; 'large omnivores and herbivores']",large omnivores and herbivores
385,3,"['trees'; 'food containers']",trees
386,8,"['small mammals'; 'aquatic mammals']",small mammals
387,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",large natural outdoor scenes
388,6,"['aquatic mammals'; 'flowers']",aquatic mammals
389,0,"['aquatic mammals'; 'food containers']",aquatic mammals
390,18,"['medium-sized mammals'; 'food containers']",food containers
391,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
392,18,"['medium-sized mammals'; 'food containers']",food containers
393,7,"['insects'; 'household furniture']",household furniture
394,1,"['insects'; 'large carnivores']",insects
395,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
396,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
397,17,"['flowers'; 'food containers']",flowers
398,3,"['food containers'; 'trees']",trees
399,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
400,0,"['aquatic mammals'; 'food containers']",food containers
401,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
402,4,"['flowers'; 'vehicles 1']",Vehicles
403,5,"['fish'; 'non-insect invertebrates']",fish
404,18,"['medium-sized mammals'; 'food containers']",food containers
405,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
406,17,"['food containers'; 'flowers']",flowers
407,7,"['insects'; 'household furniture']",household furniture
408,18,"['medium-sized mammals'; 'food containers']",food containers
409,6,"['aquatic mammals'; 'flowers']",aquatic mammals
410,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
411,13,"['aquatic mammals'; 'household electrical devices']",aquatic mammals
412,11,"['insects'; 'people']",insects
413,7,"['household furniture'; 'insects']",household furniture
414,4,"['vehicles 1'; 'flowers']",Vehicles
415,9,"['household furniture'; 'trees']",household furniture
416,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
417,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
418,17,"['food containers'; 'flowers']",flowers
419,2,"['fruit and vegetables'; 'insects']",insects
420,7,"['household furniture'; 'insects']",household furniture
421,18,"['medium-sized mammals'; 'food containers']",food containers
422,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
423,10,"['non-insect invertebrates'; 'trees']",trees
424,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
425,17,"['flowers'; 'food containers']",flowers
426,1,"['large carnivores'; 'insects']",insects
427,18,"['medium-sized mammals'; 'food containers']",food containers
428,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
429,7,"['insects'; 'household furniture']",household furniture
430,11,"['people'; 'insects']",insects
431,9,"['trees'; 'household furniture']",trees
432,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
433,3,"['trees'; 'food containers']",trees
434,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
435,12,"['large carnivores'; 'vehicles 1']",Vehicles
436,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
437,7,"['household furniture'; 'insects']",household furniture
438,0,"['food containers'; 'aquatic mammals']",food containers
439,12,"['vehicles 1'; 'large carnivores']",Vehicles
440,7,"['household furniture'; 'insects']",insects
441,4,"['vehicles 1'; 'flowers']",flowers
442,17,"['flowers'; 'food containers']",flowers
443,10,"['trees'; 'non-insect invertebrates']",trees
444,12,"['vehicles 1'; 'large carnivores']",Vehicles
445,2,"['fruit and vegetables'; 'insects']",fruit and vegetables
446,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
447,13,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
448,12,"['large carnivores'; 'vehicles 1']",Vehicles
449,1,"['insects'; 'large carnivores']",insects
450,6,"['flowers'; 'aquatic mammals']",aquatic mammals
451,18,"['food containers'; 'medium-sized mammals']",food containers
452,18,"['food containers'; 'medium-sized mammals']",food containers
453,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
454,9,"['trees'; 'household furniture']",household furniture
455,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
456,2,"['insects'; 'fruit and vegetables']",fruit and vegetables
457,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
458,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
459,4,"['vehicles 1'; 'flowers']",flowers
460,2,"['insects'; 'fruit and vegetables']",insects
461,12,"['vehicles 1'; 'large carnivores']",Vehicles
462,10,"['trees'; 'non-insect invertebrates']",trees
463,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
464,6,"['flowers'; 'aquatic mammals']",aquatic mammals
465,18,"['medium-sized mammals'; 'food containers']",food containers
466,2,"['insects'; 'fruit and vegetables']",insects
467,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
468,3,"['food containers'; 'trees']",trees
469,3,"['trees'; 'food containers']",food containers
470,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
471,17,"['flowers'; 'food containers']",food containers
472,2,"['fruit and vegetables'; 'insects']",fruit and vegetables
473,3,"['trees'; 'food containers']",trees
474,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
475,6,"['flowers'; 'aquatic mammals']",aquatic mammals
476,11,"['insects'; 'people']",insects
477,19,"['vehicles 2'; 'large omnivores and herbivores']",Vehicles
478,5,"['fish'; 'non-insect invertebrates']",fish
479,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
480,19,"['vehicles 2'; 'large omnivores and herbivores']",large omnivores and herbivores
481,7,"['insects'; 'household furniture']",Furniture
482,7,"['insects'; 'household furniture']",Furniture
483,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
484,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
485,11,"['insects'; 'people']",insects
486,0,"['food containers'; 'aquatic mammals']",food containers
487,17,"['food containers'; 'flowers']",flowers
488,0,"['aquatic mammals'; 'food containers']",aquatic mammals
489,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
490,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
