index,true_label,candidate_labels,complementary_label
25,6,"['na'; 'su'; 'ma'; 'wo'; 'ki'; 'o'; 'tsu'; 'ya'; 're']",su
26,2,"['ma'; 'ha'; 'tsu'; 'o'; 're'; 'su'; 'ki'; 'wo'; 'na']",na
27,7,"['ya'; 'na'; 'wo'; 'ma'; 'ha'; 'su'; 'ki'; 'tsu'; 're']",na
28,6,"['ya'; 'ma'; 'su'; 'ki'; 're'; 'tsu'; 'na'; 'o'; 'wo']",su
29,0,"['o'; 'na'; 'tsu'; 're'; 'ma'; 'su'; 'ha'; 'ki'; 'wo']",na
30,9,"['ha'; 're'; 'o'; 'wo'; 'ya'; 'ki'; 'ma'; 'tsu'; 'su']",tsu
31,6,"['ma'; 'wo'; 'ki'; 'ya'; 'tsu'; 're'; 'o'; 'su'; 'na']",tsu
32,1,"['ki'; 'wo'; 'o'; 'ha'; 'su'; 'ya'; 're'; 'na'; 'ma']",na
33,5,"['o'; 'ki'; 'ya'; 'na'; 'ma'; 'ha'; 'wo'; 'su'; 'tsu']",ki
34,9,"['ha'; 'ma'; 'su'; 're'; 'o'; 'wo'; 'tsu'; 'ki'; 'ya']",su
35,5,"['ki'; 'o'; 'wo'; 'tsu'; 'ma'; 'ya'; 'na'; 'ha'; 'su']",tsu
36,8,"['o'; 'na'; 'su'; 'ki'; 'ha'; 'wo'; 're'; 'tsu'; 'ya']",na
37,0,"['na'; 'tsu'; 'o'; 'ki'; 'wo'; 'ma'; 're'; 'ha'; 'su']",na
38,0,"['su'; 're'; 'tsu'; 'wo'; 'ki'; 'ma'; 'na'; 'ha'; 'o']",na
39,8,"['tsu'; 'na'; 'ya'; 'ha'; 'su'; 'ki'; 'o'; 'wo'; 're']",na
40,8,"['ki'; 'o'; 'wo'; 'ha'; 'tsu'; 'na'; 'su'; 'ya'; 're']",tsu
41,6,"['tsu'; 'ma'; 're'; 'o'; 'wo'; 'ya'; 'su'; 'ki'; 'na']",na
42,7,"['tsu'; 'ya'; 're'; 'su'; 'ha'; 'ki'; 'wo'; 'ma'; 'na']",na
43,7,"['na'; 'wo'; 'ma'; 'ya'; 'ha'; 'ki'; 'tsu'; 're'; 'su']",tsu
44,7,"['ya'; 'tsu'; 'ki'; 're'; 'su'; 'ma'; 'ha'; 'wo'; 'na']",na
45,8,"['wo'; 'ya'; 're'; 'tsu'; 'na'; 'ki'; 'su'; 'ha'; 'o']",tsu
46,1,"['ya'; 'wo'; 're'; 'na'; 'o'; 'ha'; 'ki'; 'ma'; 'su']",na
47,9,"['tsu'; 'o'; 're'; 'ya'; 'ki'; 'wo'; 'ma'; 'ha'; 'su']",tsu
48,6,"['ki'; 'o'; 'na'; 'ya'; 're'; 'wo'; 'su'; 'ma'; 'tsu']",ki
49,0,"['su'; 'ma'; 'wo'; 'na'; 'o'; 'ki'; 'ha'; 're'; 'tsu']",su
50,5,"['wo'; 'o'; 'ma'; 'ki'; 'su'; 'tsu'; 'ya'; 'na'; 'ha']",na
51,1,"['o'; 'ki'; 'wo'; 'na'; 'ha'; 're'; 'ma'; 'ya'; 'su']",ki
52,1,"['ma'; 're'; 'na'; 'o'; 'ya'; 'su'; 'ki'; 'wo'; 'ha']",na
53,1,"['wo'; 'ha'; 'o'; 'na'; 'ma'; 'su'; 'ya'; 'ki'; 're']",re
54,3,"['ma'; 'ki'; 'na'; 'su'; 'wo'; 'ha'; 'o'; 're'; 'tsu']",ki
55,2,"['su'; 'na'; 're'; 'ma'; 'tsu'; 'ha'; 'ki'; 'o'; 'wo']",na
56,2,"['ha'; 'su'; 're'; 'tsu'; 'ma'; 'na'; 'wo'; 'o'; 'ki']",na
57,6,"['ki'; 'ma'; 'su'; 'ya'; 're'; 'o'; 'tsu'; 'wo'; 'na']",su
58,4,"['ha'; 'ma'; 'tsu'; 're'; 'na'; 'ki'; 'ya'; 'o'; 'su']",na
59,3,"['wo'; 'ki'; 'na'; 'tsu'; 're'; 'ma'; 'su'; 'o'; 'ha']",ki
60,5,"['ya'; 'ha'; 'ma'; 'su'; 'ki'; 'tsu'; 'o'; 'wo'; 'na']",na
61,5,"['ma'; 'ya'; 'ki'; 'su'; 'o'; 'ha'; 'wo'; 'tsu'; 'na']",su
62,4,"['re'; 'su'; 'na'; 'ha'; 'o'; 'ma'; 'tsu'; 'ki'; 'ya']",su
63,6,"['tsu'; 'su'; 'ma'; 'wo'; 'ya'; 'na'; 'ki'; 'o'; 're']",na
64,6,"['su'; 'ma'; 'wo'; 'ki'; 're'; 'tsu'; 'na'; 'o'; 'ya']",su
65,1,"['ha'; 'ki'; 'su'; 'ma'; 'na'; 're'; 'wo'; 'ya'; 'o']",ki
66,7,"['tsu'; 'ya'; 'wo'; 'su'; 'ma'; 're'; 'ha'; 'ki'; 'na']",na
67,8,"['ya'; 'tsu'; 'ki'; 'ha'; 'na'; 're'; 'o'; 'su'; 'wo']",tsu
68,8,"['wo'; 'ki'; 'o'; 're'; 'su'; 'ha'; 'ya'; 'na'; 'tsu']",ki
69,3,"['ha'; 'ma'; 'na'; 'o'; 'tsu'; 're'; 'ki'; 'su'; 'wo']",tsu
70,1,"['ya'; 're'; 'ki'; 'ma'; 'su'; 'na'; 'o'; 'ha'; 'wo']",na
71,9,"['wo'; 'tsu'; 'ki'; 'o'; 'su'; 'ma'; 'ya'; 'ha'; 're']",tsu
72,9,"['ha'; 'su'; 'ma'; 'ki'; 'wo'; 'tsu'; 'ya'; 'o'; 're']",su
73,3,"['su'; 'o'; 'ha'; 'tsu'; 'ki'; 'na'; 'wo'; 're'; 'ma']",na
74,2,"['tsu'; 'ki'; 'o'; 're'; 'wo'; 'ha'; 'ma'; 'su'; 'na']",ki
75,1,"['ha'; 'ma'; 'ki'; 'na'; 'ya'; 'o'; 'su'; 'wo'; 're']",na
76,0,"['o'; 'tsu'; 'ma'; 'wo'; 'su'; 'na'; 're'; 'ki'; 'ha']",na
77,4,"['re'; 'ya'; 'ki'; 'ha'; 'tsu'; 'ma'; 'na'; 'o'; 'su']",tsu
78,8,"['ha'; 're'; 'ki'; 'tsu'; 'wo'; 'ya'; 'o'; 'na'; 'su']",tsu
79,2,"['ma'; 'wo'; 'tsu'; 'ki'; 'o'; 're'; 'su'; 'na'; 'ha']",ha
80,3,"['su'; 'tsu'; 'ha'; 'ki'; 'ma'; 'wo'; 're'; 'na'; 'o']",na
81,6,"['ki'; 're'; 'ma'; 'su'; 'tsu'; 'wo'; 'ya'; 'na'; 'o']",na
82,9,"['wo'; 're'; 'su'; 'o'; 'tsu'; 'ki'; 'ha'; 'ya'; 'ma']",su
83,9,"['re'; 'su'; 'wo'; 'ki'; 'tsu'; 'ma'; 'o'; 'ya'; 'ha']",ha
84,6,"['wo'; 're'; 'ki'; 'ya'; 'o'; 'na'; 'su'; 'tsu'; 'ma']",su
85,5,"['ma'; 'na'; 'wo'; 'ha'; 'ki'; 'tsu'; 'ya'; 'o'; 'su']",na
86,6,"['wo'; 'na'; 'o'; 'ya'; 'ki'; 'ma'; 'su'; 're'; 'tsu']",na
87,1,"['ki'; 'ya'; 'ha'; 're'; 'o'; 'ma'; 'na'; 'wo'; 'su']",na
88,0,"['tsu'; 'wo'; 'ha'; 'su'; 'ma'; 'ki'; 'o'; 'na'; 're']",wo
89,7,"['ha'; 'tsu'; 'wo'; 'su'; 'ma'; 're'; 'ki'; 'ya'; 'na']",na
90,2,"['ha'; 're'; 'wo'; 'su'; 'na'; 'ma'; 'o'; 'tsu'; 'ki']",su
91,2,"['na'; 'ma'; 'ha'; 'ki'; 'o'; 're'; 'su'; 'wo'; 'tsu']",su
92,8,"['ya'; 'tsu'; 'su'; 'ha'; 'na'; 're'; 'ki'; 'wo'; 'o']",tsu
93,0,"['ki'; 're'; 'wo'; 'o'; 'ha'; 'ma'; 'tsu'; 'na'; 'su']",tsu
94,1,"['ma'; 'o'; 'na'; 'wo'; 'su'; 'ki'; 'ya'; 're'; 'ha']",na
95,8,"['ha'; 'wo'; 'na'; 're'; 'tsu'; 'su'; 'o'; 'ya'; 'ki']",tsu
96,6,"['su'; 'ma'; 'wo'; 'ki'; 're'; 'tsu'; 'o'; 'na'; 'ya']",su
97,6,"['tsu'; 'ya'; 're'; 'su'; 'ma'; 'na'; 'o'; 'wo'; 'ki']",na
98,3,"['ki'; 'wo'; 'su'; 'ma'; 'o'; 're'; 'na'; 'tsu'; 'ha']",su
99,5,"['ma'; 'tsu'; 'ha'; 'su'; 'na'; 'wo'; 'ki'; 'o'; 'ya']",na
100,0,"['wo'; 'ki'; 'ma'; 're'; 'o'; 'tsu'; 'su'; 'na'; 'ha']",tsu
101,9,"['o'; 'wo'; 'su'; 'tsu'; 'ma'; 'ya'; 'ha'; 'ki'; 're']",re
102,6,"['wo'; 'ya'; 'su'; 'ma'; 're'; 'ki'; 'o'; 'na'; 'tsu']",su
103,9,"['re'; 'su'; 'tsu'; 'o'; 'ki'; 'ha'; 'wo'; 'ya'; 'ma']",su
104,8,"['ki'; 'ya'; 'wo'; 'o'; 'su'; 'tsu'; 'ha'; 're'; 'na']",su
105,2,"['su'; 'na'; 'ki'; 'ma'; 'wo'; 're'; 'o'; 'tsu'; 'ha']",su
106,1,"['o'; 'su'; 'ma'; 'na'; 'wo'; 'ki'; 're'; 'ha'; 'ya']",na
107,3,"['ha'; 'ki'; 'na'; 'ma'; 'wo'; 'su'; 're'; 'o'; 'tsu']",su
108,9,"['ma'; 'ya'; 'su'; 'ha'; 're'; 'tsu'; 'wo'; 'ki'; 'o']",su
109,4,"['ma'; 'o'; 'tsu'; 'su'; 'ya'; 'ha'; 'na'; 're'; 'ki']",tsu
110,6,"['re'; 'na'; 'wo'; 'tsu'; 'ki'; 'ya'; 'o'; 'ma'; 'su']",na
111,5,"['ya'; 'ha'; 'su'; 'ma'; 'tsu'; 'ki'; 'o'; 'wo'; 'na']",na
112,3,"['na'; 'ha'; 'tsu'; 'wo'; 'ki'; 'o'; 'ma'; 're'; 'su']",na
113,4,"['ha'; 'ma'; 'o'; 're'; 'ya'; 'tsu'; 'ki'; 'su'; 'na']",tsu
114,7,"['ya'; 're'; 'wo'; 'ki'; 'na'; 'ha'; 'su'; 'tsu'; 'ma']",su
115,0,"['wo'; 'ki'; 'o'; 'ha'; 'ma'; 'su'; 're'; 'na'; 'tsu']",su
116,4,"['su'; 'ma'; 'ya'; 'na'; 'ha'; 'o'; 'ki'; 're'; 'tsu']",su
117,8,"['re'; 'ha'; 'wo'; 'ki'; 'ya'; 'na'; 'su'; 'tsu'; 'o']",na
118,6,"['ma'; 'wo'; 'su'; 'tsu'; 'ki'; 'na'; 'o'; 're'; 'ya']",na
119,5,"['tsu'; 'ki'; 'wo'; 'ya'; 'ha'; 'su'; 'ma'; 'o'; 'na']",ki
120,5,"['tsu'; 'na'; 'ma'; 'ki'; 'ha'; 'su'; 'wo'; 'ya'; 'o']",na
121,4,"['na'; 'o'; 'ma'; 'su'; 'ki'; 'tsu'; 're'; 'ya'; 'ha']",na
122,2,"['ki'; 're'; 'tsu'; 'wo'; 'ha'; 'su'; 'o'; 'na'; 'ma']",tsu
123,2,"['ma'; 'su'; 're'; 'na'; 'o'; 'wo'; 'ki'; 'ha'; 'tsu']",su
124,2,"['tsu'; 'wo'; 'o'; 'ki'; 'ha'; 're'; 'ma'; 'su'; 'na']",na
125,5,"['ki'; 'tsu'; 'na'; 'o'; 'ma'; 'ya'; 'wo'; 'su'; 'ha']",na
126,6,"['ya'; 'na'; 'ma'; 'ki'; 're'; 'wo'; 'su'; 'o'; 'tsu']",su
127,6,"['wo'; 'ya'; 'na'; 'ki'; 'ma'; 'o'; 'su'; 'tsu'; 're']",na
128,8,"['o'; 'tsu'; 'ha'; 'ki'; 'ya'; 'su'; 'wo'; 're'; 'na']",na
129,1,"['su'; 'ya'; 're'; 'ma'; 'o'; 'ki'; 'na'; 'ha'; 'wo']",na
130,5,"['ya'; 'ha'; 'o'; 'tsu'; 'su'; 'ki'; 'na'; 'ma'; 'wo']",tsu
131,5,"['su'; 'na'; 'wo'; 'ha'; 'ma'; 'ya'; 'ki'; 'tsu'; 'o']",na
132,6,"['o'; 're'; 'ki'; 'ma'; 'ya'; 'su'; 'na'; 'tsu'; 'wo']",su
133,2,"['su'; 're'; 'ma'; 'tsu'; 'ki'; 'wo'; 'na'; 'ha'; 'o']",ha
134,9,"['ya'; 'ha'; 'ma'; 'wo'; 'tsu'; 'o'; 'su'; 're'; 'ki']",tsu
135,2,"['re'; 'ma'; 'ha'; 'tsu'; 'ki'; 'wo'; 'o'; 'na'; 'su']",tsu
136,0,"['wo'; 'ha'; 'ma'; 'su'; 'na'; 'ki'; 'o'; 're'; 'tsu']",su
137,5,"['ha'; 'na'; 'wo'; 'ma'; 'o'; 'ya'; 'tsu'; 'ki'; 'su']",tsu
138,5,"['na'; 'su'; 'wo'; 'ya'; 'tsu'; 'o'; 'ma'; 'ki'; 'ha']",na
139,2,"['ha'; 'ma'; 'tsu'; 'o'; 'ki'; 're'; 'su'; 'wo'; 'na']",na
140,7,"['tsu'; 'wo'; 'ma'; 'na'; 'su'; 'ki'; 'ya'; 'ha'; 're']",wo
141,5,"['na'; 'wo'; 'ma'; 'ha'; 'o'; 'tsu'; 'ki'; 'ya'; 'su']",tsu
142,6,"['re'; 'na'; 'ki'; 'ya'; 'wo'; 'ma'; 'tsu'; 'su'; 'o']",tsu
143,8,"['tsu'; 'na'; 'ki'; 'ha'; 'ya'; 'wo'; 're'; 'o'; 'su']",na
144,8,"['o'; 'na'; 'ki'; 'ha'; 're'; 'su'; 'wo'; 'tsu'; 'ya']",na
145,0,"['na'; 'su'; 'ma'; 'o'; 'wo'; 'tsu'; 'ki'; 'ha'; 're']",na
146,3,"['su'; 'o'; 'ha'; 'tsu'; 're'; 'ki'; 'wo'; 'ma'; 'na']",na
147,4,"['su'; 'ma'; 'ya'; 'o'; 'tsu'; 're'; 'ha'; 'na'; 'ki']",su
148,5,"['su'; 'ki'; 'wo'; 'ha'; 'na'; 'o'; 'ma'; 'tsu'; 'ya']",su
149,6,"['wo'; 'na'; 'ma'; 'tsu'; 're'; 'o'; 'ki'; 'ya'; 'su']",na
150,3,"['ki'; 'ha'; 'o'; 're'; 'wo'; 'na'; 'ma'; 'su'; 'tsu']",su
151,5,"['ki'; 'na'; 'tsu'; 'ma'; 'wo'; 'ha'; 'o'; 'su'; 'ya']",na
152,0,"['su'; 'na'; 'ma'; 're'; 'wo'; 'ki'; 'tsu'; 'ha'; 'o']",na
153,1,"['ki'; 'ha'; 'ma'; 'su'; 're'; 'o'; 'ya'; 'wo'; 'na']",na
154,4,"['tsu'; 're'; 'ma'; 'ki'; 'su'; 'ha'; 'na'; 'o'; 'ya']",tsu
155,4,"['su'; 'ya'; 'na'; 'ha'; 'tsu'; 'ma'; 'o'; 're'; 'ki']",su
156,7,"['tsu'; 're'; 'su'; 'ki'; 'ha'; 'ya'; 'wo'; 'ma'; 'na']",ki
157,7,"['na'; 're'; 'ki'; 'ya'; 'tsu'; 'ma'; 'wo'; 'su'; 'ha']",tsu
158,7,"['wo'; 'ki'; 'tsu'; 're'; 'ma'; 'ha'; 'su'; 'ya'; 'na']",ki
159,8,"['o'; 'tsu'; 'ki'; 'ya'; 'wo'; 're'; 'su'; 'ha'; 'na']",tsu
160,6,"['su'; 'ya'; 'na'; 'ki'; 'ma'; 're'; 'tsu'; 'wo'; 'o']",na
161,6,"['tsu'; 'o'; 're'; 'na'; 'su'; 'ya'; 'ki'; 'ma'; 'wo']",na
162,5,"['wo'; 'ma'; 'ki'; 'o'; 'na'; 'su'; 'ha'; 'ya'; 'tsu']",su
163,2,"['ha'; 'ma'; 'na'; 'wo'; 'tsu'; 'ki'; 'o'; 're'; 'su']",tsu
164,7,"['wo'; 'ya'; 'su'; 'ha'; 'ma'; 'na'; 'tsu'; 'ki'; 're']",su
165,5,"['ma'; 'ki'; 'o'; 'na'; 'ha'; 'tsu'; 'su'; 'wo'; 'ya']",tsu
166,2,"['ha'; 'su'; 'tsu'; 'ki'; 're'; 'ma'; 'o'; 'na'; 'wo']",na
167,1,"['o'; 'ya'; 'ma'; 'na'; 'ha'; 're'; 'ki'; 'wo'; 'su']",na
168,8,"['o'; 'su'; 'tsu'; 'ha'; 'na'; 'ya'; 'ki'; 'wo'; 're']",na
169,1,"['na'; 'wo'; 'su'; 'ya'; 'ma'; 'ha'; 'o'; 'ki'; 're']",na
170,5,"['tsu'; 'ha'; 'ma'; 'su'; 'ya'; 'wo'; 'ki'; 'na'; 'o']",na
171,5,"['tsu'; 'wo'; 'ma'; 'o'; 'ki'; 'ha'; 'ya'; 'na'; 'su']",na
172,3,"['su'; 'ma'; 'ha'; 'ki'; 'wo'; 'na'; 're'; 'o'; 'tsu']",su
173,6,"['ya'; 'tsu'; 'su'; 'o'; 'ma'; 'na'; 're'; 'ki'; 'wo']",tsu
174,1,"['o'; 're'; 'wo'; 'ma'; 'ha'; 'ya'; 'na'; 'su'; 'ki']",na
175,0,"['o'; 'ha'; 're'; 'wo'; 'su'; 'ma'; 'tsu'; 'ki'; 'na']",na
176,1,"['re'; 'na'; 'ya'; 'ma'; 'su'; 'ki'; 'wo'; 'ha'; 'o']",na
177,0,"['ha'; 'su'; 'wo'; 'ma'; 'ki'; 're'; 'na'; 'o'; 'tsu']",su
178,3,"['ki'; 'ha'; 'wo'; 're'; 'o'; 'na'; 'ma'; 'tsu'; 'su']",tsu
179,7,"['ma'; 'na'; 'ha'; 'wo'; 'tsu'; 're'; 'su'; 'ki'; 'ya']",na
180,0,"['wo'; 'ki'; 'ma'; 'ha'; 're'; 'na'; 'tsu'; 'o'; 'su']",na
181,9,"['ha'; 'tsu'; 'ma'; 'o'; 'su'; 'ya'; 'wo'; 'ki'; 're']",re
182,9,"['ki'; 'su'; 're'; 'ma'; 'o'; 'ya'; 'wo'; 'ha'; 'tsu']",su
183,8,"['re'; 'ya'; 'su'; 'na'; 'tsu'; 'o'; 'ki'; 'ha'; 'wo']",su
184,0,"['ma'; 're'; 'ki'; 'na'; 'ha'; 'o'; 'su'; 'wo'; 'tsu']",na
185,0,"['su'; 're'; 'na'; 'tsu'; 'wo'; 'ha'; 'ma'; 'o'; 'ki']",na
186,0,"['ha'; 'tsu'; 're'; 'na'; 'ma'; 'ki'; 'o'; 'su'; 'wo']",na
187,9,"['tsu'; 'ha'; 'ma'; 'su'; 're'; 'ya'; 'o'; 'wo'; 'ki']",ha
188,5,"['ha'; 'o'; 'ya'; 'tsu'; 'ki'; 'su'; 'ma'; 'wo'; 'na']",tsu
189,9,"['ki'; 'su'; 're'; 'tsu'; 'wo'; 'ha'; 'o'; 'ya'; 'ma']",su
190,6,"['ki'; 'wo'; 'tsu'; 're'; 'o'; 'na'; 'ya'; 'su'; 'ma']",ki
191,5,"['ma'; 'tsu'; 'na'; 'ki'; 'su'; 'ha'; 'o'; 'wo'; 'ya']",na
192,4,"['na'; 'ha'; 'o'; 'ma'; 'ya'; 'tsu'; 'ki'; 're'; 'su']",tsu
193,5,"['na'; 'tsu'; 'ki'; 'wo'; 'ya'; 'o'; 'ma'; 'su'; 'ha']",na
194,3,"['na'; 'o'; 'ki'; 're'; 'su'; 'ma'; 'tsu'; 'ha'; 'wo']",na
195,8,"['o'; 're'; 'su'; 'tsu'; 'ya'; 'ha'; 'ki'; 'na'; 'wo']",ha
196,8,"['na'; 'su'; 'ki'; 'ha'; 'o'; 'wo'; 're'; 'ya'; 'tsu']",su
197,3,"['tsu'; 'ma'; 'ha'; 'ki'; 'wo'; 'na'; 'o'; 're'; 'su']",na
198,6,"['wo'; 'su'; 'ma'; 'ki'; 'na'; 'o'; 'tsu'; 're'; 'ya']",su
199,0,"['ha'; 'na'; 'su'; 'ma'; 'wo'; 're'; 'o'; 'ki'; 'tsu']",na
200,8,"['wo'; 're'; 'ha'; 'ki'; 'o'; 'su'; 'ya'; 'na'; 'tsu']",na
201,4,"['o'; 'tsu'; 'ha'; 'ki'; 'na'; 'ya'; 're'; 'su'; 'ma']",tsu
202,5,"['ya'; 'ki'; 'wo'; 'ma'; 'su'; 'tsu'; 'ha'; 'na'; 'o']",ki
203,7,"['tsu'; 'ma'; 're'; 'ha'; 'su'; 'ya'; 'wo'; 'na'; 'ki']",na
204,0,"['na'; 'ki'; 'ha'; 'su'; 'tsu'; 'wo'; 're'; 'o'; 'ma']",su
205,8,"['ki'; 're'; 'ya'; 'o'; 'su'; 'na'; 'wo'; 'tsu'; 'ha']",su
206,4,"['ki'; 'ha'; 'ma'; 're'; 'ya'; 'tsu'; 'su'; 'na'; 'o']",tsu
207,5,"['ki'; 'tsu'; 'ya'; 'ma'; 'ha'; 'o'; 'wo'; 'su'; 'na']",na
208,1,"['ya'; 'wo'; 'o'; 'ma'; 'su'; 'ha'; 'na'; 'ki'; 're']",na
209,1,"['o'; 'ha'; 'ki'; 're'; 'ya'; 'na'; 'wo'; 'ma'; 'su']",na
210,2,"['ma'; 'na'; 're'; 'ki'; 'su'; 'o'; 'wo'; 'ha'; 'tsu']",na
211,3,"['ki'; 'na'; 'o'; 'ma'; 'ha'; 'tsu'; 'wo'; 're'; 'su']",na
212,8,"['na'; 'su'; 'ya'; 'wo'; 're'; 'ki'; 'tsu'; 'ha'; 'o']",su
213,7,"['ma'; 'ya'; 'ha'; 'ki'; 're'; 'su'; 'tsu'; 'wo'; 'na']",na
214,3,"['re'; 'na'; 'ma'; 'ki'; 'tsu'; 'su'; 'wo'; 'o'; 'ha']",na
215,7,"['ma'; 'su'; 'ha'; 'wo'; 'ki'; 'tsu'; 'na'; 'ya'; 're']",re
216,4,"['ha'; 'o'; 'na'; 'ya'; 'ma'; 'su'; 'tsu'; 'ki'; 're']",na
217,7,"['wo'; 'su'; 'ma'; 'ki'; 'na'; 're'; 'ha'; 'ya'; 'tsu']",su
218,2,"['re'; 'tsu'; 'na'; 'wo'; 'ha'; 'su'; 'ki'; 'o'; 'ma']",na
219,9,"['ki'; 'ma'; 'wo'; 'tsu'; 'o'; 'su'; 'ha'; 're'; 'ya']",tsu
220,1,"['ha'; 'wo'; 'ki'; 'ya'; 'su'; 'na'; 're'; 'o'; 'ma']",na
221,7,"['re'; 'na'; 'su'; 'tsu'; 'wo'; 'ya'; 'ha'; 'ma'; 'ki']",na
222,9,"['tsu'; 'ha'; 'ma'; 'ya'; 'ki'; 'wo'; 'o'; 'su'; 're']",re
223,5,"['o'; 'ma'; 'ki'; 'ha'; 'na'; 'tsu'; 'wo'; 'su'; 'ya']",tsu
224,7,"['ya'; 'tsu'; 'ki'; 'ha'; 'su'; 'wo'; 're'; 'ma'; 'na']",tsu
225,4,"['ha'; 'ki'; 'ma'; 're'; 'tsu'; 'ya'; 'na'; 'su'; 'o']",na
226,6,"['ya'; 'o'; 'su'; 'ki'; 're'; 'tsu'; 'na'; 'wo'; 'ma']",su
227,9,"['wo'; 'ya'; 'ma'; 'ha'; 'tsu'; 'o'; 'ki'; 're'; 'su']",tsu
228,0,"['ma'; 'tsu'; 're'; 'ki'; 'ha'; 'o'; 'su'; 'wo'; 'na']",na
229,1,"['re'; 'ki'; 'na'; 'wo'; 'o'; 'ya'; 'ma'; 'su'; 'ha']",ki
230,0,"['wo'; 'ki'; 'ma'; 'su'; 'o'; 're'; 'na'; 'ha'; 'tsu']",su
231,1,"['na'; 'wo'; 'su'; 'ma'; 'o'; 'ya'; 'ha'; 're'; 'ki']",na
232,2,"['su'; 'na'; 'ma'; 're'; 'ha'; 'tsu'; 'wo'; 'ki'; 'o']",na
233,6,"['re'; 'ya'; 'o'; 'wo'; 'na'; 'su'; 'ma'; 'tsu'; 'ki']",su
234,5,"['ya'; 'na'; 'wo'; 'tsu'; 'o'; 'ha'; 'su'; 'ma'; 'ki']",na
235,9,"['wo'; 'ma'; 'o'; 'ki'; 'tsu'; 'su'; 'ya'; 're'; 'ha']",tsu
236,0,"['ma'; 'tsu'; 'o'; 're'; 'ha'; 'su'; 'na'; 'ki'; 'wo']",na
237,5,"['su'; 'ya'; 'wo'; 'tsu'; 'ma'; 'ha'; 'o'; 'na'; 'ki']",na
238,7,"['ki'; 'ha'; 'ma'; 'tsu'; 'ya'; 'wo'; 're'; 'su'; 'na']",tsu
239,0,"['ma'; 're'; 'ha'; 'wo'; 'su'; 'na'; 'tsu'; 'o'; 'ki']",na
240,6,"['ma'; 'ki'; 'ya'; 'o'; 'tsu'; 'na'; 're'; 'su'; 'wo']",tsu
241,8,"['tsu'; 'o'; 're'; 'ha'; 'ya'; 'ki'; 'su'; 'wo'; 'na']",na
242,2,"['tsu'; 'ki'; 'na'; 'ma'; 'wo'; 're'; 'ha'; 'su'; 'o']",ki
243,1,"['o'; 'ya'; 'ha'; 'wo'; 'na'; 'ma'; 'su'; 're'; 'ki']",na
244,9,"['o'; 're'; 'ki'; 'su'; 'tsu'; 'wo'; 'ma'; 'ya'; 'ha']",ha
