index,true_label,candidate_labels,complementary_label
68,15,"['household_electrical_devices'; 'vehicles_1'; 'trees'; 'large_man-made_outdoor_things'; 'flowers'; 'large_natural_outdoor_scenes'; 'large_carnivores'; 'small_mammals'; 'non-insect_invertebrates'; 'food_containers']",household_electrical_devices
69,4,"['vehicles_1'; 'medium_mammals'; 'large_carnivores'; 'reptiles'; 'vehicles_2'; 'small_mammals'; 'fish'; 'large_man-made_outdoor_things'; 'insects'; 'trees']",trees
70,2,"['large_natural_outdoor_scenes'; 'vehicles_2'; 'aquatic_mammals'; 'insects'; 'household_electrical_devices'; 'large_carnivores'; 'vehicles_1'; 'food_containers'; 'people'; 'small_mammals']",aquatic_mammals
71,16,"['household_electrical_devices'; 'vehicles_1'; 'large_omnivores_and_herbivores'; 'aquatic_mammals'; 'fish'; 'trees'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things'; 'insects'; 'reptiles']",fish
72,11,"['flowers'; 'aquatic_mammals'; 'large_carnivores'; 'insects'; 'non-insect_invertebrates'; 'people'; 'medium_mammals'; 'vehicles_2'; 'fish'; 'food_containers']",fish
73,19,"['household_electrical_devices'; 'vehicles_1'; 'large_natural_outdoor_scenes'; 'small_mammals'; 'household_furniture'; 'large_carnivores'; 'non-insect_invertebrates'; 'trees'; 'large_man-made_outdoor_things'; 'insects']",household_electrical_devices
74,16,"['fish'; 'large_omnivores_and_herbivores'; 'aquatic_mammals'; 'vehicles_1'; 'trees'; 'large_man-made_outdoor_things'; 'reptiles'; 'insects'; 'household_electrical_devices'; 'non-insect_invertebrates']",trees
75,7,"['large_natural_outdoor_scenes'; 'flowers'; 'medium_mammals'; 'household_furniture'; 'food_containers'; 'large_omnivores_and_herbivores'; 'trees'; 'large_man-made_outdoor_things'; 'small_mammals'; 'non-insect_invertebrates']",household_furniture
76,19,"['large_natural_outdoor_scenes'; 'vehicles_1'; 'large_carnivores'; 'household_furniture'; 'trees'; 'insects'; 'household_electrical_devices'; 'large_man-made_outdoor_things'; 'small_mammals'; 'non-insect_invertebrates']",large_carnivores
77,14,"['household_electrical_devices'; 'large_carnivores'; 'large_omnivores_and_herbivores'; 'large_man-made_outdoor_things'; 'medium_mammals'; 'insects'; 'food_containers'; 'fruit_and_vegetables'; 'non-insect_invertebrates'; 'aquatic_mammals']",large_carnivores
78,10,"['flowers'; 'medium_mammals'; 'non-insect_invertebrates'; 'fruit_and_vegetables'; 'food_containers'; 'reptiles'; 'vehicles_2'; 'small_mammals'; 'trees'; 'large_carnivores']",vehicles_2
79,8,"['household_electrical_devices'; 'aquatic_mammals'; 'reptiles'; 'vehicles_1'; 'food_containers'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'insects']",household_electrical_devices
80,5,"['fruit_and_vegetables'; 'aquatic_mammals'; 'insects'; 'large_omnivores_and_herbivores'; 'food_containers'; 'large_natural_outdoor_scenes'; 'vehicles_1'; 'medium_mammals'; 'trees'; 'fish']",fish
81,12,"['household_electrical_devices'; 'people'; 'fruit_and_vegetables'; 'household_furniture'; 'non-insect_invertebrates'; 'food_containers'; 'fish'; 'insects'; 'large_man-made_outdoor_things'; 'reptiles']",household_electrical_devices
82,12,"['household_furniture'; 'fruit_and_vegetables'; 'reptiles'; 'people'; 'fish'; 'food_containers'; 'household_electrical_devices'; 'insects'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things']",household_furniture
83,11,"['food_containers'; 'non-insect_invertebrates'; 'insects'; 'people'; 'fish'; 'medium_mammals'; 'flowers'; 'vehicles_2'; 'large_carnivores'; 'aquatic_mammals']",fish
84,10,"['food_containers'; 'medium_mammals'; 'fruit_and_vegetables'; 'reptiles'; 'small_mammals'; 'non-insect_invertebrates'; 'flowers'; 'trees'; 'large_carnivores'; 'vehicles_2']",vehicles_2
85,8,"['vehicles_1'; 'medium_mammals'; 'aquatic_mammals'; 'large_omnivores_and_herbivores'; 'insects'; 'large_man-made_outdoor_things'; 'household_electrical_devices'; 'non-insect_invertebrates'; 'reptiles'; 'food_containers']",large_man-made_outdoor_things
86,12,"['household_furniture'; 'reptiles'; 'food_containers'; 'insects'; 'non-insect_invertebrates'; 'fruit_and_vegetables'; 'people'; 'household_electrical_devices'; 'large_man-made_outdoor_things'; 'fish']",reptiles
87,13,"['trees'; 'food_containers'; 'vehicles_1'; 'aquatic_mammals'; 'large_natural_outdoor_scenes'; 'medium_mammals'; 'reptiles'; 'household_electrical_devices'; 'fruit_and_vegetables'; 'large_carnivores']",household_electrical_devices
88,10,"['large_carnivores'; 'flowers'; 'vehicles_2'; 'small_mammals'; 'food_containers'; 'non-insect_invertebrates'; 'reptiles'; 'fruit_and_vegetables'; 'medium_mammals'; 'trees']",vehicles_2
89,7,"['large_natural_outdoor_scenes'; 'household_furniture'; 'large_man-made_outdoor_things'; 'non-insect_invertebrates'; 'flowers'; 'food_containers'; 'medium_mammals'; 'small_mammals'; 'trees'; 'large_omnivores_and_herbivores']",household_furniture
90,14,"['aquatic_mammals'; 'household_electrical_devices'; 'medium_mammals'; 'insects'; 'large_omnivores_and_herbivores'; 'fruit_and_vegetables'; 'food_containers'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things'; 'large_carnivores']",aquatic_mammals
91,11,"['aquatic_mammals'; 'people'; 'large_carnivores'; 'non-insect_invertebrates'; 'food_containers'; 'medium_mammals'; 'fish'; 'vehicles_2'; 'insects'; 'flowers']",vehicles_2
92,14,"['large_carnivores'; 'fruit_and_vegetables'; 'food_containers'; 'non-insect_invertebrates'; 'large_omnivores_and_herbivores'; 'medium_mammals'; 'household_electrical_devices'; 'large_man-made_outdoor_things'; 'aquatic_mammals'; 'insects']",fruit_and_vegetables
93,19,"['small_mammals'; 'large_man-made_outdoor_things'; 'large_carnivores'; 'household_electrical_devices'; 'vehicles_1'; 'large_natural_outdoor_scenes'; 'insects'; 'trees'; 'non-insect_invertebrates'; 'household_furniture']",Small mammals
94,0,"['vehicles_2'; 'fish'; 'food_containers'; 'large_man-made_outdoor_things'; 'flowers'; 'large_carnivores'; 'trees'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'fruit_and_vegetables']",fish
95,4,"['small_mammals'; 'fish'; 'vehicles_2'; 'large_carnivores'; 'vehicles_1'; 'insects'; 'reptiles'; 'trees'; 'medium_mammals'; 'large_man-made_outdoor_things']",trees
96,12,"['food_containers'; 'people'; 'large_man-made_outdoor_things'; 'household_furniture'; 'fruit_and_vegetables'; 'reptiles'; 'fish'; 'insects'; 'non-insect_invertebrates'; 'household_electrical_devices']",large_man-made_outdoor_things
97,13,"['large_carnivores'; 'fruit_and_vegetables'; 'vehicles_1'; 'food_containers'; 'reptiles'; 'trees'; 'large_natural_outdoor_scenes'; 'aquatic_mammals'; 'household_electrical_devices'; 'medium_mammals']",large_natural_outdoor_scenes
98,1,"['vehicles_1'; 'food_containers'; 'aquatic_mammals'; 'fruit_and_vegetables'; 'flowers'; 'large_man-made_outdoor_things'; 'people'; 'small_mammals'; 'large_natural_outdoor_scenes'; 'trees']",fruit_and_vegetables
99,15,"['large_man-made_outdoor_things'; 'vehicles_1'; 'household_electrical_devices'; 'flowers'; 'large_natural_outdoor_scenes'; 'small_mammals'; 'trees'; 'non-insect_invertebrates'; 'food_containers'; 'large_carnivores']",large_man-made_outdoor_things
100,0,"['large_man-made_outdoor_things'; 'large_carnivores'; 'fruit_and_vegetables'; 'vehicles_2'; 'trees'; 'flowers'; 'medium_mammals'; 'fish'; 'food_containers'; 'large_omnivores_and_herbivores']",large_man-made_outdoor_things
101,5,"['aquatic_mammals'; 'large_natural_outdoor_scenes'; 'insects'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'fish'; 'trees'; 'fruit_and_vegetables'; 'vehicles_1'; 'food_containers']",insects
102,0,"['flowers'; 'large_man-made_outdoor_things'; 'fruit_and_vegetables'; 'medium_mammals'; 'vehicles_2'; 'trees'; 'large_omnivores_and_herbivores'; 'large_carnivores'; 'food_containers'; 'fish']",fish
103,8,"['large_man-made_outdoor_things'; 'reptiles'; 'large_omnivores_and_herbivores'; 'household_electrical_devices'; 'insects'; 'vehicles_1'; 'medium_mammals'; 'food_containers'; 'aquatic_mammals'; 'non-insect_invertebrates']",reptiles
104,3,"['fish'; 'household_electrical_devices'; 'household_furniture'; 'large_man-made_outdoor_things'; 'small_mammals'; 'reptiles'; 'insects'; 'non-insect_invertebrates'; 'large_omnivores_and_herbivores'; 'medium_mammals']",household_electrical_devices
105,15,"['trees'; 'large_man-made_outdoor_things'; 'flowers'; 'large_natural_outdoor_scenes'; 'household_electrical_devices'; 'vehicles_1'; 'large_carnivores'; 'food_containers'; 'small_mammals'; 'non-insect_invertebrates']",household_electrical_devices
106,4,"['insects'; 'vehicles_2'; 'large_carnivores'; 'fish'; 'trees'; 'reptiles'; 'vehicles_1'; 'medium_mammals'; 'large_man-made_outdoor_things'; 'small_mammals']",insects
107,19,"['large_carnivores'; 'insects'; 'trees'; 'small_mammals'; 'household_furniture'; 'large_man-made_outdoor_things'; 'household_electrical_devices'; 'vehicles_1'; 'non-insect_invertebrates'; 'large_natural_outdoor_scenes']",household_furniture
108,17,"['large_man-made_outdoor_things'; 'large_omnivores_and_herbivores'; 'vehicles_2'; 'people'; 'small_mammals'; 'insects'; 'vehicles_1'; 'medium_mammals'; 'reptiles'; 'fish']",large_omnivores_and_herbivores
109,6,"['food_containers'; 'flowers'; 'medium_mammals'; 'household_electrical_devices'; 'large_carnivores'; 'fruit_and_vegetables'; 'vehicles_2'; 'non-insect_invertebrates'; 'vehicles_1'; 'large_omnivores_and_herbivores']",medium_mammals
110,17,"['vehicles_2'; 'insects'; 'small_mammals'; 'large_man-made_outdoor_things'; 'large_omnivores_and_herbivores'; 'reptiles'; 'medium_mammals'; 'people'; 'vehicles_1'; 'fish']",insects
111,12,"['non-insect_invertebrates'; 'fruit_and_vegetables'; 'large_man-made_outdoor_things'; 'household_electrical_devices'; 'reptiles'; 'people'; 'food_containers'; 'insects'; 'fish'; 'household_furniture']",household_furniture
112,6,"['fruit_and_vegetables'; 'large_omnivores_and_herbivores'; 'household_electrical_devices'; 'large_carnivores'; 'flowers'; 'food_containers'; 'medium_mammals'; 'vehicles_1'; 'vehicles_2'; 'non-insect_invertebrates']",large_carnivores
113,0,"['medium_mammals'; 'fruit_and_vegetables'; 'food_containers'; 'large_carnivores'; 'vehicles_2'; 'trees'; 'flowers'; 'fish'; 'large_man-made_outdoor_things'; 'large_omnivores_and_herbivores']",fruit_and_vegetables
114,14,"['food_containers'; 'large_carnivores'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'aquatic_mammals'; 'insects'; 'household_electrical_devices'; 'large_man-made_outdoor_things'; 'fruit_and_vegetables'; 'non-insect_invertebrates']",large_carnivores
115,10,"['non-insect_invertebrates'; 'large_carnivores'; 'medium_mammals'; 'reptiles'; 'food_containers'; 'small_mammals'; 'vehicles_2'; 'trees'; 'flowers'; 'fruit_and_vegetables']",non-insect_invertebrates
116,9,"['medium_mammals'; 'household_electrical_devices'; 'non-insect_invertebrates'; 'food_containers'; 'insects'; 'large_natural_outdoor_scenes'; 'flowers'; 'large_carnivores'; 'reptiles'; 'large_omnivores_and_herbivores']",household_electrical_devices
117,11,"['aquatic_mammals'; 'non-insect_invertebrates'; 'large_carnivores'; 'vehicles_2'; 'flowers'; 'insects'; 'medium_mammals'; 'people'; 'fish'; 'food_containers']",aquatic_mammals
118,6,"['food_containers'; 'large_omnivores_and_herbivores'; 'vehicles_1'; 'vehicles_2'; 'large_carnivores'; 'non-insect_invertebrates'; 'household_electrical_devices'; 'medium_mammals'; 'fruit_and_vegetables'; 'flowers']",large_omnivores_and_herbivores
119,10,"['trees'; 'food_containers'; 'fruit_and_vegetables'; 'small_mammals'; 'reptiles'; 'non-insect_invertebrates'; 'large_carnivores'; 'flowers'; 'vehicles_2'; 'medium_mammals']",food_containers
120,12,"['insects'; 'food_containers'; 'people'; 'non-insect_invertebrates'; 'fruit_and_vegetables'; 'household_furniture'; 'reptiles'; 'fish'; 'large_man-made_outdoor_things'; 'household_electrical_devices']",household_furniture
