index,true_label,candidate_labels,complementary_label
88,0,"['na'; 'ki'; 'wo'; 'ma'; 'su'; 'ha'; 'o'; 're']",na
89,7,"['re'; 'su'; 'ha'; 'ki'; 'wo'; 'tsu'; 'ya'; 'o']",su
90,2,"['re'; 'ha'; 'wo'; 'tsu'; 'ya'; 'ma'; 'na'; 'o']",tsu
91,2,"['ma'; 'ha'; 'tsu'; 'o'; 'na'; 'wo'; 'ya'; 're']",tsu
92,8,"['na'; 're'; 'wo'; 'ki'; 'tsu'; 'ma'; 'su'; 'ha']",ha
93,0,"['ma'; 'su'; 're'; 'ha'; 'ki'; 'o'; 'na'; 'wo']",na
94,1,"['re'; 'o'; 'na'; 'wo'; 'ha'; 'ya'; 'ma'; 'ki']",na
95,8,"['ma'; 'ki'; 'wo'; 're'; 'na'; 'tsu'; 'su'; 'ha']",ki
96,6,"['tsu'; 'ha'; 're'; 'na'; 'ma'; 'ki'; 'su'; 'ya']",na
97,6,"['ma'; 'su'; 'ha'; 'tsu'; 'ki'; 'na'; 'ya'; 're']",su
98,3,"['o'; 'ya'; 'na'; 'tsu'; 'ma'; 'ha'; 'ki'; 'su']",na
99,5,"['tsu'; 'ha'; 'ya'; 're'; 'wo'; 'ki'; 'o'; 'na']",na
100,0,"['o'; 'na'; 'ma'; 'ki'; 'su'; 'ha'; 're'; 'wo']",na
101,9,"['su'; 'ki'; 'ha'; 'tsu'; 'wo'; 'na'; 'o'; 'ma']",na
102,6,"['su'; 'ma'; 'ya'; 'ki'; 'ha'; 'tsu'; 'na'; 're']",su
103,9,"['wo'; 'na'; 'ma'; 'ha'; 'su'; 'o'; 'ki'; 'tsu']",na
104,8,"['tsu'; 'ma'; 'ha'; 're'; 'na'; 'su'; 'wo'; 'ki']",na
105,2,"['o'; 'ha'; 'na'; 'tsu'; 'ya'; 'ma'; 'wo'; 're']",tsu
106,1,"['wo'; 'o'; 'ha'; 'na'; 'ki'; 'ma'; 're'; 'ya']",ki
107,3,"['tsu'; 'ya'; 'su'; 'ki'; 'na'; 'ha'; 'ma'; 'o']",na
108,9,"['su'; 'ma'; 'ha'; 'tsu'; 'wo'; 'na'; 'ki'; 'o']",na
109,4,"['ma'; 'su'; 'o'; 'ki'; 'ha'; 'tsu'; 'ya'; 're']",su
110,6,"['ma'; 'tsu'; 'ya'; 'ki'; 're'; 'na'; 'su'; 'ha']",ha
111,5,"['ha'; 're'; 'ya'; 'tsu'; 'ki'; 'na'; 'o'; 'wo']",tsu
112,3,"['su'; 'ma'; 'ya'; 'o'; 'ha'; 'na'; 'tsu'; 'ki']",su
113,4,"['ha'; 'o'; 'ma'; 're'; 'su'; 'ya'; 'ki'; 'tsu']",su
114,7,"['ya'; 'ki'; 'su'; 'o'; 'tsu'; 'wo'; 're'; 'ha']",ha
115,0,"['na'; 'ma'; 'ki'; 'ha'; 'wo'; 'o'; 'su'; 're']",na
116,4,"['re'; 'o'; 'ya'; 'ha'; 'su'; 'ki'; 'ma'; 'tsu']",su
117,8,"['tsu'; 'ma'; 'ha'; 'wo'; 'na'; 're'; 'su'; 'ki']",na
118,6,"['tsu'; 're'; 'na'; 'su'; 'ha'; 'ya'; 'ma'; 'ki']",na
119,5,"['re'; 'ya'; 'na'; 'ha'; 'o'; 'wo'; 'ki'; 'tsu']",tsu
120,5,"['na'; 're'; 'ha'; 'o'; 'ki'; 'ya'; 'wo'; 'tsu']",tsu
121,4,"['ma'; 're'; 'tsu'; 'ha'; 'o'; 'su'; 'ki'; 'ya']",tsu
122,2,"['ya'; 'tsu'; 'ha'; 'wo'; 'na'; 'o'; 're'; 'ma']",tsu
123,2,"['wo'; 'ya'; 'o'; 're'; 'tsu'; 'na'; 'ma'; 'ha']",tsu
124,2,"['o'; 'ya'; 'na'; 'ha'; 'ma'; 'tsu'; 're'; 'wo']",tsu
125,5,"['wo'; 'na'; 'ya'; 're'; 'ki'; 'ha'; 'o'; 'tsu']",na
126,6,"['re'; 'ma'; 'ya'; 'tsu'; 'ki'; 'na'; 'ha'; 'su']",tsu
127,6,"['ya'; 're'; 'na'; 'su'; 'tsu'; 'ha'; 'ma'; 'ki']",ha
128,8,"['ma'; 'wo'; 'su'; 'ki'; 'ha'; 're'; 'tsu'; 'na']",su
129,1,"['ha'; 'ya'; 'o'; 'na'; 'wo'; 'ma'; 're'; 'ki']",na
130,5,"['re'; 'tsu'; 'o'; 'na'; 'ki'; 'ya'; 'wo'; 'ha']",na
131,5,"['ha'; 'wo'; 'tsu'; 'o'; 're'; 'na'; 'ya'; 'ki']",na
132,6,"['ma'; 'ya'; 'su'; 'ki'; 're'; 'na'; 'tsu'; 'ha']",su
133,2,"['ma'; 'ha'; 'ya'; 'wo'; 'o'; 're'; 'tsu'; 'na']",na
134,9,"['ha'; 'na'; 'ma'; 'o'; 'su'; 'tsu'; 'ki'; 'wo']",na
135,2,"['o'; 'wo'; 're'; 'tsu'; 'ya'; 'na'; 'ha'; 'ma']",na
136,0,"['re'; 'ma'; 'o'; 'ha'; 'ki'; 'wo'; 'na'; 'su']",na
137,5,"['tsu'; 'na'; 'wo'; 'ya'; 'ki'; 'ha'; 'o'; 're']",na
138,5,"['ya'; 'wo'; 'tsu'; 'ki'; 'na'; 'o'; 'ha'; 're']",tsu
139,2,"['ya'; 'ha'; 'na'; 'ma'; 're'; 'wo'; 'tsu'; 'o']",tsu
140,7,"['ki'; 'wo'; 're'; 'ha'; 'o'; 'tsu'; 'su'; 'ya']",tsu
141,5,"['ki'; 'na'; 'o'; 'ha'; 'tsu'; 'ya'; 're'; 'wo']",na
142,6,"['su'; 'ma'; 'ki'; 'tsu'; 'ya'; 'ha'; 'na'; 're']",su
143,8,"['ha'; 'wo'; 'su'; 'tsu'; 're'; 'ma'; 'ki'; 'na']",na
144,8,"['ha'; 'na'; 'ki'; 'tsu'; 're'; 'ma'; 'wo'; 'su']",na
145,0,"['ma'; 'ha'; 'na'; 're'; 'ki'; 'o'; 'wo'; 'su']",na
146,3,"['ki'; 'ma'; 'tsu'; 'na'; 'su'; 'o'; 'ya'; 'ha']",na
147,4,"['ya'; 'tsu'; 'su'; 'ha'; 're'; 'ki'; 'o'; 'ma']",tsu
148,5,"['na'; 'o'; 'wo'; 'ha'; 'ya'; 're'; 'ki'; 'tsu']",na
149,6,"['ha'; 'tsu'; 'ma'; 'na'; 're'; 'su'; 'ki'; 'ya']",na
150,3,"['tsu'; 'ma'; 'ya'; 'su'; 'na'; 'o'; 'ki'; 'ha']",ha
151,5,"['ha'; 'ki'; 'ya'; 're'; 'o'; 'na'; 'tsu'; 'wo']",tsu
152,0,"['ha'; 'su'; 'ma'; 'ki'; 're'; 'wo'; 'o'; 'na']",na
153,1,"['wo'; 'ma'; 'ha'; 'ki'; 're'; 'o'; 'ya'; 'na']",na
154,4,"['ha'; 'o'; 'su'; 'ma'; 're'; 'ya'; 'ki'; 'tsu']",su
155,4,"['ha'; 'o'; 'su'; 'tsu'; 'ma'; 'ki'; 'ya'; 're']",re
156,7,"['ha'; 'wo'; 'ki'; 'ya'; 're'; 'o'; 'tsu'; 'su']",tsu
157,7,"['ha'; 'su'; 'wo'; 'o'; 'ki'; 're'; 'ya'; 'tsu']",su
158,7,"['o'; 'wo'; 're'; 'su'; 'ki'; 'ya'; 'tsu'; 'ha']",ha
159,8,"['su'; 'na'; 'wo'; 'ki'; 'ma'; 'tsu'; 're'; 'ha']",na
160,6,"['ma'; 'na'; 'ya'; 're'; 'tsu'; 'ha'; 'ki'; 'su']",tsu
161,6,"['na'; 're'; 'ki'; 'ya'; 'tsu'; 'ma'; 'su'; 'ha']",tsu
162,5,"['ha'; 'wo'; 're'; 'ya'; 'o'; 'tsu'; 'ki'; 'na']",tsu
163,2,"['ma'; 'o'; 'tsu'; 're'; 'wo'; 'na'; 'ha'; 'ya']",tsu
164,7,"['o'; 'wo'; 'su'; 'ya'; 'ha'; 'ki'; 're'; 'tsu']",re
165,5,"['re'; 'ki'; 'wo'; 'o'; 'tsu'; 'ya'; 'na'; 'ha']",tsu
166,2,"['ma'; 'tsu'; 'o'; 're'; 'ya'; 'ha'; 'na'; 'wo']",o
167,1,"['o'; 'ha'; 'ma'; 'wo'; 'na'; 'ya'; 're'; 'ki']",re
168,8,"['wo'; 'ha'; 'tsu'; 're'; 'su'; 'ki'; 'na'; 'ma']",na
169,1,"['re'; 'wo'; 'ki'; 'ma'; 'na'; 'ya'; 'o'; 'ha']",ki
170,5,"['ya'; 'o'; 're'; 'ki'; 'ha'; 'tsu'; 'wo'; 'na']",tsu
171,5,"['na'; 're'; 'wo'; 'ki'; 'ya'; 'tsu'; 'o'; 'ha']",tsu
172,3,"['na'; 'ma'; 'ya'; 'su'; 'tsu'; 'ki'; 'o'; 'ha']",na
173,6,"['na'; 'ma'; 'ki'; 're'; 'ya'; 'su'; 'ha'; 'tsu']",su
174,1,"['ha'; 'o'; 'ya'; 'ki'; 'wo'; 'ma'; 're'; 'na']",na
175,0,"['ki'; 'o'; 'na'; 're'; 'ma'; 'ha'; 'wo'; 'su']",na
176,1,"['o'; 'ya'; 'na'; 'ma'; 're'; 'ha'; 'ki'; 'wo']",na
177,0,"['re'; 'ha'; 'ma'; 'su'; 'ki'; 'na'; 'wo'; 'o']",na
178,3,"['su'; 'ha'; 'tsu'; 'na'; 'ma'; 'o'; 'ya'; 'ki']",na
179,7,"['su'; 'tsu'; 'ha'; 'ki'; 're'; 'o'; 'ya'; 'wo']",o
180,0,"['re'; 'ma'; 'na'; 'wo'; 'o'; 'ha'; 'su'; 'ki']",re
181,9,"['ma'; 'ha'; 'tsu'; 'ki'; 'na'; 'wo'; 'o'; 'su']",na
182,9,"['o'; 'ma'; 'ki'; 'wo'; 'su'; 'na'; 'ha'; 'tsu']",su
183,8,"['ki'; 'ha'; 're'; 'wo'; 'su'; 'ma'; 'tsu'; 'na']",su
184,0,"['su'; 'ki'; 'na'; 'ha'; 're'; 'ma'; 'o'; 'wo']",na
185,0,"['ha'; 'ki'; 'ma'; 'wo'; 'o'; 're'; 'su'; 'na']",na
186,0,"['o'; 'ha'; 're'; 'ma'; 'wo'; 'na'; 'ki'; 'su']",na
187,9,"['ki'; 'su'; 'na'; 'ma'; 'wo'; 'tsu'; 'ha'; 'o']",su
188,5,"['ki'; 'tsu'; 'ya'; 'na'; 'ha'; 'wo'; 'o'; 're']",na
189,9,"['na'; 'su'; 'wo'; 'o'; 'tsu'; 'ha'; 'ma'; 'ki']",su
190,6,"['ma'; 'tsu'; 'na'; 'ya'; 're'; 'ki'; 'su'; 'ha']",na
191,5,"['wo'; 'tsu'; 'ha'; 'ya'; 'o'; 're'; 'na'; 'ki']",tsu
192,4,"['ki'; 'su'; 're'; 'ya'; 'tsu'; 'ma'; 'o'; 'ha']",su
193,5,"['ki'; 'wo'; 'o'; 'ha'; 're'; 'na'; 'ya'; 'tsu']",tsu
194,3,"['tsu'; 'o'; 'ma'; 'su'; 'na'; 'ki'; 'ha'; 'ya']",na
195,8,"['re'; 'na'; 'wo'; 'tsu'; 'su'; 'ha'; 'ma'; 'ki']",na
196,8,"['na'; 'ha'; 'wo'; 'tsu'; 'ki'; 'su'; 're'; 'ma']",tsu
197,3,"['ki'; 'ya'; 'ma'; 'tsu'; 'ha'; 'su'; 'o'; 'na']",tsu
198,6,"['su'; 'ha'; 'ki'; 'tsu'; 'ya'; 'ma'; 're'; 'na']",su
199,0,"['wo'; 'o'; 'su'; 'na'; 'ha'; 're'; 'ma'; 'ki']",na
200,8,"['wo'; 'tsu'; 'ma'; 'ki'; 're'; 'su'; 'na'; 'ha']",ha
201,4,"['ma'; 'ha'; 'su'; 'tsu'; 'ki'; 'ya'; 'o'; 're']",su
202,5,"['na'; 'wo'; 'ya'; 'ki'; 'tsu'; 'o'; 're'; 'ha']",tsu
203,7,"['ya'; 'wo'; 're'; 'su'; 'ha'; 'o'; 'tsu'; 'ki']",su
204,0,"['ma'; 're'; 'su'; 'wo'; 'na'; 'ki'; 'ha'; 'o']",na
205,8,"['re'; 'tsu'; 'ha'; 'wo'; 'su'; 'ki'; 'ma'; 'na']",tsu
206,4,"['su'; 'ma'; 'ki'; 're'; 'tsu'; 'o'; 'ha'; 'ya']",su
207,5,"['o'; 'na'; 'wo'; 'ya'; 'tsu'; 'ki'; 're'; 'ha']",tsu
208,1,"['wo'; 'ya'; 'na'; 'ki'; 'o'; 'ma'; 'ha'; 're']",na
209,1,"['ya'; 'na'; 'ha'; 'ki'; 'wo'; 'o'; 're'; 'ma']",na
210,2,"['tsu'; 'wo'; 're'; 'ha'; 'o'; 'ma'; 'ya'; 'na']",na
211,3,"['ya'; 'na'; 'o'; 'su'; 'ha'; 'ma'; 'ki'; 'tsu']",na
212,8,"['tsu'; 'su'; 'ha'; 'na'; 'ki'; 'wo'; 're'; 'ma']",ki
213,7,"['tsu'; 'wo'; 'su'; 're'; 'o'; 'ya'; 'ki'; 'ha']",ha
214,3,"['na'; 'tsu'; 'su'; 'ma'; 'ha'; 'o'; 'ki'; 'ya']",na
215,7,"['o'; 'ya'; 'su'; 'ha'; 'wo'; 'tsu'; 're'; 'ki']",su
216,4,"['ya'; 'su'; 'o'; 'ki'; 'tsu'; 're'; 'ma'; 'ha']",su
217,7,"['o'; 'ha'; 'tsu'; 'ya'; 'su'; 'wo'; 're'; 'ki']",re
218,2,"['tsu'; 'ha'; 'wo'; 'o'; 're'; 'ma'; 'na'; 'ya']",na
219,9,"['o'; 'tsu'; 'wo'; 'na'; 'ha'; 'su'; 'ki'; 'ma']",na
220,1,"['na'; 'ya'; 'o'; 're'; 'ha'; 'wo'; 'ki'; 'ma']",na
221,7,"['tsu'; 'ya'; 'ki'; 're'; 'su'; 'ha'; 'o'; 'wo']",o
222,9,"['o'; 'tsu'; 'su'; 'ha'; 'wo'; 'ki'; 'ma'; 'na']",tsu
223,5,"['tsu'; 'wo'; 'o'; 'ki'; 're'; 'ha'; 'na'; 'ya']",na
224,7,"['ki'; 'tsu'; 'su'; 'wo'; 'ya'; 'ha'; 're'; 'o']",ha
225,4,"['ma'; 'ha'; 'ki'; 'o'; 'ya'; 'tsu'; 're'; 'su']",tsu
226,6,"['ki'; 'ya'; 're'; 'tsu'; 'su'; 'ha'; 'ma'; 'na']",tsu
227,9,"['ha'; 'su'; 'na'; 'ma'; 'tsu'; 'ki'; 'o'; 'wo']",na
228,0,"['ki'; 'na'; 'o'; 'ha'; 'su'; 're'; 'ma'; 'wo']",na
229,1,"['ma'; 'ki'; 'wo'; 'ya'; 'na'; 'o'; 're'; 'ha']",ki
230,0,"['ma'; 'ha'; 'o'; 'wo'; 're'; 'na'; 'ki'; 'su']",na
231,1,"['ki'; 'ma'; 'ya'; 'o'; 'na'; 'wo'; 're'; 'ha']",ki
232,2,"['re'; 'na'; 'o'; 'tsu'; 'ma'; 'ha'; 'wo'; 'ya']",na
233,6,"['ha'; 're'; 'ma'; 'ki'; 'tsu'; 'na'; 'su'; 'ya']",tsu
234,5,"['tsu'; 'na'; 'wo'; 're'; 'ha'; 'ki'; 'o'; 'ya']",na
235,9,"['ha'; 'ki'; 'su'; 'o'; 'tsu'; 'na'; 'wo'; 'ma']",su
236,0,"['o'; 're'; 'na'; 'su'; 'ki'; 'wo'; 'ha'; 'ma']",na
237,5,"['na'; 'ya'; 'ki'; 're'; 'ha'; 'o'; 'wo'; 'tsu']",tsu
238,7,"['ha'; 'su'; 'wo'; 'tsu'; 'o'; 're'; 'ki'; 'ya']",su
239,0,"['ki'; 'ma'; 'ha'; 'su'; 'o'; 'wo'; 're'; 'na']",na
240,6,"['tsu'; 'ki'; 'ma'; 'ya'; 'na'; 'ha'; 'su'; 're']",ki
241,8,"['ha'; 'ma'; 're'; 'wo'; 'ki'; 'tsu'; 'na'; 'su']",tsu
242,2,"['re'; 'na'; 'wo'; 'ha'; 'ya'; 'ma'; 'o'; 'tsu']",tsu
243,1,"['re'; 'ki'; 'na'; 'o'; 'ya'; 'wo'; 'ma'; 'ha']",ki
244,9,"['tsu'; 'o'; 'ma'; 'wo'; 'ki'; 'na'; 'ha'; 'su']",na
245,7,"['wo'; 'ha'; 'su'; 'ya'; 'o'; 'tsu'; 'ki'; 're']",su
246,7,"['ha'; 'ya'; 'su'; 'ki'; 'tsu'; 'o'; 'wo'; 're']",re
247,9,"['su'; 'na'; 'wo'; 'o'; 'ki'; 'tsu'; 'ha'; 'ma']",na
248,8,"['ha'; 'tsu'; 'ma'; 'wo'; 're'; 'na'; 'ki'; 'su']",na
249,6,"['ki'; 'su'; 'na'; 'tsu'; 're'; 'ha'; 'ma'; 'ya']",ki
250,6,"['ki'; 'su'; 'tsu'; 're'; 'ma'; 'na'; 'ya'; 'ha']",ha
251,1,"['wo'; 'o'; 're'; 'ya'; 'ha'; 'ma'; 'ki'; 'na']",na
252,9,"['ma'; 'ha'; 'ki'; 'o'; 'na'; 'su'; 'tsu'; 'wo']",na
253,1,"['re'; 'ki'; 'ma'; 'na'; 'ya'; 'wo'; 'o'; 'ha']",ki
254,0,"['na'; 'o'; 'wo'; 'ki'; 'su'; 're'; 'ha'; 'ma']",na
255,8,"['ki'; 'wo'; 'tsu'; 're'; 'su'; 'ma'; 'na'; 'ha']",tsu
256,5,"['wo'; 'o'; 'tsu'; 're'; 'na'; 'ya'; 'ha'; 'ki']",tsu
257,2,"['wo'; 'ya'; 'o'; 'na'; 'ha'; 're'; 'tsu'; 'ma']",tsu
258,7,"['tsu'; 'ya'; 'su'; 'ha'; 'wo'; 'o'; 're'; 'ki']",o
259,1,"['o'; 'ha'; 'ki'; 'wo'; 're'; 'na'; 'ma'; 'ya']",na
260,4,"['su'; 'tsu'; 'ki'; 'ma'; 'o'; 're'; 'ya'; 'ha']",ha
261,5,"['ha'; 'na'; 'tsu'; 'ki'; 're'; 'o'; 'wo'; 'ya']",na
262,0,"['ha'; 'o'; 'ma'; 'su'; 'na'; 'wo'; 'ki'; 're']",o
263,5,"['wo'; 'tsu'; 'ha'; 'ki'; 'na'; 'ya'; 're'; 'o']",tsu
264,4,"['re'; 'ya'; 'o'; 'ma'; 'ki'; 'su'; 'ha'; 'tsu']",su
265,7,"['tsu'; 'su'; 'wo'; 'ki'; 'ha'; 're'; 'ya'; 'o']",ha
266,1,"['o'; 'ya'; 'wo'; 're'; 'na'; 'ki'; 'ha'; 'ma']",na
267,2,"['ma'; 'o'; 'ha'; 'wo'; 'tsu'; 'na'; 're'; 'ya']",tsu
268,3,"['su'; 'na'; 'o'; 'ma'; 'tsu'; 'ya'; 'ki'; 'ha']",na
269,7,"['wo'; 'ya'; 're'; 'tsu'; 'su'; 'o'; 'ki'; 'ha']",ha
